"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,0.94,2.09,3.64,===,===,0.77,===,===
0.250,===,===,===,===,===,===,===,===,1.61,2.67,2.62,2.18,===,1.21,1.16,===
0.375,===,===,===,===,===,===,===,===,2.22,2.80,2.58,1.12,2.09,1.87,2.49,1.65
0.500,===,===,===,===,===,===,===,===,2.53,5.14,3.37,2.18,2.05,2.71,4.08,2.27
0.625,===,===,===,===,===,===,===,===,2.76,3.86,2.62,3.99,2.76,1.92,4.61,3.33
0.750,===,===,===,===,===,===,===,===,1.07,1.38,2.09,4.79,2.58,2.14,3.20,3.46
0.875,===,===,===,===,===,===,===,===,1.03,2.18,2.58,4.26,2.53,3.11,3.73,3.29
1.000,===,===,===,===,===,===,===,===,3.60,4.08,3.02,5.28,2.67,3.95,4.26,2.22
1.125,===,===,===,===,===,===,===,===,2.00,3.60,4.30,5.28,3.33,5.54,2.40,1.87
1.250,===,===,===,===,===,===,===,===,3.82,4.83,2.89,4.48,4.70,4.83,2.36,2.27
1.375,===,===,===,===,===,===,===,===,5.81,5.76,2.93,3.42,4.48,2.89,1.65,3.51
1.500,===,===,===,===,===,===,===,===,3.11,4.17,4.61,4.08,3.91,4.44,2.67,3.60
1.625,===,===,===,===,===,===,===,===,6.60,5.41,5.14,3.42,2.80,5.81,2.09,4.26
1.750,===,===,===,===,===,===,===,===,3.60,5.54,4.79,2.80,3.42,5.54,2.36,5.32
1.875,===,===,===,===,===,===,===,===,5.19,6.03,3.29,5.37,4.97,3.99,5.32,7.62
2.000,===,===,===,===,===,===,===,===,10.32,6.16,3.77,7.00,8.99,4.52,9.79,11.03
2.125,===,===,===,===,===,===,===,===,4.61,4.44,3.29,6.29,10.45,5.01,11.69,14.79
2.250,===,===,===,===,===,===,===,===,6.65,3.82,1.21,5.23,10.81,4.30,10.36,14.34
2.375,===,===,===,===,===,===,===,===,1.38,2.58,2.89,3.60,8.28,4.52,6.03,12.13
2.500,===,===,===,===,===,===,===,===,4.35,1.16,4.44,5.06,6.47,5.50,4.22,6.07
2.625,===,===,===,===,===,===,===,===,2.14,2.09,4.97,4.57,6.12,5.72,3.20,4.44
2.750,===,===,===,===,===,===,===,===,1.78,1.83,5.81,3.07,5.37,6.25,2.18,4.17
2.875,===,===,===,===,===,===,===,===,1.87,3.11,5.19,2.62,4.66,6.25,1.87,5.23
3.000,===,===,===,===,===,===,===,===,1.83,4.08,1.43,3.91,4.04,4.44,5.14,5.06
3.125,===,===,===,===,===,===,===,===,4.35,2.14,1.65,6.03,4.13,1.92,7.27,4.26
3.250,===,===,===,===,===,===,===,===,2.53,2.58,1.34,6.03,4.52,2.67,5.90,3.46
3.375,===,===,===,===,===,===,===,===,3.60,3.99,1.83,5.23,5.10,3.33,4.88,3.24
3.500,===,===,===,===,===,===,===,===,2.62,2.84,2.84,4.75,4.83,3.37,3.46,3.68
3.625,===,===,===,===,===,===,===,===,1.74,2.93,3.51,3.07,4.08,3.02,3.73,3.51
3.750,===,===,===,===,===,===,===,===,1.69,2.05,1.52,1.96,2.40,2.00,6.03,3.20
3.875,===,===,===,===,===,===,===,===,1.83,1.34,3.20,2.40,1.43,3.07,5.14,2.40
4.000,===,===,===,===,===,===,===,===,2.00,2.36,3.64,2.36,0.90,4.26,2.40,2.22
4.125,4.42,9.33,13.25,20.39,9.41,9.41,15.29,24.61,1.83,1.74,3.46,3.82,1.03,4.70,5.23,2.84
4.250,4.42,9.33,13.41,19.71,9.25,9.25,15.69,24.12,2.67,2.09,2.53,5.94,1.21,2.98,8.24,3.02
4.375,4.28,9.25,13.49,18.92,9.33,9.33,16.31,24.31,0.94,1.65,1.65,7.05,2.31,2.80,7.62,3.86
4.500,4.10,9.25,13.57,18.53,9.18,9.18,16.71,24.41,1.61,0.90,2.98,6.38,2.53,4.13,4.97,3.68
4.625,3.89,9.25,13.80,18.33,9.41,9.41,16.94,24.31,1.96,1.74,4.39,3.60,3.37,4.48,4.48,3.86
4.750,3.85,9.49,14.20,18.24,9.25,9.25,17.02,24.22,2.45,1.34,4.13,4.04,3.29,3.51,4.79,3.82
4.875,3.60,9.65,14.67,17.84,9.18,9.18,17.02,23.92,3.07,3.60,2.76,8.11,3.46,1.92,4.88,3.82
5.000,3.35,9.57,15.06,16.96,9.10,9.10,16.63,22.94,2.14,1.96,2.58,6.82,4.04,1.69,2.40,4.92
5.125,2.92,9.57,15.14,15.78,9.18,9.18,15.84,20.88,3.15,3.64,2.89,3.15,3.82,1.21,4.44,4.70
5.250,2.67,9.65,15.14,14.22,9.25,9.25,15.14,18.43,4.70,2.93,3.07,6.56,5.01,2.14,7.22,4.88
5.375,2.42,9.88,15.69,13.33,9.49,9.49,15.22,16.96,3.20,2.31,2.53,5.54,4.52,2.05,4.17,4.57
5.500,2.46,10.27,16.24,13.73,9.33,9.33,16.08,17.06,6.07,3.99,2.31,3.60,8.06,2.80,7.80,7.84
5.625,2.60,10.20,16.78,14.61,9.25,9.25,17.49,18.63,4.97,5.63,0.85,8.64,8.95,2.89,14.92,10.36
5.750,2.60,9.96,17.18,15.98,9.02,9.02,18.82,20.20,2.89,2.14,1.92,7.00,12.62,2.09,12.13,15.98
5.875,2.64,9.57,17.25,17.55,8.55,8.55,19.69,21.86,2.27,2.09,1.21,2.49,10.10,1.16,4.35,13.90
6.000,2.46,9.02,17.33,19.31,8.08,8.08,19.84,23.53,1.52,1.25,3.11,1.83,11.47,1.78,3.73,15.54
6.125,2.35,8.55,17.49,21.08,7.69,7.69,20.00,24.90,1.16,1.83,2.14,5.90,9.52,2.53,5.67,11.07
6.250,2.17,8.31,17.49,21.86,7.37,7.37,19.84,25.78,1.12,1.03,2.76,6.43,10.23,2.53,4.57,11.42
6.375,1.93,8.31,17.41,22.55,7.22,7.22,19.69,26.76,1.56,1.87,2.67,5.54,7.31,2.22,4.70,7.53
6.500,1.64,8.08,17.18,23.04,6.90,6.90,19.37,27.75,1.61,1.38,1.38,5.63,4.92,2.45,4.92,5.81
6.625,1.50,7.92,17.25,24.12,6.82,6.82,19.45,28.82,1.30,1.16,2.71,2.98,3.99,2.58,3.73,3.91
6.750,1.46,7.84,17.65,25.69,6.98,6.98,19.69,29.80,3.33,3.91,1.87,2.98,4.97,1.78,5.50,4.70
6.875,1.50,8.31,18.51,27.25,7.69,7.69,20.31,30.78,6.07,5.01,2.62,4.97,5.81,2.89,6.38,4.61
7.000,2.03,10.75,20.86,28.63,9.80,9.80,22.43,31.57,10.23,10.98,14.83,11.82,6.16,16.02,9.96,4.48
7.125,3.24,14.20,23.76,30.78,13.18,13.18,25.25,33.73,16.51,19.43,37.12,26.15,8.46,35.66,28.45,5.54
7.250,4.60,18.04,26.90,34.02,16.71,16.71,28.55,37.16,20.76,20.05,41.63,33.58,19.21,39.02,39.11,15.41
7.375,5.99,21.73,29.96,37.65,20.08,20.08,31.53,40.88,10.32,12.62,21.60,24.16,34.60,20.18,29.43,30.27
7.500,7.13,24.78,32.47,41.27,22.59,22.59,33.88,44.31,13.33,11.16,9.61,17.35,43.27,8.64,18.81,40.92
7.625,8.52,26.43,35.69,45.20,24.00,24.00,36.86,47.84,20.23,19.47,9.83,28.81,50.08,6.74,27.26,50.96
7.750,10.34,28.00,38.82,48.14,25.57,25.57,40.39,51.18,22.61,23.76,14.74,42.56,43.27,9.04,38.14,47.69
7.875,12.09,29.49,42.04,51.37,27.22,27.22,43.84,54.71,5.45,2.76,13.68,36.19,35.66,12.53,32.21,40.57
8.000,13.26,30.82,44.71,53.92,28.71,28.71,46.51,57.16,8.11,7.89,7.22,11.96,23.10,7.44,10.41,26.64
8.125,13.76,31.29,45.18,56.08,29.33,29.33,47.22,59.22,2.71,3.55,4.61,4.48,14.87,5.45,3.20,16.78
8.250,13.76,31.37,45.02,58.14,29.49,29.49,46.90,61.08,1.47,1.74,2.49,4.79,12.44,3.37,3.82,13.33
8.375,13.76,31.22,44.47,59.41,29.49,29.49,46.43,62.35,1.87,2.40,2.36,3.99,10.67,1.43,3.42,10.89
8.500,13.69,30.82,43.76,59.80,29.18,29.18,45.49,62.35,1.96,1.21,1.43,3.42,9.30,2.18,2.76,9.26
8.625,13.62,30.43,42.90,59.02,28.86,28.86,44.08,60.78,2.27,2.62,2.09,1.96,6.03,2.98,1.83,6.21
8.750,13.51,30.04,41.73,57.35,28.63,28.63,42.20,58.33,1.87,2.93,2.89,1.61,4.35,2.93,2.58,5.10
8.875,13.37,29.80,40.78,55.49,28.63,28.63,40.55,55.69,2.89,3.29,2.22,2.89,3.29,2.67,2.58,4.79
9.000,13.40,29.80,40.55,53.82,28.71,28.71,39.69,53.73,5.14,3.29,2.40,6.03,3.29,3.37,4.04,5.19
9.125,13.44,29.73,40.71,52.25,28.86,28.86,39.61,52.25,2.40,3.91,3.51,7.89,4.44,4.75,5.94,6.21
9.250,13.51,29.88,40.86,51.08,29.02,29.02,39.76,51.27,4.17,3.15,4.39,5.85,5.54,5.23,5.32,6.60
9.375,13.55,29.96,40.78,50.78,29.49,29.49,39.84,50.69,1.38,2.22,4.13,2.53,6.07,4.13,2.76,6.21
