TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.12,6.25,3.15,===,===,0.81,===,===
0.250,1.87,1.52,2.67,4.44,===,0.90,0.94,===
0.375,2.45,3.68,3.29,3.68,13.19,2.89,1.92,1.30
0.500,2.40,4.35,3.02,1.96,8.51,6.16,4.08,2.31
0.625,4.66,3.60,2.36,2.71,3.24,7.13,5.90,3.20
0.750,5.94,3.29,2.49,4.97,3.29,3.86,5.23,6.21
0.875,10.36,7.97,4.97,4.39,2.71,5.23,2.40,7.09
1.000,9.83,6.65,5.76,7.00,6.12,8.33,2.67,8.73
1.125,11.16,17.13,8.33,13.19,8.95,7.62,3.68,7.89
1.250,13.37,18.68,8.73,16.78,13.95,4.48,4.17,6.29
1.375,7.44,6.25,7.36,13.37,16.11,3.55,4.35,5.01
1.500,4.61,6.96,16.16,4.92,17.70,10.23,4.61,4.08
1.625,7.49,10.23,16.42,3.68,17.75,13.28,8.46,5.67
1.750,15.67,16.51,5.59,9.26,18.06,9.17,9.57,9.39
1.875,5.85,8.86,3.77,15.10,17.88,5.59,6.03,9.43
2.000,5.59,11.25,3.42,15.36,16.11,4.61,2.62,8.55
2.125,2.89,5.19,3.86,9.66,11.87,2.53,1.30,3.99
2.250,1.65,3.77,2.89,3.42,9.88,1.16,2.22,4.66
2.375,1.78,2.14,1.30,1.38,8.99,2.98,3.99,6.96
2.500,3.51,0.99,1.03,1.38,7.31,5.76,8.68,13.11
2.625,3.68,1.96,0.77,0.85,4.44,7.53,16.16,12.09
2.750,5.19,2.76,2.98,2.18,3.77,7.05,15.18,9.88
2.875,2.71,3.11,3.51,6.07,6.96,4.83,10.19,5.23
3.000,4.39,4.08,3.77,9.43,14.52,3.42,8.55,5.85
3.125,4.26,2.00,2.49,9.79,17.84,2.53,6.12,7.67
3.250,5.94,2.14,2.31,7.40,18.68,2.14,4.61,7.40
3.375,6.29,1.74,3.33,4.22,15.05,2.00,5.32,5.76
3.500,13.77,1.92,2.31,2.22,13.50,4.04,7.49,4.26
3.625,6.16,2.49,2.18,2.45,9.43,6.87,5.67,5.67
3.750,6.25,5.23,2.93,2.76,8.24,8.59,6.12,8.06
3.875,5.76,8.77,4.08,10.05,6.52,8.42,11.51,11.73
4.000,7.53,14.56,11.25,30.04,7.89,3.64,10.67,14.30
4.125,11.60,30.31,14.08,38.67,8.20,11.60,12.13,21.42
4.250,11.60,12.00,9.21,33.23,11.42,26.55,26.42,20.14
4.375,25.53,17.09,4.35,16.69,19.16,35.31,35.09,21.73
4.500,8.68,10.45,9.39,7.67,21.15,25.80,25.89,20.85
4.625,8.46,26.64,27.61,25.22,21.46,8.99,8.42,24.47
4.750,6.21,15.32,30.66,28.05,18.55,7.00,9.57,19.83
4.875,8.68,11.38,15.32,19.96,29.03,3.91,11.25,14.52
5.000,11.73,7.80,14.39,15.80,36.06,5.67,10.50,11.20
5.125,19.03,12.04,10.76,15.14,40.66,5.50,10.23,19.21
5.250,4.61,8.11,7.31,8.28,35.35,6.38,5.19,19.74
5.375,12.26,10.23,12.66,7.49,27.17,5.50,3.11,26.15
5.500,7.80,7.31,15.71,14.52,19.16,8.46,2.76,21.86
5.625,5.45,6.56,18.90,24.16,14.34,15.63,8.02,25.49
5.750,11.11,7.71,18.28,30.88,17.84,19.12,19.16,18.94
5.875,6.29,9.57,10.01,21.69,29.12,17.40,20.93,15.63
6.000,9.26,5.37,5.01,15.58,42.12,10.63,20.80,14.65
6.125,4.39,24.74,13.99,21.91,43.93,5.32,19.08,21.77
6.250,7.13,20.45,16.11,26.90,39.82,8.64,16.51,24.60
6.375,3.51,13.99,12.71,21.60,20.62,11.87,12.84,27.17
6.500,7.67,16.07,10.67,17.17,17.88,13.59,9.12,20.76
6.625,3.55,11.25,9.30,26.73,18.24,14.26,16.73,21.20
6.750,4.17,14.87,6.60,25.44,26.20,10.19,15.94,16.69
6.875,10.05,6.52,4.17,12.18,23.45,4.88,9.12,14.26
7.000,9.30,5.45,2.27,7.80,20.67,2.98,11.51,11.69
7.125,17.09,10.58,7.62,11.69,14.21,10.36,20.27,12.71
7.250,24.07,26.59,17.04,8.55,11.11,15.14,17.88,14.74
7.375,10.85,18.06,24.43,6.12,15.58,23.81,16.29,15.85
7.500,11.51,14.26,22.84,7.18,26.02,38.67,20.45,15.41
7.625,13.28,10.89,21.82,16.11,36.86,45.39,32.96,19.47
7.750,28.01,21.46,19.34,25.53,45.83,29.74,47.21,24.60
7.875,19.47,29.29,14.26,38.18,37.78,16.20,58.35,25.14
8.000,10.41,18.59,17.79,29.87,29.25,16.78,51.98,22.75
8.125,36.72,27.35,17.44,7.97,13.55,18.99,28.41,15.18
8.250,15.98,21.64,21.69,17.84,10.41,50.30,12.80,15.94
8.375,31.19,34.16,20.54,24.69,9.79,60.08,18.68,16.64
8.500,21.24,29.78,21.77,31.33,13.06,47.07,29.87,21.42
8.625,11.51,9.48,18.24,41.46,24.52,22.44,26.20,22.08
8.750,31.37,8.90,4.30,39.33,33.32,12.22,16.25,23.50
8.875,16.42,4.13,10.45,29.74,40.35,16.33,15.67,27.13
9.000,13.81,8.90,19.34,30.75,41.19,10.63,12.84,36.50
9.125,24.65,8.81,24.34,34.73,36.72,15.36,30.35,39.60
9.250,8.42,17.04,25.09,27.39,29.25,16.51,38.27,34.03
9.375,17.57,16.69,21.86,20.76,22.08,28.76,38.58,21.86
9.500,17.84,30.93,13.50,29.78,20.93,38.85,28.85,10.76
9.625,31.11,13.90,5.32,30.71,22.35,34.47,10.85,9.08
9.750,9.26,16.78,11.16,16.38,19.21,15.36,11.16,9.74
9.875,4.61,13.99,12.49,10.41,17.26,18.01,22.00,10.94
10.000,10.94,25.84,14.92,10.45,24.47,30.09,23.76,14.39
10.125,14.48,3.73,11.25,16.91,35.48,16.82,17.97,13.02
10.250,18.81,8.81,7.18,13.11,34.91,7.13,20.23,14.92
10.375,23.01,9.52,3.91,7.75,25.67,18.46,30.66,16.86
10.500,18.28,7.84,5.41,5.14,12.22,15.71,32.17,22.39
10.625,9.96,4.08,4.04,7.36,13.06,6.65,15.49,29.25
10.750,7.27,2.27,2.89,6.82,12.93,4.48,5.90,28.05
10.875,2.76,1.96,2.58,3.20,15.63,4.35,4.75,23.94
11.000,8.15,2.58,1.92,2.36,10.45,8.06,9.39,21.24
11.125,9.61,3.33,2.53,1.34,11.16,8.90,9.17,18.32
11.250,7.09,7.44,11.42,4.26,9.66,6.03,10.19,29.03
11.375,17.53,3.51,18.55,19.92,18.15,5.28,20.40,37.30
11.500,15.67,29.82,17.09,40.22,34.91,5.01,26.86,44.07
11.625,5.67,7.84,14.17,38.80,48.89,4.52,16.55,44.60
11.750,9.08,3.55,13.28,14.87,58.31,2.84,6.47,32.26
11.875,4.35,3.33,8.99,9.26,59.19,6.25,5.63,22.97
12.000,23.76,3.11,3.77,5.81,47.43,9.21,7.22,15.67
12.125,7.58,3.07,3.73,2.14,35.18,11.73,6.34,17.17
12.250,10.94,7.13,7.49,7.67,17.35,10.10,14.26,22.97
12.375,4.22,12.53,7.40,15.05,21.95,12.62,17.35,28.67
12.500,6.65,21.15,3.99,34.91,35.88,17.13,11.20,31.50
12.625,7.22,11.56,9.30,42.12,44.91,17.40,9.21,30.93
12.750,11.38,8.73,8.77,24.21,49.99,12.75,10.67,26.33
12.875,5.90,4.13,3.91,7.67,37.17,7.97,5.59,22.17
13.000,10.72,2.00,2.67,2.18,26.59,6.60,9.04,24.12
13.125,10.01,1.25,0.85,1.25,11.91,5.23,15.49,28.14
13.250,7.22,2.84,2.71,1.47,5.06,6.96,14.52,29.03
13.375,8.02,5.14,3.11,5.37,5.72,2.49,7.58,31.68
13.500,14.83,7.93,4.83,13.99,10.10,9.83,32.08,25.09
13.625,32.12,10.81,6.74,22.26,12.31,12.13,64.10,25.89
13.750,5.50,10.14,2.31,26.29,16.60,8.11,58.09,28.94
13.875,12.09,8.15,9.52,26.11,20.71,7.84,33.23,46.32
14.000,13.41,38.89,18.41,20.05,28.85,8.59,16.60,50.83
14.125,7.22,6.56,18.10,24.91,39.73,21.95,16.91,51.50
14.250,24.12,19.08,13.46,26.20,39.42,31.19,36.19,41.54
14.375,17.62,4.52,10.94,21.15,39.73,30.49,42.07,33.54
14.500,7.80,7.09,6.65,17.70,27.26,18.81,31.06,26.46
14.625,6.38,7.58,10.50,21.07,25.05,5.06,16.55,14.17
14.750,8.55,11.69,18.19,30.04,20.85,11.20,9.21,12.75
14.875,4.66,27.79,23.72,32.92,18.28,10.19,9.08,9.26
15.000,2.76,3.82,20.89,25.84,12.49,6.47,5.90,18.94
15.125,5.85,5.50,13.86,12.13,9.52,6.47,7.40,21.02
15.250,8.20,5.59,5.45,3.86,7.84,6.56,8.64,31.19
15.375,8.15,15.23,25.44,14.61,11.03,6.91,13.28,24.07
15.500,8.42,21.77,37.92,24.74,10.05,7.58,11.65,19.65
15.625,5.67,7.40,27.17,24.56,10.85,9.70,8.51,10.45
15.750,10.36,8.51,8.51,19.96,8.90,10.32,7.49,12.35
15.875,2.45,5.63,13.33,8.15,8.20,6.87,7.27,19.74
16.000,12.53,10.32,11.65,7.67,7.05,3.02,5.59,21.60
16.125,3.11,7.62,9.48,12.75,7.58,3.64,11.82,22.00
16.250,6.74,17.53,5.37,6.47,9.30,4.61,14.74,21.60
16.375,2.22,4.70,6.03,10.63,11.56,5.81,11.11,21.02
16.500,8.99,12.53,9.66,16.20,13.99,6.65,8.46,25.75
16.625,9.57,13.95,4.79,8.28,12.04,6.65,7.89,21.29
16.750,14.70,17.13,3.86,5.41,11.25,5.01,5.37,22.39
16.875,15.49,10.01,5.94,7.93,14.03,5.06,9.83,12.84
17.000,9.74,10.19,4.08,15.18,16.25,3.33,16.82,9.35
17.125,3.55,7.22,1.56,17.40,15.05,4.75,16.51,8.11
17.250,11.47,10.58,2.09,16.29,9.61,9.70,14.08,9.66
17.375,11.65,20.05,6.25,24.87,7.27,15.67,28.10,11.20
17.500,5.98,5.76,9.66,24.07,11.47,14.61,29.16,10.32
17.625,6.74,13.64,11.69,8.02,11.51,9.04,13.59,9.39
17.750,10.10,6.69,12.97,4.57,12.04,6.82,5.54,9.48
17.875,6.52,6.12,13.41,3.95,6.60,5.19,5.19,8.81
18.000,12.57,6.21,9.12,10.98,5.19,4.08,8.64,12.53
18.125,3.55,11.47,13.24,19.21,6.56,4.88,9.92,13.59
