"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,2.36,1.38,0.94,===,===,1.69,===,===
0.250,1.74,1.87,2.00,1.96,===,3.24,3.64,===
0.375,9.30,5.01,3.24,2.76,6.87,7.18,9.26,6.78
0.500,4.35,12.18,1.74,4.26,10.58,8.81,14.26,9.52
0.625,7.00,10.85,6.56,10.19,14.83,5.01,14.96,9.35
0.750,6.78,36.37,13.19,13.24,18.81,3.07,13.06,7.89
0.875,7.93,12.22,12.66,11.20,18.55,4.44,10.45,4.30
1.000,4.26,8.55,7.49,7.62,15.36,2.67,6.60,3.68
1.125,4.39,3.15,9.96,4.66,8.28,7.18,4.04,5.23
1.250,6.12,10.36,10.54,7.62,7.18,10.76,8.86,7.40
1.375,5.32,3.73,4.17,7.49,7.67,14.34,11.69,15.67
1.500,10.05,12.97,13.46,7.22,7.62,34.33,8.20,22.53
1.625,34.33,4.79,21.86,4.22,7.93,42.21,11.51,27.83
1.750,8.51,4.48,18.15,7.18,10.85,30.62,27.52,25.31
1.875,11.65,7.89,16.38,18.59,14.30,18.94,37.25,19.21
2.000,6.34,13.19,13.59,22.00,18.01,13.86,34.87,17.97
2.125,16.20,5.10,7.18,15.67,16.38,10.98,13.72,18.81
2.250,20.18,5.41,4.61,11.20,20.27,20.09,5.98,22.35
2.375,26.33,9.08,7.13,11.78,21.73,23.06,13.15,31.50
2.500,6.65,18.99,16.38,19.87,29.38,15.94,21.91,51.19
2.625,15.01,17.00,19.30,27.26,25.36,15.32,10.85,55.39
2.750,2.76,9.26,11.69,28.36,23.06,20.40,5.28,58.53
2.875,48.93,4.13,3.42,20.14,18.81,21.15,6.65,38.58
3.000,8.68,3.55,2.27,7.53,19.43,10.19,11.82,38.09
3.125,8.55,5.50,1.56,2.93,18.59,8.64,9.35,26.11
3.250,8.90,4.04,3.20,2.49,12.62,10.14,9.43,22.88
3.375,11.51,6.69,5.67,1.38,8.64,14.79,14.12,13.68
3.500,12.97,4.70,6.12,3.15,3.91,12.35,16.55,15.76
3.625,7.97,7.09,7.22,4.66,5.14,7.22,15.45,15.36
3.750,6.91,3.73,12.80,18.94,10.27,10.19,13.64,23.76
3.875,10.10,22.13,21.11,41.01,25.49,21.73,9.88,31.15
4.000,22.39,4.30,18.72,40.88,33.01,23.68,20.05,42.74
4.125,5.37,7.97,8.20,21.29,36.86,17.62,22.75,52.42
4.250,7.58,5.06,4.04,6.78,29.87,8.24,10.50,41.90
4.375,7.13,3.51,1.92,6.78,22.75,6.69,20.71,33.54
4.500,10.19,3.29,1.96,10.50,19.96,10.54,21.02,18.10
4.625,6.47,2.18,2.76,9.92,14.03,11.38,13.55,23.72
4.750,3.82,3.20,3.24,8.42,14.03,8.55,9.70,23.63
4.875,5.19,2.67,3.15,5.90,11.25,3.95,5.32,28.94
5.000,8.20,2.53,2.67,4.04,11.42,3.02,7.36,26.15
5.125,9.83,4.04,2.09,3.73,8.28,5.37,18.68,24.78
5.250,6.38,1.65,2.71,3.91,5.50,3.64,22.57,21.46
5.375,5.28,1.78,2.40,3.11,3.46,2.53,12.31,17.35
5.500,8.06,1.30,1.87,2.36,3.24,4.61,3.95,16.16
5.625,11.03,3.99,2.89,2.27,3.82,16.51,13.50,15.58
5.750,22.57,6.69,3.46,3.99,4.48,25.58,24.74,19.52
5.875,31.59,8.81,18.24,12.00,10.23,25.31,27.66,29.12
6.000,8.51,18.15,28.50,18.63,11.82,18.37,19.39,44.37
6.125,13.11,4.70,21.02,19.52,15.10,9.39,16.25,47.43
6.250,3.99,17.70,6.07,19.96,10.67,3.42,22.44,43.67
6.375,12.62,10.54,14.65,11.82,13.50,15.71,22.08,28.94
6.500,8.90,35.84,23.41,21.82,11.56,19.78,16.16,18.63
6.625,9.12,12.04,18.81,44.60,13.86,13.68,9.08,14.12
6.750,12.40,9.43,7.22,43.89,18.59,7.58,24.65,16.69
6.875,13.19,5.67,8.77,22.04,23.85,7.49,43.14,31.24
7.000,11.69,4.44,6.96,10.14,23.32,8.06,43.58,33.98
7.125,11.38,3.95,2.71,12.75,15.67,9.12,37.87,31.81
7.250,3.33,6.65,6.16,22.84,12.09,7.00,28.05,16.25
7.375,15.98,5.81,11.65,31.37,17.75,3.46,13.06,12.80
7.500,5.32,18.85,20.98,36.59,19.25,6.21,8.81,16.33
7.625,39.55,17.75,23.19,29.03,20.71,8.24,21.07,19.96
7.750,6.03,5.98,14.34,16.51,13.99,10.27,27.70,23.81
7.875,14.34,2.53,5.37,6.25,12.88,12.84,21.11,23.50
