TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,3.82,10.81,14.03,===,===,1.52,===,===
0.250,2.98,6.29,12.13,4.75,===,5.28,4.52,===
0.375,11.47,13.46,13.33,5.85,24.91,16.78,7.67,8.20
0.500,9.39,12.22,10.67,6.65,23.50,21.86,11.11,10.67
0.625,8.77,8.24,6.82,12.09,21.60,12.40,19.70,10.10
0.750,11.91,11.69,9.52,9.66,15.98,7.27,12.40,7.71
0.875,14.92,14.30,8.99,10.63,11.69,6.38,13.28,5.72
1.000,8.90,22.04,8.15,10.58,12.71,5.72,17.35,7.93
1.125,12.40,9.21,11.56,10.45,17.66,11.51,21.64,12.18
1.250,8.59,5.81,12.18,14.08,32.26,10.23,31.77,21.07
1.375,19.74,29.91,13.37,13.95,30.58,23.06,20.36,22.70
1.500,18.94,24.25,15.63,36.68,30.84,21.91,19.47,19.21
1.625,31.86,29.47,21.11,39.38,23.32,26.02,25.93,10.01
1.750,20.27,11.65,35.93,19.16,18.77,29.87,19.78,11.91
1.875,16.51,27.70,37.30,13.95,14.92,22.17,7.36,19.39
2.000,6.74,17.57,21.64,9.43,17.62,14.65,8.64,30.40
2.125,14.61,12.13,10.27,4.92,24.43,12.71,10.32,40.13
2.250,10.89,12.13,18.55,5.94,24.91,12.88,14.61,41.06
2.375,16.07,16.16,26.68,12.57,18.24,10.67,24.74,39.51
2.500,22.44,14.03,27.74,22.39,16.60,8.42,26.90,32.74
2.625,14.34,7.44,19.92,25.36,22.57,9.74,16.25,37.08
2.750,16.07,11.51,8.77,24.96,35.31,4.92,10.89,41.59
2.875,27.39,29.78,4.52,28.14,41.54,11.25,18.94,37.48
3.000,6.25,13.41,9.70,27.13,40.04,12.31,23.37,29.43
3.125,57.20,10.50,27.52,18.10,32.65,16.47,29.47,20.23
3.250,36.10,16.82,35.88,21.07,20.27,20.80,28.19,19.16
3.375,18.46,13.68,18.72,40.66,17.17,21.69,42.25,27.30
3.500,12.62,12.62,18.55,42.87,19.25,21.51,49.51,34.11
3.625,9.26,11.82,17.48,26.11,19.16,15.98,37.08,38.89
3.750,22.66,18.19,10.98,27.08,18.01,16.69,19.70,37.78
3.875,16.20,14.56,22.30,41.41,13.28,26.11,38.23,25.31
4.000,24.21,18.85,22.70,39.51,12.71,22.75,51.58,16.02
4.125,14.92,19.03,26.02,22.08,12.49,28.67,35.35,6.25
4.250,19.25,13.95,33.63,11.60,10.85,43.67,10.14,6.60
4.375,8.02,10.41,28.89,21.86,9.48,42.92,5.14,8.37
4.500,13.24,46.94,17.13,22.92,11.25,28.10,8.11,13.50
4.625,9.12,10.67,11.65,18.15,14.87,26.11,20.49,16.07
4.750,18.19,31.33,20.09,12.04,17.17,25.00,19.83,17.70
4.875,8.24,7.84,31.42,4.22,17.62,26.15,9.61,14.61
5.000,16.29,13.86,29.38,10.85,18.24,26.29,11.51,13.59
5.125,14.34,21.02,33.36,17.31,23.23,20.85,24.96,14.70
5.250,23.06,7.27,42.65,15.49,25.31,33.45,28.50,15.01
5.375,28.36,19.08,35.44,13.11,25.58,39.38,23.01,14.61
5.500,36.19,27.97,10.94,13.95,22.79,24.38,17.84,12.31
5.625,10.94,8.68,19.08,8.68,16.11,7.44,9.66,10.36
5.750,7.05,7.13,24.74,9.12,10.94,22.66,13.95,10.05
5.875,12.09,18.94,8.59,26.59,9.21,20.67,31.19,9.17
6.000,10.58,21.91,9.70,23.54,12.62,10.41,26.11,10.01
6.125,20.45,30.75,5.54,34.42,16.64,15.32,8.73,10.01
6.250,23.94,32.08,6.52,53.13,16.29,25.44,6.78,14.65
6.375,11.25,20.18,8.64,46.59,15.58,23.50,8.64,13.06
6.500,13.95,24.69,14.43,37.25,14.74,15.32,21.82,11.38
6.625,14.83,6.52,8.11,28.19,12.66,8.59,26.51,17.66
6.750,10.67,17.40,21.02,16.16,13.37,21.64,18.01,27.92
6.875,7.53,11.82,28.23,11.82,13.64,20.27,8.99,43.58
7.000,9.92,25.75,23.68,27.35,23.99,11.16,23.76,47.12
7.125,16.69,5.98,14.17,34.16,28.01,26.06,43.05,40.88
7.250,22.39,13.68,12.80,25.98,36.41,29.65,48.71,32.61
7.375,14.61,15.05,16.02,20.58,34.60,17.57,35.71,25.22
7.500,17.79,16.11,8.15,27.21,30.49,7.97,20.09,27.92
7.625,22.44,23.72,8.28,31.77,27.66,11.47,18.59,21.77
7.750,10.23,16.95,18.63,23.54,22.35,14.65,15.05,15.80
7.875,11.60,8.20,20.09,14.87,22.22,14.52,11.03,12.44
8.000,9.74,11.87,15.80,6.69,18.59,14.52,7.05,14.79
8.125,14.03,7.40,6.52,4.61,18.37,7.36,6.69,17.97
8.250,13.06,4.35,5.50,5.98,17.57,6.47,5.94,22.04
8.375,45.70,12.88,12.09,14.96,27.74,10.19,19.87,28.28
8.500,21.60,10.50,21.07,28.98,42.56,10.63,34.16,43.67
8.625,13.24,14.21,21.24,34.73,50.92,10.45,33.23,48.58
8.750,9.57,4.26,10.98,21.15,55.79,5.94,19.78,47.12
8.875,6.43,8.24,4.88,7.62,41.63,3.33,3.82,35.71
9.000,3.42,12.80,6.16,2.98,30.80,5.01,2.00,21.51
9.125,12.80,10.32,17.22,12.40,17.17,9.12,2.89,20.23
9.250,4.70,33.49,28.50,20.49,13.06,5.01,2.36,14.30
9.375,6.29,8.42,23.94,18.63,15.14,8.37,3.11,17.57
9.500,6.96,11.65,8.55,6.78,16.29,14.12,2.67,14.65
9.625,6.21,3.95,1.38,2.09,17.57,8.73,6.29,14.48
9.750,10.41,3.20,1.78,2.93,13.86,3.46,6.91,10.98
9.875,17.84,2.62,4.88,3.51,12.97,12.40,4.22,7.09
10.000,35.79,6.29,13.59,5.54,8.86,27.13,5.45,5.37
10.125,33.45,8.15,19.47,4.75,12.40,33.45,17.13,4.88
10.250,15.45,8.68,13.68,4.57,13.37,24.56,28.23,4.92
10.375,13.37,10.14,15.80,11.51,14.34,9.04,26.59,7.80
10.500,18.59,34.51,29.56,18.37,15.05,7.53,22.22,10.23
10.625,12.13,21.33,33.41,24.60,15.32,3.77,26.46,13.37
10.750,8.42,23.59,29.38,22.61,19.87,14.30,30.66,15.58
10.875,20.31,19.70,31.15,27.66,30.53,24.74,27.48,24.34
11.000,8.33,9.83,21.33,25.93,33.54,23.59,30.13,32.12
11.125,27.92,16.11,24.34,30.22,37.39,30.66,36.41,33.72
11.250,11.56,13.68,30.40,48.18,25.67,36.63,48.93,29.43
11.375,19.65,13.81,19.47,39.64,24.83,27.04,42.87,22.48
11.500,9.39,14.26,13.06,19.61,14.96,22.00,27.48,18.32
11.625,19.16,17.13,23.85,9.21,12.53,29.20,19.78,15.71
11.750,23.37,24.69,40.88,18.10,11.78,37.48,24.78,11.78
11.875,28.81,31.37,37.21,24.03,13.64,31.33,29.43,12.49
12.000,36.55,44.82,15.76,20.27,18.19,7.93,21.51,12.04
12.125,28.28,36.63,21.64,13.64,18.37,10.72,13.24,13.41
12.250,19.78,14.34,22.53,11.87,31.24,13.64,8.55,21.24
12.375,15.05,12.93,11.38,16.33,33.94,12.84,11.87,28.23
12.500,20.89,15.18,21.46,19.56,40.35,18.46,15.76,34.56
12.625,25.89,22.66,31.95,22.79,32.65,36.37,19.52,31.28
12.750,22.57,27.74,29.47,28.23,23.85,41.72,43.31,28.50
12.875,15.98,20.67,30.22,22.75,18.41,28.89,59.90,27.83
13.000,35.35,12.53,26.42,22.97,21.60,18.59,54.06,29.78
13.125,16.91,8.64,10.85,16.69,25.14,18.10,41.54,38.93
13.250,45.17,4.26,2.67,5.59,24.07,18.99,23.85,50.92
13.375,17.09,6.34,2.62,3.20,13.24,18.68,9.35,53.57
13.500,10.72,9.57,8.51,3.86,10.14,8.99,8.86,44.82
13.625,21.02,19.96,23.63,20.36,10.67,17.48,14.48,26.15
13.750,24.29,18.90,32.30,29.25,20.14,24.25,11.51,18.41
13.875,8.06,10.85,22.17,25.14,34.29,14.56,12.93,23.81
14.000,10.50,7.53,7.84,18.24,40.08,8.81,13.95,32.21
14.125,21.86,15.10,19.21,17.26,43.49,26.46,17.26,36.81
