"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,1.52,9.12,7.18,===,===,1.12,===,===
0.250,3.77,6.87,10.67,7.93,===,1.69,2.40,===
0.375,4.08,6.56,6.21,6.38,8.99,2.40,7.36,7.49
0.500,9.61,9.35,4.17,5.06,11.69,6.29,9.26,11.96
0.625,10.85,12.09,5.76,2.80,16.91,8.11,6.60,16.78
0.750,11.03,10.23,3.64,8.20,17.40,7.49,14.30,17.44
0.875,13.77,17.57,14.52,17.17,13.64,18.55,22.61,15.49
1.000,6.60,5.81,16.86,22.30,8.46,20.23,20.05,12.00
1.125,15.41,18.24,7.22,17.57,7.36,8.20,11.20,8.24
1.250,5.63,7.53,12.18,10.72,7.97,10.01,6.16,6.47
1.375,9.17,10.81,13.81,9.08,8.73,14.08,6.56,6.47
1.500,6.25,6.91,14.83,11.51,6.34,14.96,11.96,7.93
1.625,6.74,5.41,18.10,14.96,7.53,19.25,15.27,10.94
1.750,21.73,15.23,18.41,9.21,8.24,21.42,8.95,16.25
1.875,8.33,3.20,11.91,3.11,7.75,15.05,4.92,17.09
2.000,17.17,16.78,11.78,7.93,5.72,17.57,7.53,16.16
2.125,7.89,8.06,11.16,10.76,2.93,18.72,12.93,10.81
2.250,7.31,2.22,4.30,10.54,2.53,11.96,17.17,8.24
2.375,9.30,8.06,10.05,12.84,2.18,11.20,16.20,9.92
2.500,6.65,10.01,14.48,9.66,4.92,15.76,10.45,12.26
2.625,2.62,5.23,24.65,8.15,6.82,30.13,7.75,15.36
2.750,4.97,11.69,29.25,6.38,13.50,31.02,17.40,17.53
2.875,9.17,5.32,21.69,12.09,14.87,21.11,16.91,18.59
3.000,5.67,8.20,7.36,17.48,20.62,6.21,14.26,19.12
3.125,10.01,6.38,15.89,11.82,16.60,17.44,14.87,18.90
3.250,8.81,4.66,19.83,10.67,14.56,20.40,14.61,19.30
3.375,6.60,7.31,13.72,19.70,8.95,12.62,21.38,24.12
3.500,8.68,7.18,10.32,18.77,9.57,6.87,23.59,24.56
3.625,5.59,8.59,11.11,12.04,13.99,14.03,19.74,23.45
3.750,10.72,14.83,20.40,9.48,15.18,21.91,11.91,22.48
3.875,9.04,4.08,22.75,10.50,13.06,19.21,14.03,20.31
4.000,8.77,3.95,15.18,10.32,10.81,12.31,14.43,23.32
4.125,13.37,12.57,5.32,6.34,12.66,12.44,12.44,19.96
4.250,12.93,10.14,9.79,6.82,16.82,16.11,12.35,16.69
4.375,12.62,10.63,10.23,16.82,19.65,15.76,15.80,9.96
4.500,13.59,10.27,4.39,22.53,16.07,9.21,21.33,5.28
4.625,17.70,14.48,4.97,22.79,14.70,4.22,24.83,6.74
4.750,10.23,11.11,11.47,18.94,13.81,13.64,20.00,10.50
4.875,15.58,10.67,16.95,7.05,16.42,20.49,9.70,15.32
5.000,10.27,8.51,16.60,8.68,20.71,21.20,9.35,20.62
5.125,9.17,9.74,11.91,12.84,17.57,13.81,9.96,20.23
5.250,6.52,7.27,12.35,9.43,18.01,11.87,9.74,21.15
5.375,8.02,3.91,10.98,9.35,11.87,4.79,18.24,13.68
5.500,9.70,12.18,14.79,9.48,10.89,12.26,17.44,11.07
5.625,6.07,15.41,14.70,7.00,7.67,11.69,5.76,6.91
