"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,0.94,2.53,3.24,===,===,0.68,===,===
0.250,1.30,2.36,2.22,4.30,===,0.90,1.12,===
0.375,1.34,2.93,3.33,5.06,18.10,2.09,1.56,2.14
0.500,2.62,4.22,3.73,6.56,17.70,3.37,1.34,3.51
0.625,1.78,3.99,3.55,5.45,12.84,3.11,2.67,5.63
0.750,3.42,3.42,4.04,4.79,18.77,5.06,3.73,12.62
0.875,6.16,3.11,6.34,7.18,26.42,7.67,5.54,21.73
1.000,3.77,4.88,4.79,8.90,30.49,5.81,5.32,27.79
1.125,8.64,5.67,2.45,6.65,36.06,3.29,4.48,34.56
1.250,2.67,2.40,3.55,6.38,26.51,2.80,7.18,28.94
1.375,6.47,7.40,5.76,12.04,22.84,2.67,11.87,26.29
1.500,4.92,2.27,10.19,9.57,12.13,2.31,8.81,12.93
1.625,5.32,2.80,11.96,5.94,9.96,4.30,4.97,8.37
1.750,5.14,5.72,8.81,13.15,10.41,7.05,10.89,4.30
1.875,1.92,1.65,2.84,13.11,8.77,4.66,10.94,4.61
2.000,3.07,3.60,4.88,9.21,10.50,2.49,6.82,6.69
2.125,4.48,5.76,9.12,16.42,8.24,6.91,15.05,10.23
2.250,4.75,5.81,11.69,14.48,8.77,9.04,15.10,11.82
2.375,3.07,3.20,11.42,9.61,6.82,7.58,12.00,9.88
2.500,4.92,9.43,9.70,6.07,8.37,6.78,10.85,7.93
2.625,1.69,3.37,8.06,7.53,10.94,5.85,6.69,9.96
2.750,2.45,4.75,6.25,7.58,13.46,4.75,2.00,14.26
2.875,4.30,4.48,4.97,4.26,12.93,4.48,3.91,12.88
3.000,6.52,2.40,4.08,9.92,12.09,2.80,8.55,9.52
3.125,3.24,2.84,2.62,8.68,10.27,3.42,7.71,4.44
3.250,7.00,3.73,1.87,3.77,11.65,5.41,4.79,6.38
3.375,3.99,3.11,3.20,6.69,11.20,4.26,4.83,8.55
3.500,5.72,2.67,6.34,10.23,11.29,5.59,8.06,9.88
3.625,5.23,5.90,6.07,7.80,9.21,4.70,6.82,9.43
3.750,5.90,3.73,2.62,6.34,8.11,1.92,5.94,7.71
3.875,5.23,6.07,3.55,4.48,6.12,2.58,6.12,6.29
4.000,3.11,3.42,2.80,2.36,5.01,2.14,2.40,4.30
4.125,2.67,3.46,3.60,6.65,5.01,2.71,4.30,4.88
4.250,12.35,9.43,7.49,8.77,9.39,6.16,5.37,8.73
4.375,3.15,1.78,6.38,5.19,12.57,6.38,5.28,10.63
4.500,4.48,3.51,2.89,4.66,14.30,5.19,5.06,12.13
4.625,3.73,2.67,2.71,7.18,14.21,4.26,5.37,8.59
4.750,4.17,4.22,2.93,12.31,11.07,3.42,6.47,5.94
4.875,4.22,2.49,6.87,16.33,10.72,4.92,8.20,3.33
5.000,4.30,3.33,10.19,12.44,8.59,7.84,6.25,2.76
5.125,3.64,2.22,8.11,8.68,10.76,7.40,7.00,3.33
5.250,5.90,4.22,4.44,11.16,10.45,4.70,8.77,3.64
5.375,2.22,3.91,9.79,10.58,10.85,6.74,6.69,5.37
5.500,5.50,3.82,13.02,9.96,11.65,9.30,7.00,8.55
5.625,8.20,8.77,10.32,11.60,10.45,9.52,10.76,10.58
5.750,4.66,1.96,6.16,11.07,10.27,6.16,11.07,11.03
5.875,4.13,3.42,3.68,7.00,6.65,3.20,5.28,9.04
6.000,4.39,4.92,3.82,5.32,5.67,5.85,5.63,8.15
6.125,5.14,6.43,3.07,3.68,4.22,7.00,5.28,6.43
6.250,2.80,2.22,3.51,2.18,3.95,7.27,2.71,6.03
6.375,6.34,6.78,3.82,5.28,3.07,7.71,3.42,3.68
6.500,3.24,4.13,3.24,8.51,3.11,7.27,5.98,2.93
6.625,3.29,2.05,6.25,7.71,3.60,9.61,7.44,2.93
6.750,2.22,1.87,9.26,4.48,6.52,10.01,6.78,5.06
6.875,5.54,4.26,9.08,15.14,15.49,7.97,16.51,9.92
7.000,2.93,4.13,4.30,21.82,24.21,4.04,21.55,15.45
7.125,4.44,2.36,3.24,20.00,35.00,3.86,19.61,23.10
7.250,2.05,3.68,4.97,18.77,41.54,8.51,16.86,30.09
7.375,5.01,3.11,4.44,13.41,38.27,7.97,10.10,27.97
7.500,2.89,5.23,6.34,10.94,31.68,7.13,7.67,21.29
