TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,2.67,5.90,3.33,===,===,0.99,===,===
0.250,2.76,4.35,4.52,8.42,===,3.29,2.09,===
0.375,5.41,6.52,8.37,4.57,13.55,7.62,4.97,10.36
0.500,10.01,15.67,11.78,8.55,17.62,8.42,8.46,16.64
0.625,11.56,6.87,16.07,13.81,26.77,9.74,13.55,29.91
0.750,10.98,31.15,21.07,18.06,21.77,14.12,27.97,36.90
0.875,31.33,5.10,15.27,18.99,18.72,14.34,50.39,39.91
1.000,9.96,11.38,3.68,10.27,11.56,12.22,52.91,35.18
1.125,8.51,2.53,6.03,4.39,15.10,10.81,27.17,28.54
1.250,10.36,7.31,7.09,7.22,19.78,8.46,11.51,24.74
1.375,12.26,15.10,10.32,11.34,26.33,8.11,8.42,22.53
1.500,16.91,10.63,14.92,18.59,37.61,16.25,22.79,19.25
1.625,26.59,39.29,25.71,26.02,38.85,19.12,43.53,14.61
1.750,21.51,8.28,24.87,25.49,40.75,13.55,53.13,12.62
1.875,10.32,10.19,12.40,14.52,23.85,10.89,43.89,20.05
2.000,5.94,6.52,3.11,8.46,19.34,7.00,18.46,24.34
2.125,6.47,8.51,2.98,6.29,10.54,1.92,4.39,22.13
2.250,4.75,3.51,3.42,1.96,11.78,2.80,2.84,11.07
2.375,5.50,3.37,4.22,3.77,7.71,4.30,4.75,5.45
2.500,10.50,8.42,5.32,4.48,8.06,6.21,9.08,4.35
2.625,8.90,16.07,2.09,3.07,5.28,4.17,12.09,6.87
2.750,14.17,8.77,5.19,2.58,6.87,2.89,8.77,8.59
2.875,5.06,11.11,5.23,3.29,5.72,2.62,5.50,8.90
3.000,17.17,11.82,4.57,7.97,8.02,5.94,4.83,11.56
3.125,3.82,7.49,7.62,15.85,10.81,6.74,10.58,13.19
3.250,8.46,17.57,4.44,16.11,22.97,4.61,12.97,26.55
3.375,7.22,5.54,7.00,9.35,34.42,10.01,12.93,34.38
3.500,30.84,32.96,13.77,3.60,38.18,30.31,13.28,43.09
3.625,25.71,13.28,11.29,4.17,34.82,45.13,26.73,50.12
3.750,10.81,19.74,5.98,7.49,25.93,33.54,34.78,45.17
3.875,9.17,6.91,8.64,11.65,17.57,10.01,28.28,41.41
4.000,7.71,10.67,9.12,14.30,10.85,4.52,15.36,23.72
4.125,7.18,7.27,4.57,8.64,8.37,1.78,7.13,15.23
4.250,2.49,4.13,2.49,6.78,13.95,2.00,4.75,10.01
4.375,5.63,7.44,2.71,8.73,20.49,2.36,4.04,13.11
4.500,8.20,2.98,5.76,14.34,30.40,5.98,11.29,17.09
4.625,10.05,13.06,10.14,25.22,34.56,26.68,14.96,29.74
4.750,22.35,6.78,17.79,38.36,50.48,46.19,8.46,38.36
