TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,2.18,5.45,10.63,===,===,1.16,===,===
0.250,3.15,4.04,8.51,6.43,===,1.56,2.27,===
0.375,5.63,11.03,1.74,7.13,9.21,1.61,6.12,5.54
0.500,7.40,15.14,5.41,8.59,11.82,4.61,9.43,8.20
0.625,6.69,9.88,6.29,8.81,11.60,6.82,13.41,12.75
0.750,10.10,17.84,6.07,6.65,12.18,5.63,12.49,11.11
0.875,5.01,8.81,8.42,7.89,9.30,3.99,7.84,9.39
1.000,4.22,6.87,8.59,13.46,8.68,4.79,9.12,6.43
1.125,7.00,9.74,4.92,17.79,12.75,5.01,11.11,7.31
1.250,4.44,8.20,4.08,14.61,17.22,7.09,8.68,14.96
1.375,8.81,3.64,9.12,5.94,21.38,11.60,5.28,17.04
1.500,2.84,6.74,11.47,2.98,22.22,11.20,5.72,19.21
1.625,11.29,12.40,10.81,6.03,26.33,8.59,4.88,17.26
1.750,4.48,8.51,10.94,9.04,28.45,10.01,8.11,17.57
1.875,5.76,8.86,7.80,7.13,33.63,12.00,9.04,19.96
2.000,25.14,23.72,4.75,8.15,35.84,10.36,6.96,22.75
2.125,7.22,8.15,6.43,6.16,33.05,7.18,5.76,20.89
2.250,15.85,19.25,8.42,7.22,27.97,3.91,7.44,17.35
2.375,13.33,8.95,9.30,11.65,14.83,4.52,8.24,8.37
2.500,13.24,6.91,5.41,7.36,11.11,2.27,5.67,6.07
2.625,5.67,8.55,6.65,11.25,10.41,3.68,11.34,8.06
2.750,14.56,14.56,14.83,33.49,18.55,5.59,34.07,9.26
2.875,15.76,22.97,19.74,45.13,21.82,5.54,46.28,17.93
3.000,26.20,19.39,20.49,32.17,26.20,1.74,40.17,20.89
3.125,10.10,11.16,13.06,18.24,22.39,5.94,24.52,33.18
3.250,11.20,6.25,6.03,7.67,28.10,7.49,9.70,33.05
3.375,7.53,8.86,7.31,6.29,24.07,4.66,6.74,29.56
3.500,7.49,7.62,5.59,6.47,28.32,3.77,6.16,21.29
3.625,12.66,9.21,3.51,5.19,22.53,1.78,4.08,11.91
3.750,7.13,9.39,4.04,4.44,24.21,3.55,3.86,12.13
3.875,5.01,7.13,3.37,6.16,22.57,3.55,6.38,8.90
4.000,11.65,10.89,5.81,9.74,21.95,2.36,13.11,13.06
4.125,7.44,13.95,13.90,26.46,20.00,11.51,27.26,11.73
4.250,7.09,8.02,20.89,51.01,15.27,22.04,39.24,15.41
4.375,24.12,19.30,23.63,59.63,11.69,23.50,43.22,15.54
4.500,22.00,8.51,23.19,45.66,11.91,14.26,36.90,17.57
4.625,14.74,5.14,20.98,23.10,11.73,7.36,13.64,18.85
4.750,11.91,5.01,11.42,10.63,12.75,5.85,6.47,16.78
4.875,15.76,7.71,3.99,11.69,10.45,9.04,7.67,11.91
5.000,7.93,3.33,4.79,9.04,10.10,6.69,12.62,6.03
5.125,13.55,13.37,5.85,6.34,12.40,2.27,10.23,5.14
5.250,11.25,14.96,4.17,7.18,15.18,3.82,7.31,8.02
5.375,5.94,4.17,4.48,4.57,16.95,6.96,7.53,10.76
5.500,7.89,13.99,13.15,4.88,16.95,13.72,6.82,10.41
5.625,12.40,5.41,14.56,4.04,10.76,7.97,3.07,7.80
5.750,11.51,7.13,9.79,3.60,9.48,13.33,8.42,7.18
5.875,35.62,8.11,3.15,9.92,7.31,33.14,20.98,7.62
6.000,16.20,10.14,2.84,12.93,14.34,30.22,23.28,13.95
6.125,9.26,10.05,4.35,9.88,14.65,11.29,12.84,16.02
6.250,8.99,7.67,4.75,3.82,22.30,1.96,4.13,17.62
6.375,4.57,10.32,4.79,5.06,18.24,4.30,6.87,13.02
6.500,5.37,10.72,4.13,7.44,18.59,6.21,8.33,10.45
6.625,3.91,5.63,3.86,7.49,9.39,4.88,5.50,6.82
6.750,9.43,11.60,5.28,3.73,6.03,3.33,2.36,5.28
6.875,5.41,5.90,5.67,1.92,2.98,4.04,3.02,3.73
7.000,6.65,10.10,7.49,4.17,3.64,4.30,5.90,3.51
7.125,8.06,5.72,9.30,9.35,4.04,4.66,7.75,3.24
7.250,6.65,11.34,5.98,10.94,4.30,3.86,5.06,4.44
7.375,8.02,7.58,6.25,9.57,6.21,9.12,2.22,7.58
7.500,10.94,6.07,10.50,11.25,13.99,17.26,5.94,11.82
7.625,6.12,9.61,9.21,15.54,26.24,24.78,24.78,11.42
7.750,15.01,13.72,13.50,18.59,30.58,27.97,46.10,11.91
7.875,9.08,9.08,13.15,15.49,30.71,21.51,48.84,12.13
8.000,12.88,13.55,5.01,16.02,16.64,11.03,35.48,23.28
8.125,7.53,4.83,6.56,10.76,10.76,5.59,15.89,24.29
8.250,3.73,6.65,9.96,6.96,7.62,2.98,10.85,25.98
8.375,10.63,13.33,9.12,5.54,8.59,5.54,11.91,15.14
8.500,2.05,7.05,9.79,11.38,11.11,7.67,12.75,13.77
8.625,11.03,13.41,8.99,16.95,8.51,13.19,7.75,7.67
8.750,8.68,3.99,6.65,17.13,11.29,16.02,4.39,10.67
8.875,8.20,9.30,2.80,13.95,8.77,10.76,2.62,16.51
9.000,7.05,6.60,6.38,7.84,9.43,7.97,3.82,22.70
9.125,9.52,9.70,7.27,7.58,9.88,10.36,8.90,34.29
