TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,2.53,4.83,3.82,===,===,1.52,===,===
0.250,===,===,===,===,===,===,===,===,2.31,2.22,4.04,5.98,===,2.62,4.30,===
0.375,===,===,===,===,===,===,===,===,6.34,5.06,6.07,8.02,16.11,10.94,12.18,12.00
0.500,===,===,===,===,===,===,===,===,9.08,3.29,9.74,12.71,23.99,15.10,17.35,18.19
0.625,===,===,===,===,===,===,===,===,13.50,22.30,9.96,10.05,28.85,18.10,17.31,24.12
0.750,===,===,===,===,===,===,===,===,11.56,15.36,5.10,17.44,27.74,19.30,40.00,29.56
0.875,===,===,===,===,===,===,===,===,22.92,12.26,10.19,22.17,23.68,12.40,59.41,33.80
1.000,===,===,===,===,===,===,===,===,11.60,8.33,14.17,18.55,20.98,8.81,57.20,34.11
1.125,===,===,===,===,===,===,===,===,4.92,5.72,13.95,16.47,17.26,10.10,31.77,30.71
1.250,===,===,===,===,===,===,===,===,5.23,5.50,9.70,21.69,14.48,8.64,12.88,20.71
1.375,===,===,===,===,===,===,===,===,6.52,13.72,9.39,28.89,19.78,12.57,16.38,15.27
1.500,===,===,===,===,===,===,===,===,7.09,27.61,12.84,46.01,26.90,15.01,23.85,11.82
1.625,===,===,===,===,===,===,===,===,3.07,24.43,15.23,49.42,39.69,9.43,16.42,14.17
1.750,===,===,===,===,===,===,===,===,2.14,12.93,13.99,35.44,50.96,5.28,5.98,18.24
1.875,===,===,===,===,===,===,===,===,3.64,8.20,12.66,18.41,48.13,3.37,13.11,16.47
2.000,===,===,===,===,===,===,===,===,1.69,6.78,5.10,4.61,42.43,2.71,10.32,19.74
2.125,===,===,===,===,===,===,===,===,3.77,5.41,5.67,2.67,28.19,2.22,5.63,15.23
2.250,===,===,===,===,===,===,===,===,7.71,7.80,6.91,8.06,30.27,3.42,3.55,17.00
2.375,===,===,===,===,===,===,===,===,4.04,20.49,17.62,13.37,36.02,3.99,3.95,10.19
2.500,===,===,===,===,===,===,===,===,18.63,19.56,28.01,15.63,46.41,7.71,6.69,8.24
2.625,===,===,===,===,===,===,===,===,9.35,11.82,24.69,25.22,43.76,6.21,10.05,4.79
2.750,===,===,===,===,===,===,===,===,8.11,12.35,10.85,25.80,42.47,4.04,7.53,6.78
2.875,===,===,===,===,===,===,===,===,6.82,4.30,11.91,15.89,26.33,5.23,13.37,14.21
3.000,===,===,===,===,===,===,===,===,20.31,5.32,8.11,8.37,22.84,6.12,33.80,22.53
3.125,===,===,===,===,===,===,===,===,27.17,4.48,5.23,5.37,12.62,8.99,45.22,38.89
3.250,===,===,===,===,===,===,===,===,4.57,8.68,12.62,7.05,13.90,17.44,42.87,52.91
3.375,===,===,===,===,===,===,===,===,14.21,13.99,20.98,6.52,11.25,23.99,21.24,56.85
3.500,===,===,===,===,===,===,===,===,7.31,20.89,15.89,5.81,17.75,24.07,6.29,65.87
3.625,===,===,===,===,===,===,===,===,7.80,28.85,6.82,13.72,21.69,21.95,4.44,53.44
3.750,===,===,===,===,===,===,===,===,3.86,36.99,19.96,31.86,27.35,10.76,6.38,54.50
3.875,===,===,===,===,===,===,===,===,4.35,25.09,24.29,31.59,26.20,2.76,6.47,34.82
4.000,===,===,===,===,===,===,===,===,1.83,6.16,23.99,16.33,19.96,2.00,2.80,24.47
4.125,35.40,52.47,63.69,84.22,33.18,33.18,53.41,79.51,1.16,8.86,16.91,10.41,15.58,0.68,1.34,11.60
4.250,35.51,52.55,63.61,85.20,31.14,31.14,49.49,76.67,1.12,7.40,10.27,9.57,13.11,1.12,0.94,4.26
4.375,35.44,52.47,64.24,86.18,29.49,29.49,45.96,73.73,1.83,14.56,12.09,14.87,11.07,1.16,1.25,2.36
4.500,34.97,52.47,64.55,86.37,27.61,27.61,43.14,71.27,2.45,7.27,11.47,19.30,9.83,2.49,1.52,3.02
4.625,33.94,52.31,64.24,86.27,25.57,25.57,40.31,69.41,4.04,13.41,14.79,13.11,7.22,4.08,5.10,4.83
4.750,32.37,52.08,63.22,85.98,24.00,24.00,38.51,69.71,7.13,2.67,17.13,6.47,8.46,5.98,8.64,11.20
4.875,30.80,51.69,62.20,85.88,23.61,23.61,37.49,69.80,8.28,12.40,18.37,15.58,10.27,7.67,9.88,12.13
5.000,30.27,51.53,61.10,85.78,24.00,24.00,37.33,69.22,8.02,5.01,17.66,17.66,18.94,9.61,10.89,12.13
5.125,31.27,52.08,60.86,85.39,24.78,24.78,37.57,68.63,2.49,17.75,15.94,18.68,29.65,12.84,12.75,7.53
5.250,33.23,53.02,61.80,85.98,25.88,25.88,38.20,68.63,8.90,35.04,14.96,23.01,34.73,13.59,12.09,9.08
5.375,35.29,53.73,62.43,85.59,27.06,27.06,39.06,68.82,5.01,15.18,9.83,27.97,39.11,10.94,6.12,9.66
5.500,36.54,53.18,62.98,85.59,27.76,27.76,39.06,68.24,2.62,7.44,7.22,29.51,41.01,5.94,1.74,10.50
5.625,36.72,51.76,63.14,85.59,27.61,27.61,38.20,67.45,1.87,14.56,12.66,17.88,38.54,1.69,1.69,6.74
5.750,36.11,50.04,62.67,85.98,26.75,26.75,36.94,66.86,2.31,4.44,8.55,6.43,31.19,2.00,2.09,4.22
5.875,35.51,48.63,61.73,85.88,26.04,26.04,35.84,66.57,4.48,10.67,9.61,7.40,17.31,3.24,2.49,1.92
6.000,35.33,48.16,60.39,84.80,25.49,25.49,33.41,65.00,5.41,8.11,17.31,8.42,10.32,4.88,4.57,5.72
6.125,35.72,48.31,59.14,84.22,25.25,25.25,30.59,64.12,11.82,12.35,15.41,5.94,6.21,7.93,6.25,8.73
6.250,36.11,48.71,58.75,85.00,25.02,25.02,27.84,63.33,8.81,6.12,10.72,5.32,5.90,13.37,6.87,15.23
6.375,36.19,48.00,58.82,84.80,24.63,24.63,25.18,62.35,9.30,5.28,8.37,7.53,7.89,16.55,8.02,16.07
6.500,35.94,47.06,58.90,84.12,24.55,24.55,23.53,61.37,6.91,4.88,11.51,11.20,8.95,19.25,8.90,19.83
6.625,35.44,46.20,59.14,83.82,24.16,24.16,23.61,61.18,13.64,14.17,12.57,17.84,11.51,19.96,7.49,26.37
6.750,34.90,45.73,58.51,83.73,24.16,24.16,25.49,61.08,6.65,9.30,5.81,27.61,14.74,28.50,26.15,29.12
6.875,34.62,45.88,57.73,83.33,25.18,25.18,27.29,60.69,21.95,34.95,22.84,27.70,19.70,31.06,40.92,36.68
7.000,34.55,46.43,57.33,82.94,27.45,27.45,29.18,60.10,20.00,21.55,33.98,22.97,24.43,23.41,42.12,32.08
7.125,34.58,47.22,57.33,83.73,30.27,30.27,31.61,60.10,11.69,13.37,26.20,13.68,25.89,9.26,30.62,29.47
7.250,34.44,47.61,57.33,84.31,32.47,32.47,34.51,61.47,6.47,5.67,9.12,6.74,26.82,4.83,14.21,22.22
7.375,34.26,47.37,56.86,84.12,33.41,33.41,36.39,63.33,3.46,6.74,3.42,5.14,18.81,2.09,5.23,17.26
7.500,34.12,46.90,55.22,83.53,33.57,33.57,37.65,65.69,3.42,7.84,4.88,6.69,15.18,3.20,8.77,18.99
7.625,34.01,45.96,53.33,83.63,33.88,33.88,39.22,68.14,4.52,8.95,8.77,8.73,15.76,5.10,16.11,28.01
7.750,33.94,45.25,51.92,83.92,34.43,34.43,41.18,70.29,5.81,9.57,8.11,9.39,23.37,5.54,19.12,30.62
7.875,34.26,44.86,51.53,84.12,34.98,34.98,42.75,71.18,11.91,10.45,5.01,11.51,31.55,5.90,14.48,34.03
8.000,35.04,45.25,51.37,83.82,35.45,35.45,43.69,71.57,3.64,9.57,12.00,14.48,26.86,7.36,12.09,22.44
8.125,35.61,45.73,50.98,82.55,35.53,35.53,43.92,72.16,5.59,12.80,18.85,14.61,18.77,7.62,12.88,18.32
8.250,35.29,46.20,49.96,81.76,35.37,35.37,43.61,72.65,4.57,5.67,19.96,5.94,12.40,2.93,6.87,17.53
8.375,33.83,46.43,49.10,81.47,34.51,34.51,42.35,72.45,4.13,8.64,16.33,4.97,12.57,4.57,3.73,16.51
8.500,32.12,46.51,48.31,80.88,33.65,33.65,42.12,72.16,7.80,13.95,12.35,6.87,13.77,3.86,6.21,14.52
8.625,30.80,46.67,47.84,80.78,33.96,33.96,43.84,74.02,7.75,6.91,15.54,12.62,22.97,10.81,13.59,21.60
