"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,3.73,7.71,3.11,===,===,2.14,===,===
0.250,===,===,===,===,===,===,===,===,13.24,17.44,7.89,10.50,===,3.91,3.42,===
0.375,===,===,===,===,===,===,===,===,10.05,18.99,20.09,7.44,10.27,8.02,5.90,7.93
0.500,===,===,===,===,===,===,===,===,35.53,51.98,26.24,8.24,9.79,9.17,6.60,11.51
0.625,===,===,===,===,===,===,===,===,6.21,10.89,18.32,7.84,19.56,7.40,4.30,17.97
0.750,===,===,===,===,===,===,===,===,16.64,20.45,10.05,10.05,26.20,7.67,5.76,19.21
0.875,===,===,===,===,===,===,===,===,5.32,8.73,7.97,17.04,33.05,3.73,12.44,19.61
1.000,===,===,===,===,===,===,===,===,5.76,14.70,21.60,19.39,36.63,8.51,10.50,19.25
1.125,===,===,===,===,===,===,===,===,2.14,12.31,26.33,8.06,31.55,4.26,18.32,15.67
1.250,===,===,===,===,===,===,===,===,8.24,29.56,30.71,16.16,29.91,4.48,33.36,12.66
1.375,===,===,===,===,===,===,===,===,12.66,14.92,29.69,26.82,19.30,6.34,31.77,6.43
1.500,===,===,===,===,===,===,===,===,9.30,6.96,16.07,24.43,29.43,6.69,18.06,9.96
1.625,===,===,===,===,===,===,===,===,10.76,12.35,16.60,12.35,32.70,15.27,5.98,15.01
1.750,===,===,===,===,===,===,===,===,7.93,11.03,19.25,7.53,37.92,15.01,14.52,23.10
1.875,===,===,===,===,===,===,===,===,6.29,25.53,7.31,11.91,32.21,13.59,18.28,23.68
2.000,===,===,===,===,===,===,===,===,7.13,8.46,14.26,19.34,23.28,12.09,10.23,21.15
2.125,===,===,===,===,===,===,===,===,6.52,12.22,19.12,38.80,20.62,5.76,12.84,18.46
2.250,===,===,===,===,===,===,===,===,5.06,5.85,12.00,36.63,16.25,9.52,19.12,10.72
2.375,===,===,===,===,===,===,===,===,5.28,5.85,11.29,13.77,18.28,15.27,12.80,7.84
2.500,===,===,===,===,===,===,===,===,3.15,6.82,20.80,3.91,19.92,17.26,5.81,3.64
2.625,===,===,===,===,===,===,===,===,1.92,6.56,9.30,9.48,21.29,7.75,10.41,6.74
2.750,===,===,===,===,===,===,===,===,7.18,9.39,15.76,26.06,31.37,5.98,16.78,10.45
2.875,===,===,===,===,===,===,===,===,4.04,6.96,23.54,35.31,30.58,6.82,20.67,20.36
3.000,===,===,===,===,===,===,===,===,11.65,18.37,16.33,21.73,30.97,5.41,18.85,20.14
3.125,===,===,===,===,===,===,===,===,3.77,3.11,16.02,11.47,23.90,11.78,12.88,23.37
