"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,3.91,6.07,5.32,===,===,1.65,===,===
0.250,===,===,===,===,===,===,===,===,5.37,1.96,3.91,5.90,===,5.59,5.50,===
0.375,===,===,===,===,===,===,===,===,12.84,2.67,1.78,2.18,2.93,11.51,13.15,14.79
0.500,===,===,===,===,===,===,===,===,8.68,1.30,1.96,2.98,4.17,15.80,20.09,22.26
0.625,===,===,===,===,===,===,===,===,12.88,1.16,1.21,2.22,4.48,10.67,20.54,33.63
0.750,===,===,===,===,===,===,===,===,2.31,0.90,1.03,1.16,3.73,4.79,19.30,38.14
0.875,===,===,===,===,===,===,===,===,8.33,0.81,1.21,1.03,2.89,6.07,17.40,35.57
1.000,===,===,===,===,===,===,===,===,10.76,2.31,1.74,1.56,2.27,8.20,10.45,30.75
1.125,===,===,===,===,===,===,===,===,11.47,7.58,2.00,2.31,3.20,7.00,6.25,18.55
1.250,===,===,===,===,===,===,===,===,8.24,7.36,4.52,3.51,4.22,5.85,5.76,14.83
1.375,===,===,===,===,===,===,===,===,9.17,22.26,10.54,7.84,11.69,8.99,8.90,9.04
1.500,===,===,===,===,===,===,===,===,8.55,19.87,13.02,8.95,14.92,3.68,6.78,16.42
1.625,===,===,===,===,===,===,===,===,12.00,8.06,9.43,6.03,22.22,13.33,8.11,22.39
1.750,===,===,===,===,===,===,===,===,35.48,7.36,2.67,2.40,19.25,20.31,17.44,26.02
1.875,===,===,===,===,===,===,===,===,12.88,2.05,2.58,2.58,18.37,16.25,13.90,18.94
2.000,===,===,===,===,===,===,===,===,17.62,2.18,1.38,1.96,10.76,8.55,7.89,10.76
2.125,===,===,===,===,===,===,===,===,7.44,0.63,1.07,1.03,6.38,3.11,11.87,7.44
2.250,===,===,===,===,===,===,===,===,8.95,1.07,1.47,1.56,3.46,3.82,8.59,6.12
2.375,===,===,===,===,===,===,===,===,7.05,1.34,1.56,1.65,2.80,7.27,9.83,9.04
2.500,===,===,===,===,===,===,===,===,7.40,1.30,1.47,1.56,2.09,7.36,7.00,10.98
2.625,===,===,===,===,===,===,===,===,4.44,1.21,1.30,1.43,1.61,5.63,8.15,17.35
2.750,===,===,===,===,===,===,===,===,5.94,1.12,1.16,1.25,1.30,10.23,17.13,17.31
2.875,===,===,===,===,===,===,===,===,1.78,1.07,1.03,1.07,1.03,8.55,24.87,22.75
3.000,===,===,===,===,===,===,===,===,1.74,1.30,0.85,1.12,0.90,5.98,19.78,18.68
3.125,===,===,===,===,===,===,===,===,4.97,1.43,1.47,1.38,1.03,5.67,8.24,22.75
3.250,===,===,===,===,===,===,===,===,6.60,2.71,2.40,1.87,1.65,7.09,9.35,14.79
3.375,===,===,===,===,===,===,===,===,3.99,2.05,1.30,2.40,4.30,5.06,9.52,17.00
3.500,===,===,===,===,===,===,===,===,3.64,2.22,4.79,5.50,6.38,8.02,5.72,13.72
3.625,===,===,===,===,===,===,===,===,9.17,5.01,4.97,6.25,9.74,8.64,3.68,17.48
3.750,===,===,===,===,===,===,===,===,7.36,6.96,1.74,4.79,12.00,3.46,4.83,16.38
3.875,===,===,===,===,===,===,===,===,5.01,2.27,1.96,9.12,11.51,3.46,8.28,14.65
4.000,===,===,===,===,===,===,===,===,5.63,5.94,2.93,10.14,10.05,6.91,8.33,11.20
4.125,10.23,9.88,12.39,39.02,31.37,31.37,49.18,77.45,3.46,4.66,5.98,7.22,6.38,10.50,7.49,5.98
4.250,10.34,10.75,13.96,40.10,31.29,31.29,49.10,76.27,3.24,2.84,8.73,8.51,8.55,13.06,9.30,5.63
4.375,9.59,11.14,15.14,41.47,31.53,31.53,49.41,75.49,9.48,7.40,8.59,4.97,13.46,10.58,6.07,7.05
4.500,8.09,10.51,15.61,41.86,31.53,31.53,48.86,74.12,4.39,4.35,4.66,5.32,17.62,5.50,2.53,8.68
4.625,6.13,9.57,16.00,41.76,31.22,31.22,47.76,72.16,6.78,6.25,4.22,8.73,18.15,2.36,2.31,8.15
4.750,4.31,8.47,16.16,41.08,29.65,29.65,46.35,70.39,3.82,3.11,5.45,5.54,15.58,5.37,4.44,7.62
4.875,3.14,8.16,16.39,40.39,27.61,27.61,45.25,69.61,5.76,5.23,6.38,2.58,9.61,5.59,8.02,8.24
5.000,2.96,8.47,16.86,40.59,25.49,25.49,44.86,69.80,6.16,4.75,5.85,2.09,10.76,2.71,16.78,17.66
5.125,3.07,8.94,17.73,42.16,24.16,24.16,45.25,70.88,9.70,6.25,1.92,4.79,12.00,4.57,18.90,23.54
5.250,3.28,9.41,18.98,44.41,24.24,24.24,45.65,72.35,6.78,3.68,6.29,8.06,20.62,11.16,16.11,32.79
5.375,3.49,10.35,20.94,46.96,25.02,25.02,46.12,73.53,12.26,5.06,6.74,10.94,25.53,13.33,16.82,34.42
5.500,3.67,11.29,23.06,49.41,25.73,25.73,46.51,73.73,4.22,2.93,4.08,9.12,25.49,6.74,12.26,32.12
5.625,3.92,12.24,24.94,51.67,25.65,25.65,46.51,73.82,3.99,4.57,5.06,6.34,22.35,2.14,8.42,26.20
5.750,4.24,13.02,26.51,53.14,25.02,25.02,45.41,72.84,5.98,4.52,3.33,13.19,18.15,3.77,11.87,19.52
5.875,4.46,13.96,28.71,55.49,24.08,24.08,44.08,72.06,4.88,3.64,6.96,16.64,18.06,1.61,11.82,15.85
6.000,4.71,14.90,30.51,58.24,23.29,23.29,42.43,70.88,5.85,6.43,11.11,14.92,16.16,4.26,8.86,11.60
6.125,4.96,16.08,32.31,61.18,22.51,22.51,40.63,70.20,3.86,2.40,10.05,14.92,12.13,6.12,12.84,10.98
6.250,5.17,17.02,34.20,64.41,22.12,22.12,39.92,70.49,3.07,4.44,6.91,8.42,10.32,6.69,12.57,14.61
6.375,5.35,17.65,35.61,67.84,22.12,22.12,40.16,71.37,2.27,3.73,5.45,5.54,16.60,8.20,9.70,22.48
6.500,5.49,18.35,36.78,70.29,22.35,22.35,40.47,72.35,4.66,4.83,6.25,9.48,24.07,7.89,7.27,27.74
6.625,5.60,19.22,37.57,71.86,22.27,22.27,40.71,73.82,3.07,2.84,3.64,7.84,24.96,4.52,5.54,23.76
6.750,5.67,19.84,38.35,72.84,21.80,21.80,40.55,74.61,5.06,3.24,7.93,4.13,20.67,3.24,1.83,17.17
6.875,5.63,20.55,38.75,73.43,21.25,21.25,40.16,74.31,3.86,3.29,9.88,8.20,10.85,4.13,2.22,7.44
7.000,5.56,21.25,38.67,74.02,21.02,21.02,39.29,73.43,4.04,4.13,4.35,7.75,8.15,2.89,3.51,7.09
7.125,5.49,21.25,38.04,74.31,20.78,20.78,38.27,72.55,2.89,4.48,1.92,3.95,5.50,5.06,3.46,6.82
7.250,5.45,21.02,37.41,74.22,20.31,20.31,37.41,72.55,5.98,5.10,2.71,5.45,7.09,6.52,4.79,9.12
7.375,5.49,20.55,36.94,73.92,19.76,19.76,36.78,72.16,2.36,3.86,4.83,8.20,8.06,7.22,6.87,9.26
7.500,5.38,20.47,36.63,74.02,19.22,19.22,36.24,71.27,3.24,3.46,7.05,8.64,10.67,7.62,7.49,10.50
7.625,5.35,20.63,36.24,74.12,18.75,18.75,36.08,70.59,1.78,2.14,8.59,7.09,16.42,6.56,8.33,9.08
7.750,5.24,21.10,35.92,74.41,18.82,18.82,36.78,70.78,1.65,4.92,6.52,9.79,17.00,3.42,10.98,7.09
7.875,5.35,21.18,35.69,74.71,18.67,18.67,37.25,70.98,1.78,2.27,3.15,9.88,17.22,2.53,12.00,8.95
8.000,5.45,21.25,35.76,74.51,18.82,18.82,36.63,70.59,5.28,6.34,2.45,9.83,10.72,3.46,11.07,10.27
8.125,5.74,21.80,36.47,73.33,18.82,18.82,34.98,69.41,4.61,3.29,7.00,11.82,7.89,7.22,9.79,14.26
8.250,5.88,22.59,37.41,71.57,18.82,18.82,33.33,68.33,2.84,5.54,6.52,13.33,8.06,6.34,9.43,14.21
8.375,6.06,23.14,37.73,70.00,18.27,18.27,31.92,66.76,4.35,3.60,1.69,8.06,8.64,3.37,6.82,13.11
8.500,6.13,22.98,37.02,68.43,17.41,17.41,30.43,64.41,2.18,4.39,1.47,3.15,9.92,4.22,3.07,10.89
8.625,6.13,23.29,36.16,66.96,16.71,16.71,29.02,62.16,3.55,2.76,7.44,7.71,7.58,7.80,7.36,7.00
8.750,6.10,24.00,35.53,66.08,16.55,16.55,28.08,60.10,4.75,4.48,17.13,9.92,8.15,12.84,10.01,6.91
8.875,6.10,25.18,34.90,65.98,16.94,16.94,27.37,58.82,3.99,4.75,20.27,5.76,7.71,12.93,7.44,5.28
9.000,6.06,26.51,34.12,64.51,17.73,17.73,26.82,57.35,1.83,1.65,18.01,4.66,9.70,10.10,4.52,6.82
9.125,5.99,27.37,33.49,62.65,18.51,18.51,26.51,55.98,3.86,2.27,12.88,8.06,9.08,7.00,5.94,5.63
9.250,5.88,28.00,33.41,61.37,18.82,18.82,26.20,54.12,2.67,3.15,6.38,4.39,9.35,4.35,3.64,5.63
9.375,5.92,28.16,33.41,60.00,18.98,18.98,25.73,51.57,8.59,7.05,5.94,9.08,9.43,5.59,8.06,5.14
9.500,6.17,28.31,33.33,58.92,18.98,18.98,25.02,49.02,4.44,4.97,10.32,14.96,12.66,9.08,12.40,5.06
9.625,6.42,28.55,33.18,58.24,18.98,18.98,24.71,46.76,8.81,9.21,11.78,10.89,13.33,10.72,8.24,5.01
9.750,6.84,28.55,32.94,57.75,19.53,19.53,25.02,44.90,4.48,4.30,10.94,4.79,17.26,7.93,5.54,4.30
9.875,7.20,28.63,33.65,57.84,20.31,20.31,26.27,43.63,8.24,8.68,6.87,11.65,18.90,3.29,14.56,5.41
10.000,7.81,28.86,35.14,58.43,22.04,22.04,27.84,43.53,11.78,12.80,9.61,22.53,23.99,15.54,20.76,7.05
10.125,8.52,29.41,36.78,60.00,24.86,24.86,30.12,45.00,16.69,7.05,12.53,20.89,31.59,27.39,32.43,14.83
10.250,9.23,30.67,38.75,62.06,28.00,28.00,33.18,47.25,14.87,9.96,8.11,13.19,38.45,24.29,36.94,20.36
10.375,9.88,32.08,40.24,64.61,30.82,30.82,36.55,49.71,8.42,13.46,9.74,5.06,38.32,14.74,25.93,25.75
10.500,10.70,33.02,40.71,66.27,32.55,32.55,39.29,52.16,10.01,3.91,9.43,3.07,34.95,7.58,9.17,25.22
10.625,11.44,33.57,41.18,65.59,33.33,33.33,40.94,54.12,11.03,14.74,5.06,4.08,22.70,3.42,5.94,18.59
10.750,12.26,34.20,42.43,65.88,33.88,33.88,42.12,55.00,11.07,6.82,8.33,11.07,26.90,7.93,8.24,15.49
10.875,12.94,34.75,43.76,66.67,34.82,34.82,43.69,55.78,8.95,12.49,11.51,15.10,27.35,12.35,19.52,10.32
11.000,13.37,35.61,44.86,67.55,36.16,36.16,45.02,56.37,9.12,8.51,12.62,9.48,41.72,13.90,18.99,12.53
11.125,13.62,36.47,45.96,69.31,37.25,37.25,46.20,56.86,4.61,1.25,9.88,8.77,35.93,12.71,8.37,11.34
11.250,13.69,36.47,46.04,71.18,37.80,37.80,46.82,56.57,8.20,8.64,4.26,9.48,30.40,6.60,6.65,8.86
11.375,13.87,36.16,45.96,72.25,37.57,37.57,47.14,56.57,7.27,4.70,6.21,11.03,14.43,2.76,10.98,7.00
11.500,13.90,36.00,46.12,72.65,37.10,37.10,47.53,56.86,5.32,5.63,8.06,10.81,11.34,4.75,11.51,9.30
11.625,13.94,35.84,46.51,73.82,37.02,37.02,48.00,57.65,6.38,5.59,3.55,8.68,13.72,4.04,9.30,11.91
11.750,14.30,35.53,46.43,75.00,36.78,36.78,48.16,58.73,10.14,11.78,5.67,6.78,17.04,6.96,6.69,13.37
11.875,15.08,35.22,46.98,75.88,36.78,36.78,48.08,60.49,2.31,6.91,6.03,9.79,20.09,9.83,4.66,14.48
12.000,16.22,34.67,48.08,76.67,36.63,36.63,48.31,62.94,22.35,22.44,5.14,18.55,17.79,6.69,7.53,20.31
12.125,17.72,34.51,49.80,77.55,36.31,36.31,49.02,65.78,6.03,21.38,12.57,18.68,15.71,8.02,9.12,35.13
12.250,19.29,34.27,51.14,79.31,36.16,36.16,49.57,68.63,16.38,16.73,10.72,8.59,14.43,4.35,7.40,38.23
12.375,20.50,34.04,51.53,81.37,36.47,36.47,50.12,71.18,8.46,7.53,4.61,4.57,17.26,5.85,6.34,38.62
12.500,22.25,34.43,51.06,82.94,37.10,37.10,50.59,73.43,10.27,8.68,5.14,4.70,19.65,11.69,8.77,28.72
12.625,24.63,35.69,51.14,83.43,38.12,38.12,50.98,74.12,6.03,41.54,14.43,8.28,20.27,10.58,10.81,21.73
12.750,26.99,36.94,51.22,83.63,38.90,38.90,51.37,75.29,8.51,16.16,20.18,10.81,21.82,10.50,8.02,22.26
12.875,28.59,37.65,51.29,83.33,40.00,40.00,51.53,76.76,5.14,23.59,17.22,11.11,24.12,20.00,7.49,20.98
13.000,29.66,38.20,51.22,84.02,41.33,41.33,51.76,78.63,10.10,8.99,9.96,11.11,31.28,22.08,13.41,28.19
13.125,30.98,38.12,50.67,84.51,41.49,41.49,52.63,80.20,5.37,22.30,6.07,14.39,30.53,12.31,18.01,28.72
13.250,32.62,37.33,50.27,84.51,40.24,40.24,52.63,80.59,11.51,37.30,3.95,18.41,26.82,3.15,16.51,26.15
13.375,34.26,36.31,49.88,83.92,37.80,37.80,51.29,79.90,6.29,6.69,4.97,17.93,17.31,6.82,7.27,21.77
13.500,35.26,35.14,49.10,82.55,35.45,35.45,49.10,78.73,9.70,10.81,4.61,13.06,9.39,6.65,10.32,13.19
13.625,35.22,33.96,48.39,81.27,33.65,33.65,47.29,76.86,5.45,3.11,2.89,7.62,8.11,3.99,11.47,9.52
13.750,34.69,32.86,47.45,81.47,32.71,32.71,46.04,74.71,7.27,3.68,1.56,6.34,7.40,2.36,7.67,5.50
13.875,34.15,32.08,45.65,79.41,32.24,32.24,44.63,73.14,2.09,2.84,5.06,7.13,10.58,5.54,6.65,6.03
14.000,33.83,31.76,44.00,78.04,31.92,31.92,42.51,70.98,8.28,3.33,11.38,6.43,11.25,10.72,5.72,6.52
14.125,33.65,31.84,42.59,76.86,31.76,31.76,40.47,68.33,5.94,6.87,15.18,6.38,12.22,13.59,6.21,6.52
14.250,33.55,32.08,41.49,75.78,31.69,31.69,38.98,66.18,5.67,5.45,14.03,6.25,12.53,10.94,6.69,5.76
14.375,33.30,32.24,40.71,74.31,31.76,31.76,38.27,64.71,1.96,1.96,10.63,3.02,10.45,6.43,3.99,5.81
14.500,33.19,32.71,39.76,72.94,32.24,32.24,37.73,62.84,4.88,4.70,5.63,2.89,11.38,4.22,4.57,4.44
14.625,33.40,33.25,39.37,71.37,33.18,33.18,37.41,61.57,5.72,7.89,7.71,5.45,9.74,5.85,3.29,7.18
14.750,33.87,34.12,40.08,70.78,34.67,34.67,37.80,62.25,5.32,9.08,11.60,12.97,13.19,13.90,6.47,9.61
14.875,34.40,34.98,41.57,71.18,35.92,35.92,38.75,63.82,1.87,3.15,7.97,16.64,19.56,12.13,12.26,19.12
15.000,34.33,35.14,42.59,71.86,36.39,36.39,39.76,64.22,5.63,5.67,2.27,13.72,29.03,4.79,10.67,23.76
15.125,33.87,34.35,42.35,72.84,36.16,36.16,40.08,64.12,5.32,5.94,6.12,12.71,31.02,3.86,8.68,24.25
15.250,32.91,32.94,41.10,74.22,35.53,35.53,39.84,63.63,5.54,6.07,5.19,8.06,29.56,4.57,4.75,18.90
15.375,32.01,31.45,39.61,74.02,34.98,34.98,39.06,62.16,6.96,8.68,3.60,4.08,17.22,4.57,3.91,9.96
15.500,31.23,30.67,38.35,72.65,34.43,34.43,38.04,60.00,3.46,3.64,4.26,3.33,10.32,2.49,4.30,6.38
15.625,29.80,29.80,37.80,71.08,33.49,33.49,36.86,57.65,8.81,8.68,3.64,6.34,3.51,2.14,5.37,3.60
15.750,27.70,28.55,37.65,70.00,32.47,32.47,36.39,56.76,6.03,5.10,3.51,11.16,2.53,3.37,8.59,3.68
15.875,25.35,27.06,38.20,69.51,31.22,31.22,36.24,55.59,10.63,12.93,6.56,12.97,4.61,5.85,10.85,4.61
16.000,23.64,25.49,38.67,70.78,29.33,29.33,36.16,55.20,3.24,2.98,5.63,9.57,11.11,6.03,13.86,9.66
16.125,22.42,23.92,38.82,71.08,27.37,27.37,36.47,55.59,8.06,12.04,4.79,10.45,18.01,8.42,19.65,15.63
16.250,20.93,22.98,38.51,71.08,25.73,25.73,36.71,55.88,3.33,3.20,3.60,13.41,32.79,9.70,23.99,26.82
16.375,19.07,23.14,37.88,71.08,24.78,24.78,36.78,56.37,7.18,15.10,9.26,7.53,34.38,6.12,19.03,30.62
16.500,17.25,23.69,37.57,71.67,24.16,24.16,36.94,57.25,6.91,6.78,12.44,5.59,46.10,3.64,12.44,35.31
16.625,16.22,24.39,38.43,73.04,23.61,23.61,37.80,58.14,7.62,10.45,10.19,13.90,46.10,4.04,15.89,37.48
16.750,15.94,25.10,40.08,74.02,23.06,23.06,38.82,60.00,5.81,5.59,8.59,22.26,54.41,1.87,19.30,39.24
16.875,15.90,25.80,42.20,75.88,23.06,23.06,40.00,62.45,3.82,3.91,7.49,20.58,57.55,2.09,14.12,47.43
17.000,15.79,26.12,43.76,78.04,22.82,22.82,40.94,65.00,4.35,3.24,5.41,13.50,48.31,2.76,7.97,38.85
17.125,15.54,25.80,44.78,79.02,22.27,22.27,41.80,67.55,5.85,5.94,4.70,5.10,38.36,3.60,6.34,32.79
17.250,15.22,25.10,45.73,78.73,21.73,21.73,43.14,69.80,5.76,4.75,5.01,8.68,19.43,7.18,13.59,16.60
17.375,15.15,24.55,46.82,78.04,21.41,21.41,44.71,71.08,2.58,6.03,7.89,13.06,12.75,8.77,15.76,10.10
17.500,15.33,24.24,47.69,78.14,21.25,21.25,45.96,72.16,3.33,4.83,5.41,13.24,7.49,5.59,10.67,5.32
17.625,15.44,23.76,48.31,79.51,21.02,21.02,46.59,73.14,7.18,4.30,2.36,11.78,8.24,2.98,5.50,3.11
17.750,15.22,23.29,48.63,81.08,20.24,20.24,46.51,73.24,2.36,3.33,3.37,14.74,7.97,3.07,7.84,2.84
17.875,14.80,22.59,48.55,81.27,18.82,18.82,46.12,72.16,6.96,5.19,5.72,16.29,9.96,6.29,12.00,3.24
18.000,14.15,21.73,48.16,80.39,17.57,17.57,45.73,70.88,7.05,7.49,8.51,11.65,6.87,9.17,12.97,4.48
18.125,13.58,21.18,47.92,80.00,16.63,16.63,45.73,70.78,3.68,5.14,10.58,11.34,9.35,8.28,11.47,7.62
18.250,13.26,21.33,48.71,80.10,16.55,16.55,47.22,71.08,5.81,6.43,8.77,24.52,20.89,6.34,23.99,18.85
18.375,13.33,22.04,50.35,80.29,17.02,17.02,49.41,71.57,6.69,14.30,6.34,29.74,31.33,4.48,30.88,24.69
18.500,13.73,22.82,52.63,80.88,17.41,17.41,51.61,72.65,6.52,6.25,4.66,19.16,43.71,5.14,25.36,31.50
18.625,14.05,23.53,54.59,81.96,17.80,17.80,53.18,74.02,3.95,8.59,7.44,7.84,42.12,6.65,11.20,24.21
18.750,14.22,24.00,56.39,83.92,18.04,18.04,54.20,75.98,7.40,7.18,8.86,14.03,36.63,8.55,5.67,18.15
18.875,14.30,24.16,57.57,85.00,18.04,18.04,54.35,77.65,4.35,3.20,6.25,18.10,25.80,7.84,10.45,9.61
19.000,14.19,23.84,57.65,85.59,17.96,17.96,54.12,78.43,2.93,1.78,2.89,14.87,15.98,4.75,10.32,5.76
19.125,14.08,23.45,56.86,84.31,17.80,17.80,53.02,77.35,7.18,5.10,4.08,10.67,15.36,3.07,7.31,6.74
19.250,13.98,23.37,55.92,82.25,17.25,17.25,51.06,75.29,5.32,4.04,3.82,5.98,14.65,3.02,2.98,8.95
19.375,13.76,22.98,54.51,80.20,16.71,16.71,48.71,73.63,4.30,3.99,3.64,5.63,14.87,2.62,5.85,11.25
19.500,13.26,22.12,53.65,79.02,16.24,16.24,47.22,72.35,3.73,2.49,1.87,8.59,20.36,2.00,10.63,16.60
19.625,12.58,21.10,53.25,78.43,16.00,16.00,46.82,71.86,4.66,3.68,2.27,9.52,28.50,5.37,14.70,26.82
19.750,12.09,20.31,52.63,78.43,16.16,16.16,46.27,72.25,3.46,3.42,3.99,10.36,34.25,6.29,12.04,30.66
19.875,12.01,19.84,51.53,78.82,16.31,16.31,45.02,72.16,10.45,11.73,5.10,10.32,39.86,5.32,9.26,34.47
20.000,12.23,19.76,50.20,78.43,16.86,16.86,43.61,71.67,5.81,6.12,7.89,7.31,34.11,8.11,7.71,28.81
20.125,12.55,20.00,49.41,78.04,17.41,17.41,42.98,70.98,5.54,3.68,7.44,5.28,35.04,7.53,7.09,25.71
20.250,12.62,20.31,49.96,78.43,17.73,17.73,43.22,71.37,1.61,2.93,3.33,7.22,35.48,3.20,8.77,27.57
20.375,12.48,20.16,50.51,79.80,17.33,17.33,43.22,72.55,6.25,4.39,4.30,14.03,40.57,2.71,12.13,30.97
20.500,12.23,19.61,50.75,81.67,16.39,16.39,42.82,74.12,3.73,2.05,4.92,11.73,46.41,3.55,10.27,36.68
20.625,11.84,18.98,50.75,83.04,15.37,15.37,42.12,75.98,2.22,4.66,4.26,4.92,47.25,2.53,5.54,41.85
20.750,11.48,18.67,51.06,84.22,14.75,14.75,41.80,77.84,6.87,3.91,4.52,10.85,39.77,3.86,7.09,34.73
20.875,11.30,18.98,51.22,85.10,15.06,15.06,41.88,79.71,5.32,5.45,8.33,10.72,28.54,8.46,5.41,28.85
21.000,11.12,19.69,50.75,84.41,15.61,15.61,41.25,80.10,3.82,5.90,12.31,11.78,11.87,10.50,6.07,15.63
21.125,11.16,20.00,49.88,83.04,15.92,15.92,40.71,79.22,6.56,6.65,12.04,15.27,6.29,9.12,10.36,10.19
21.250,10.98,20.08,49.02,81.57,16.00,16.00,39.61,77.16,7.40,4.57,8.95,12.71,6.38,5.45,10.10,8.68
21.375,10.62,20.24,47.53,80.69,15.92,15.92,37.65,75.20,7.40,6.43,4.57,6.60,11.38,4.22,6.12,9.74
21.500,9.98,19.92,45.73,80.00,15.69,15.69,35.84,74.31,4.83,3.29,3.51,8.11,16.95,4.83,6.74,14.17
21.625,8.98,19.53,44.55,79.71,15.45,15.45,34.75,74.41,4.57,4.88,5.59,14.70,27.88,4.61,13.55,21.95
21.750,8.31,18.82,43.92,79.80,15.29,15.29,34.90,75.10,1.92,3.29,5.94,14.65,26.99,4.44,11.73,23.01
21.875,8.06,18.43,43.22,79.31,15.06,15.06,35.45,75.59,4.08,9.83,6.60,12.57,30.44,5.23,9.04,22.13
22.000,8.20,18.43,42.43,78.92,15.45,15.45,36.24,75.69,3.07,7.80,4.57,14.26,18.72,4.44,14.70,13.64
22.125,8.38,18.75,42.12,78.24,15.69,15.69,37.02,75.10,7.22,9.61,4.97,14.61,18.28,2.98,12.40,8.68
22.250,8.73,19.53,42.51,77.94,16.00,16.00,37.49,74.51,2.89,5.37,7.18,11.11,10.63,3.37,6.74,4.48
22.375,9.02,20.63,42.75,77.94,16.63,16.63,37.65,73.73,2.18,3.29,9.70,8.02,12.00,7.75,3.91,2.49
22.500,9.52,21.65,42.98,77.65,17.25,17.25,37.73,72.35,5.54,9.74,6.87,7.71,8.68,6.47,4.75,2.45
22.625,10.05,22.12,42.51,77.06,17.41,17.41,36.86,70.39,5.45,7.44,4.61,4.79,10.32,4.04,4.75,2.05
22.750,10.48,22.43,41.96,75.78,17.49,17.49,35.53,67.45,5.37,5.59,5.19,3.77,9.43,4.30,3.86,1.65
22.875,10.59,22.82,41.65,73.53,17.33,17.33,34.04,64.12,2.71,3.33,5.98,8.51,8.64,1.87,4.22,3.07
23.000,10.37,22.98,41.33,71.08,17.18,17.18,33.10,61.37,5.10,5.98,7.49,9.35,6.52,2.49,4.30,4.79
23.125,10.23,23.06,40.94,68.33,16.94,16.94,32.47,59.22,3.24,3.82,2.76,4.79,4.22,2.84,2.98,7.31
23.250,10.41,23.06,40.31,65.49,17.02,17.02,31.76,57.45,6.82,9.52,8.81,3.51,4.39,8.51,1.74,10.14
23.375,11.02,23.61,39.45,63.33,17.25,17.25,30.82,55.49,6.12,6.78,13.72,8.73,7.13,9.66,4.26,11.07
23.500,11.98,24.39,38.67,61.47,17.73,17.73,29.73,53.43,12.49,15.45,10.67,12.66,8.20,5.32,7.09,11.25
23.625,12.94,25.25,38.04,59.90,18.04,18.04,28.78,51.08,6.56,12.49,4.61,11.96,9.61,2.31,6.69,7.49
23.750,14.55,27.53,38.27,58.04,18.20,18.20,28.24,49.02,2.40,12.53,18.46,15.23,7.80,4.52,3.15,9.66
23.875,16.61,30.27,38.90,56.47,18.67,18.67,28.24,47.94,20.14,26.77,34.16,24.60,7.93,7.53,6.34,12.44
24.000,18.79,32.71,40.24,55.98,19.61,19.61,29.18,47.25,13.77,5.76,40.35,34.78,9.35,14.03,13.06,18.59
24.125,20.43,34.59,41.65,57.25,20.47,20.47,30.75,48.04,4.92,10.32,31.99,33.63,7.40,17.26,19.47,24.69
24.250,21.25,35.92,43.29,58.73,21.65,21.65,32.16,49.61,5.94,5.59,19.43,27.35,6.12,14.39,18.19,24.25
