"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,2.31,7.09,18.50,===,===,1.56,===,===
0.250,5.10,4.30,7.71,5.41,===,2.98,2.14,===
0.375,4.04,7.22,9.08,12.00,12.18,8.55,11.11,8.02
0.500,12.26,9.39,4.57,22.79,14.34,5.94,20.00,14.30
0.625,5.23,10.10,9.04,28.76,12.40,13.41,18.72,16.73
0.750,20.62,13.24,20.09,34.82,12.40,30.09,22.66,18.28
0.875,19.43,20.27,27.39,43.18,14.83,32.39,23.85,26.95
1.000,10.36,10.41,25.80,35.31,29.34,15.49,27.97,38.32
1.125,9.88,15.10,18.06,17.31,30.66,6.16,24.91,43.05
1.250,6.43,4.61,10.27,7.75,32.43,9.21,13.11,40.70
1.375,19.12,12.13,21.55,18.90,21.95,20.93,17.13,30.09
1.500,12.00,13.19,27.04,32.61,24.78,28.50,28.28,29.56
1.625,16.69,13.24,17.70,37.87,26.68,19.30,35.48,29.16
1.750,6.91,3.82,20.14,19.87,32.96,15.85,21.91,37.30
1.875,9.61,11.34,25.00,10.50,33.32,22.26,14.74,36.06
2.000,4.04,7.05,12.97,13.19,23.01,10.27,16.29,26.24
2.125,2.09,11.82,4.66,13.28,12.49,7.89,13.59,16.69
2.250,4.88,4.26,12.22,12.53,5.54,15.54,15.05,15.05
2.375,5.50,3.51,13.02,22.35,8.46,17.26,24.03,19.43
2.500,3.51,8.11,13.59,31.68,8.86,17.35,32.70,18.77
2.625,18.19,12.84,16.78,17.31,10.63,21.64,20.54,14.87
2.750,15.10,17.40,18.94,15.98,21.20,20.18,17.00,22.84
2.875,9.43,8.90,22.79,37.30,32.52,9.57,37.56,31.77
3.000,10.67,9.21,33.05,31.77,35.44,20.31,32.08,35.13
3.125,9.66,6.52,37.61,17.88,28.14,29.51,14.21,26.20
3.250,6.38,6.82,32.30,24.25,17.00,22.84,13.11,14.61
3.375,4.79,5.45,31.50,21.64,11.16,15.63,15.05,8.95
3.500,8.73,10.89,32.61,15.85,8.99,17.79,21.20,10.54
3.625,7.97,6.38,26.51,19.21,8.77,16.33,27.70,12.80
3.750,7.49,7.31,23.06,17.00,13.59,14.08,17.70,17.22
3.875,22.22,15.36,27.30,11.56,19.87,25.27,8.59,20.67
4.000,26.68,23.63,25.36,19.56,32.70,28.14,11.69,35.09
4.125,8.73,5.54,13.95,27.70,49.68,21.77,25.14,52.38
4.250,11.25,9.96,10.94,19.96,47.56,17.53,23.41,53.53
4.375,5.81,5.06,16.51,12.22,42.38,11.73,12.93,47.51
4.500,8.37,13.19,14.48,17.26,22.39,7.31,17.57,28.94
4.625,9.21,6.03,15.98,23.76,15.89,11.60,21.46,21.38
4.750,12.80,16.64,15.67,24.60,13.28,21.24,20.54,18.24
4.875,15.54,15.32,20.80,12.57,17.57,21.29,13.95,21.33
5.000,27.74,26.73,25.58,13.95,23.63,14.08,10.50,31.81
5.125,6.69,12.09,26.06,28.85,31.68,10.76,26.90,43.36
5.250,13.59,9.43,19.83,20.18,28.67,10.23,19.52,40.84
5.375,7.18,7.44,14.61,16.29,23.10,8.06,22.35,34.87
5.500,8.46,13.37,11.07,25.22,10.36,3.68,27.13,15.45
5.625,9.83,7.18,13.99,13.64,8.42,12.13,12.49,10.41
5.750,12.00,7.80,13.28,6.52,12.09,15.76,10.81,12.13
5.875,11.42,3.37,11.56,9.17,21.55,13.02,13.24,19.74
6.000,16.02,12.88,27.13,26.46,29.47,24.52,15.01,24.91
6.125,15.49,17.22,38.98,34.38,39.64,34.78,18.15,31.42
6.250,12.66,12.40,29.82,26.51,44.99,32.08,16.82,37.74
6.375,6.87,9.12,18.41,7.89,44.15,26.68,15.45,44.46
6.500,12.13,9.88,11.87,11.65,35.84,24.56,15.01,40.13
6.625,12.13,17.04,12.44,9.66,26.73,16.07,7.75,30.75
6.750,6.03,7.75,16.95,16.91,20.58,12.31,18.28,23.76
6.875,18.59,26.55,26.99,24.16,21.95,27.92,27.48,26.11
7.000,12.66,12.35,28.67,21.24,31.59,33.36,27.61,34.69
7.125,15.76,16.86,25.40,22.35,41.23,30.44,22.75,41.59
7.250,5.14,6.03,27.92,19.56,45.04,32.17,15.98,41.85
7.375,15.49,11.96,26.20,17.04,38.58,30.62,14.52,36.68
7.500,5.41,5.81,17.13,22.30,23.85,20.93,30.35,25.71
7.625,4.17,2.09,12.35,13.15,14.26,11.51,19.30,20.14
7.750,9.30,9.83,4.97,14.34,12.80,7.58,13.64,20.71
7.875,13.90,10.41,16.55,13.41,18.15,22.75,9.43,26.29
8.000,8.81,9.61,24.21,13.41,22.22,27.83,17.00,31.68
8.125,27.39,10.41,25.40,15.89,23.45,34.11,27.48,34.16
8.250,17.75,22.57,25.09,16.64,34.07,34.33,32.21,38.36
8.375,13.77,4.39,11.69,28.72,42.25,20.80,36.02,39.11
8.500,10.89,15.89,25.75,18.94,42.78,33.27,23.15,36.28
8.625,9.70,3.91,30.80,6.74,37.48,31.33,6.25,32.48
8.750,4.22,9.17,13.33,11.96,24.96,12.57,7.53,23.32
8.875,11.03,11.78,13.86,13.90,23.85,22.57,11.29,21.11
9.000,4.75,8.51,22.53,30.49,14.30,27.17,26.02,12.71
9.125,22.48,19.65,30.62,37.56,12.40,31.42,32.61,12.31
9.250,10.85,29.56,36.55,27.66,13.72,34.60,29.03,18.32
9.375,11.69,7.31,31.86,23.28,24.34,29.07,25.89,31.64
9.500,7.27,6.16,19.03,19.21,29.96,19.16,17.31,39.69
9.625,3.42,10.85,5.14,22.97,26.64,5.23,21.20,36.28
9.750,7.75,7.75,5.06,16.78,17.93,2.05,14.79,28.81
9.875,1.52,9.52,6.34,14.21,13.90,12.44,18.59,25.80
10.000,10.94,16.25,13.06,30.22,15.45,32.79,32.70,25.75
10.125,20.45,5.59,10.14,38.93,21.73,36.33,30.53,31.02
10.250,6.12,6.12,7.18,22.61,40.00,23.10,20.67,43.40
10.375,13.41,5.76,16.38,6.38,44.51,20.54,11.03,43.71
10.500,9.17,10.76,18.37,5.94,39.11,26.42,8.68,35.26
10.625,6.47,4.35,14.61,12.53,21.02,18.50,10.85,19.08
10.750,11.03,17.26,20.93,28.85,14.65,13.55,22.04,17.70
10.875,7.67,7.05,24.52,31.55,15.63,13.37,25.27,20.31
11.000,6.87,12.66,32.26,23.59,17.31,21.86,19.12,18.19
11.125,12.75,12.62,35.48,22.00,17.31,25.53,11.29,18.50
11.250,23.10,26.55,28.36,28.14,23.32,23.76,18.28,24.56
11.375,4.83,3.77,24.07,35.66,38.98,19.61,38.45,43.71
11.500,10.76,16.38,22.08,28.54,40.92,15.01,28.81,47.29
11.625,9.74,4.13,20.85,12.40,34.07,15.14,9.66,40.48
11.750,9.74,9.26,11.78,7.05,16.16,7.93,14.65,20.93
11.875,11.29,4.48,8.37,5.81,11.47,9.04,10.10,13.68
12.000,10.81,10.19,14.70,10.89,11.87,13.81,10.36,14.21
12.125,11.51,12.88,22.70,18.06,14.96,21.64,15.18,17.88
12.250,16.95,9.30,27.92,16.47,15.01,29.34,14.48,16.16
12.375,25.62,25.49,21.38,28.59,20.05,24.96,28.72,21.02
12.500,6.38,15.49,5.90,26.95,29.96,12.84,29.34,32.83
12.625,5.45,15.58,14.87,14.17,29.60,13.33,14.61,33.58
12.750,4.97,7.67,13.46,17.88,23.99,12.53,13.90,29.12
12.875,7.05,9.61,10.14,15.27,12.62,15.80,11.34,15.49
13.000,3.68,9.48,16.55,11.91,9.92,20.76,11.03,10.10
13.125,7.05,10.54,15.67,10.98,12.97,17.53,12.18,9.21
13.250,10.01,4.04,18.37,15.41,15.32,17.84,4.88,11.47
13.375,25.93,22.17,23.19,15.41,18.63,23.50,9.43,20.05
13.500,14.43,22.88,26.59,13.41,31.06,25.58,12.18,37.21
13.625,8.81,4.26,27.74,28.63,43.53,20.14,24.43,49.11
13.750,5.06,13.77,26.46,26.73,47.34,18.19,21.51,54.50
13.875,3.99,5.37,26.24,16.29,40.62,25.14,11.38,46.19
14.000,2.53,7.22,20.49,15.27,24.52,26.46,10.54,30.93
14.125,5.50,7.80,16.16,18.81,21.11,26.95,14.39,22.13
14.250,12.97,7.97,12.57,20.71,14.03,21.42,19.83,11.96
14.375,15.67,10.10,14.30,17.09,17.40,17.44,20.09,16.20
14.500,15.80,5.37,18.46,10.89,19.34,14.43,14.30,20.00
14.625,22.66,25.00,20.23,19.87,28.63,19.39,12.49,33.63
14.750,9.17,10.67,20.49,25.49,43.14,22.66,20.36,50.12
14.875,9.04,19.16,15.10,16.42,41.54,13.99,19.43,50.21
15.000,5.90,11.11,5.90,18.28,33.94,3.99,16.02,42.65
15.125,4.88,10.27,6.91,9.88,15.32,15.23,5.41,22.53
15.250,5.14,13.02,11.78,3.37,7.62,22.04,8.81,13.72
15.375,10.67,6.56,9.30,6.60,4.97,14.92,12.97,7.97
15.500,5.72,9.21,6.87,11.42,6.52,4.83,15.76,6.07
15.625,7.62,5.63,8.51,18.06,12.71,1.69,23.28,10.41
15.750,3.82,5.90,10.94,11.91,21.51,5.01,16.78,15.49
15.875,18.06,14.17,20.27,14.17,30.40,19.25,8.59,23.90
16.000,12.80,12.66,27.48,27.08,38.09,30.49,20.31,34.56
16.125,17.04,21.91,19.65,37.34,42.07,24.78,30.18,43.22
16.250,3.29,4.61,13.72,27.39,50.39,5.90,22.97,57.95
16.375,7.67,11.25,20.71,10.72,46.59,6.38,10.67,52.96
16.500,7.36,7.40,17.40,3.02,40.22,6.96,3.02,47.87
16.625,5.32,10.94,13.11,5.14,28.32,6.38,9.74,32.17
16.750,9.79,10.67,17.09,13.81,19.92,15.23,13.02,21.15
16.875,25.98,24.83,20.09,13.99,22.70,22.61,13.41,22.00
17.000,18.63,19.16,21.73,7.49,33.98,24.38,7.53,33.76
17.125,8.86,9.57,21.38,26.29,44.64,23.23,23.01,48.05
17.250,11.87,12.66,18.85,33.36,50.74,21.55,28.59,53.93
17.375,3.77,8.33,17.09,23.99,45.83,19.39,18.32,50.61
17.500,4.79,3.15,21.29,15.18,35.22,22.30,12.88,40.35
17.625,4.79,3.33,22.66,23.59,24.91,20.14,20.18,31.06
17.750,21.51,16.02,23.63,31.11,14.03,19.52,28.10,18.55
17.875,28.94,17.79,21.46,23.76,15.27,13.55,27.97,16.25
18.000,55.17,34.11,10.32,14.79,23.41,8.95,22.88,23.10
18.125,21.64,19.34,4.26,12.66,38.09,17.44,16.47,37.30
18.250,21.95,13.95,8.86,16.07,42.12,8.86,12.97,41.01
18.375,11.91,14.92,14.83,29.87,39.64,9.79,17.70,37.83
18.500,10.50,5.76,5.54,36.10,29.74,7.36,20.18,26.82
18.625,4.48,6.65,14.52,34.69,26.15,9.61,20.31,24.03
18.750,27.35,20.27,34.87,35.97,25.22,26.33,27.26,25.67
18.875,18.94,17.44,38.45,33.14,27.79,31.73,21.55,31.19
19.000,14.34,11.38,32.12,27.61,32.30,23.19,22.35,37.74
19.125,6.78,13.06,18.90,23.54,32.57,11.73,19.25,39.11
19.250,14.56,10.14,12.40,11.78,29.96,11.42,13.46,38.62
19.375,18.77,15.71,9.79,10.41,25.53,10.76,18.55,32.96
19.500,10.85,10.85,18.59,22.04,20.45,14.87,24.78,23.99
19.625,30.18,23.90,35.04,29.12,14.61,23.68,22.35,14.87
19.750,12.71,11.69,41.81,26.15,14.39,27.61,16.86,17.79
19.875,10.50,19.43,28.32,28.54,22.35,20.36,23.63,28.59
20.000,6.34,4.66,9.04,24.56,26.99,10.36,20.00,33.98
20.125,10.10,14.56,5.59,15.36,22.26,8.06,10.94,26.06
20.250,6.47,5.94,10.63,15.01,11.87,10.32,10.10,16.73
20.375,18.59,18.06,23.37,23.15,11.96,24.03,20.85,18.19
20.500,13.24,12.49,31.11,24.52,20.62,32.57,25.05,25.98
20.625,12.22,14.79,30.31,28.14,29.74,32.12,27.21,33.58
20.750,7.62,14.65,23.32,24.03,35.48,25.36,19.96,38.32
20.875,9.17,8.11,13.28,14.56,26.64,19.12,8.33,29.34
21.000,7.27,5.63,10.81,10.10,27.30,14.56,9.30,27.17
21.125,8.02,7.44,20.58,20.31,31.19,18.06,17.62,26.90
21.250,13.86,12.88,31.28,24.52,40.84,24.21,14.74,34.91
21.375,20.45,18.46,32.96,26.82,44.46,28.10,19.43,40.35
21.500,10.67,7.05,27.35,35.26,51.14,26.59,34.78,51.50
21.625,6.74,6.87,23.85,24.74,52.11,27.48,22.70,51.58
21.750,5.32,4.79,20.40,10.41,46.59,26.37,5.54,46.01
21.875,10.50,5.45,17.26,8.81,34.56,23.59,3.95,30.27
22.000,7.80,6.87,19.43,17.22,27.17,21.33,11.25,21.07
22.125,24.47,24.43,20.85,17.48,30.88,15.76,11.82,23.15
22.250,16.73,17.62,22.08,10.50,38.71,16.11,11.47,34.42
22.375,9.70,11.69,12.40,23.50,42.83,12.04,26.59,44.82
22.500,9.21,14.65,4.30,16.29,39.02,6.12,23.85,47.21
22.625,7.27,4.35,6.69,11.20,27.61,6.87,11.91,40.88
22.750,9.08,4.26,7.09,14.43,16.20,5.76,13.64,29.74
22.875,13.15,8.95,19.92,18.81,10.41,17.04,22.39,20.62
23.000,19.16,17.09,25.22,20.54,15.05,18.99,21.55,16.42
23.125,11.03,7.27,26.68,16.60,26.33,12.62,15.36,21.69
23.250,24.21,21.73,27.04,26.06,36.33,11.11,18.41,34.42
23.375,13.59,5.23,23.01,38.32,46.85,10.23,34.60,51.50
23.500,7.40,9.12,13.02,24.47,45.83,9.04,24.60,52.73
23.625,10.63,10.89,3.20,16.02,40.66,6.65,22.08,48.66
23.750,13.02,3.91,8.90,25.14,30.18,15.54,30.93,33.10
23.875,10.14,4.26,13.50,9.39,22.61,19.61,20.62,29.43
24.000,21.69,19.52,20.45,15.36,25.80,27.48,21.07,36.28
24.125,12.35,16.60,20.18,13.06,33.18,28.98,16.60,44.33
24.250,12.97,10.01,3.91,22.08,40.44,22.35,19.25,49.59
24.375,9.08,13.77,18.28,19.39,40.75,21.91,15.36,48.27
24.500,7.62,5.76,18.46,8.99,34.42,17.75,11.96,40.26
24.625,7.05,8.46,12.84,7.00,26.51,14.61,10.10,28.59
24.750,11.07,4.79,16.60,17.35,20.49,20.45,17.00,16.73
24.875,11.47,7.36,22.17,20.98,18.94,20.31,20.67,13.24
25.000,22.92,17.22,27.04,12.62,21.82,21.73,11.73,19.70
25.125,26.02,19.78,23.72,16.55,31.46,24.43,7.13,33.80
25.250,6.25,7.71,10.50,22.79,44.73,23.15,17.00,47.12
25.375,11.87,6.74,10.45,11.47,44.29,14.39,14.48,47.47
25.500,10.54,7.22,14.83,6.78,36.99,8.37,7.71,38.01
25.625,6.21,18.01,14.96,7.00,23.94,8.99,5.76,20.31
25.750,9.66,18.63,18.59,15.76,22.57,15.54,10.27,16.42
25.875,11.87,39.73,18.50,12.66,27.61,20.80,10.14,20.89
26.000,20.14,29.60,15.76,11.73,35.53,22.00,18.99,30.53
26.125,13.99,14.52,18.68,24.07,49.59,17.75,31.11,49.90
26.250,16.47,26.24,8.68,13.68,51.98,7.93,17.57,51.85
26.375,7.00,10.27,14.26,9.30,50.57,9.48,8.64,51.36
26.500,45.13,35.13,19.70,8.77,40.88,13.28,11.11,39.38
26.625,20.49,29.34,22.04,26.11,41.50,14.26,29.03,39.82
26.750,12.04,12.57,16.51,43.45,40.97,11.51,42.52,40.84
26.875,11.07,10.85,8.15,34.78,41.19,8.90,31.64,42.87
27.000,4.57,11.34,16.78,15.23,38.62,14.96,11.69,42.47
27.125,6.43,9.83,26.29,10.23,32.21,25.36,9.61,36.24
27.250,11.07,17.09,23.50,15.98,27.35,22.92,12.97,28.94
27.375,14.34,10.58,9.26,15.80,29.65,16.60,5.98,28.36
27.500,21.55,11.42,4.04,21.33,37.12,25.71,5.45,35.75
27.625,40.08,22.97,7.71,38.58,45.61,26.95,28.89,42.56
27.750,28.63,10.72,2.80,38.32,52.47,6.65,42.65,46.98
27.875,26.24,13.99,7.36,23.23,51.45,15.23,28.36,46.81
28.000,11.25,4.83,13.72,16.55,42.74,13.68,15.76,40.17
28.125,18.28,13.95,15.67,10.98,29.96,6.07,16.16,28.59
28.250,14.12,12.22,19.52,6.60,21.60,15.71,13.81,15.18
28.375,30.04,21.73,16.20,10.72,28.41,20.40,19.61,17.84
28.500,12.04,11.11,5.76,6.65,30.13,12.62,14.61,21.55
28.625,36.37,23.90,18.81,19.56,26.86,11.16,8.77,21.69
28.750,36.99,44.77,29.29,18.10,19.74,22.08,23.37,17.48
