TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.07,13.90,9.12,===,===,1.56,===,===
0.250,1.74,2.93,4.52,12.53,===,2.62,2.67,===
0.375,2.22,2.22,7.44,7.80,17.97,6.21,9.61,4.70
0.500,5.10,3.55,11.69,20.05,9.52,8.95,16.16,6.74
0.625,3.86,2.80,12.84,19.87,6.87,11.56,18.63,7.09
0.750,5.41,5.50,11.91,15.27,3.46,13.15,19.03,5.94
0.875,7.80,2.31,5.85,12.00,3.15,10.36,12.80,3.51
1.000,5.67,5.50,7.18,11.29,3.20,3.91,7.67,3.73
1.125,9.52,4.83,18.19,12.49,4.88,10.45,10.19,4.48
1.250,4.79,6.78,19.16,13.95,8.24,12.53,6.65,7.22
1.375,6.25,11.56,7.27,18.68,15.18,4.39,7.97,8.20
1.500,7.27,11.25,7.84,13.99,24.38,9.88,10.85,16.91
1.625,7.62,16.25,12.35,20.71,30.04,16.55,16.95,17.66
1.750,13.11,28.01,21.51,47.65,33.14,22.84,30.00,16.11
1.875,15.89,19.96,29.29,59.85,24.60,27.61,35.35,18.68
2.000,13.81,21.11,20.14,37.52,20.80,23.01,31.59,29.16
2.125,12.26,13.11,11.11,12.97,14.48,9.96,14.03,42.38
2.250,11.69,4.75,10.01,7.53,15.98,6.25,9.57,42.78
2.375,3.95,3.37,11.65,9.08,11.69,6.56,12.04,29.96
2.500,7.00,2.98,7.18,11.56,9.30,10.01,11.03,18.46
2.625,6.60,10.32,8.28,10.32,6.96,13.81,10.58,8.46
2.750,11.07,12.57,13.41,8.90,6.03,12.80,7.80,10.14
2.875,6.96,6.87,11.56,15.18,6.52,10.54,10.58,12.57
3.000,13.24,8.20,7.75,17.84,5.98,9.70,25.98,14.03
3.125,9.08,7.97,6.96,19.25,9.66,7.80,38.40,15.85
3.250,9.21,8.15,10.19,18.41,12.13,7.00,30.62,13.59
3.375,11.20,8.11,14.30,14.61,14.48,9.08,8.55,10.67
3.500,7.44,7.67,16.07,12.22,16.55,13.72,6.43,8.73
3.625,6.74,6.12,14.52,12.26,14.79,15.98,7.84,8.15
3.750,10.23,15.32,10.05,12.18,11.65,12.84,3.86,8.46
3.875,9.12,5.41,6.38,11.42,6.25,3.51,4.75,6.07
4.000,8.73,11.56,10.81,6.56,3.73,7.22,8.24,4.66
4.125,15.01,13.24,11.56,2.98,5.10,8.06,11.56,4.83
4.250,8.77,7.27,10.63,4.79,8.28,7.80,12.31,6.21
4.375,10.81,13.72,5.76,5.67,11.03,5.54,5.81,11.11
4.500,6.56,3.42,2.71,4.30,17.22,2.45,6.87,17.17
4.625,5.41,4.70,5.90,2.93,18.37,7.53,11.65,19.03
4.750,8.20,6.87,8.73,3.42,17.97,8.77,6.47,17.04
4.875,12.84,19.78,11.38,4.88,12.31,9.26,9.48,10.63
5.000,3.73,3.60,15.05,8.02,7.89,12.40,17.22,9.35
5.125,4.97,9.43,15.14,5.23,7.49,14.61,15.76,14.70
5.250,7.22,8.06,8.24,9.21,12.18,9.92,22.04,17.57
5.375,7.00,6.43,4.61,12.09,23.23,2.93,22.44,26.11
5.500,6.60,7.80,4.92,6.65,27.52,3.64,10.23,24.21
5.625,7.22,2.93,3.82,11.96,27.74,2.76,11.73,22.61
5.750,7.80,6.38,5.23,14.70,19.74,2.84,15.41,14.43
5.875,10.10,4.61,2.22,10.54,16.02,9.52,16.64,11.42
6.000,5.76,7.67,4.48,8.86,12.26,9.79,17.97,15.01
6.125,2.49,4.52,10.19,16.69,11.16,4.88,14.12,13.68
6.250,6.43,8.37,11.78,22.84,9.83,8.24,17.57,11.29
6.375,11.65,8.59,7.40,19.08,12.13,8.86,19.43,9.61
6.500,7.62,10.05,6.29,14.43,12.40,4.75,10.72,12.53
6.625,9.83,13.37,9.12,13.11,10.85,2.45,8.46,13.02
6.750,10.85,10.98,4.35,10.50,6.87,8.28,9.96,11.16
6.875,7.97,6.82,12.44,6.29,6.03,17.09,8.86,7.53
7.000,6.34,8.99,16.20,2.31,6.43,18.94,5.01,7.75
7.125,7.09,2.80,12.88,6.96,8.81,13.02,9.48,9.61
7.250,4.39,6.74,7.71,10.23,8.86,3.07,11.87,10.63
7.375,9.57,10.98,2.93,15.23,17.70,10.67,11.03,20.80
