"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,1.25,7.49,4.83,===,===,1.07,===,===
0.250,1.92,3.95,6.38,19.65,===,2.00,2.27,===
0.375,3.73,2.09,7.40,7.97,9.12,4.97,5.90,3.15
0.500,5.67,6.65,6.38,8.11,4.79,8.11,8.42,4.70
0.625,5.41,5.32,6.65,8.99,2.98,7.84,7.80,3.95
0.750,6.21,5.81,6.43,10.19,2.98,5.90,8.55,3.82
0.875,3.86,5.23,6.91,8.28,4.39,7.22,7.89,4.66
1.000,7.18,5.81,6.60,3.55,5.41,6.87,4.48,6.60
1.125,6.65,3.77,4.22,5.06,6.34,3.77,6.38,7.62
1.250,5.63,4.44,3.11,12.00,14.39,5.81,10.72,15.41
1.375,5.06,2.45,5.10,15.54,24.29,3.02,18.37,24.87
1.500,8.99,1.69,4.08,16.86,33.94,14.61,31.50,32.83
1.625,19.70,2.36,2.62,9.57,38.18,19.47,27.44,36.63
1.750,4.04,4.61,2.53,8.24,29.82,12.88,9.96,29.07
1.875,9.08,5.06,1.78,12.13,23.50,4.39,7.27,29.60
2.000,3.07,2.31,2.58,8.90,11.07,2.93,7.31,21.46
2.125,10.89,11.03,2.36,8.24,10.23,4.39,6.07,24.56
2.250,7.89,4.26,3.46,7.13,9.21,4.97,4.61,16.25
2.375,5.50,3.37,3.60,10.50,9.52,3.11,7.05,12.44
2.500,4.52,3.86,4.30,12.53,8.46,3.60,8.28,5.81
2.625,5.85,6.29,7.18,10.45,5.32,6.69,8.90,4.08
2.750,3.15,5.23,7.75,6.56,3.64,6.96,9.39,3.82
2.875,5.90,7.49,7.49,6.34,3.99,5.85,8.20,3.68
3.000,3.24,3.02,5.59,7.58,8.68,3.60,7.58,7.53
3.125,7.53,6.96,6.78,10.72,13.55,3.02,14.21,11.69
3.250,7.49,6.60,5.67,22.66,26.11,2.31,25.93,25.00
3.375,6.87,3.55,5.01,21.77,28.63,3.51,24.87,28.94
3.500,5.32,1.83,4.57,9.17,41.68,2.58,12.22,39.77
3.625,3.77,3.07,7.49,11.34,42.30,7.44,13.37,40.84
3.750,4.22,5.81,8.02,17.04,50.88,8.90,17.75,46.63
3.875,3.02,2.80,10.41,16.55,51.54,11.47,14.26,49.59
4.000,7.09,2.31,10.05,10.58,40.75,10.58,7.49,39.02
4.125,6.12,5.94,9.96,8.06,27.08,11.03,5.14,27.61
4.250,6.12,3.82,10.01,7.36,11.60,12.04,8.24,12.04
4.375,3.15,8.73,3.55,3.02,12.22,8.68,12.75,11.91
4.500,7.67,7.93,5.01,7.05,19.74,3.15,13.72,17.13
4.625,2.80,7.53,8.15,19.08,22.79,5.01,17.70,19.56
4.750,4.79,2.09,10.45,25.89,24.83,7.62,20.00,20.85
4.875,9.48,4.57,10.45,22.61,28.14,6.78,17.57,25.18
5.000,6.07,2.84,8.46,16.33,38.23,6.91,20.18,32.48
5.125,22.17,5.98,3.24,17.79,40.75,10.89,24.56,34.29
5.250,11.42,2.71,2.80,16.64,44.33,12.40,14.17,33.94
5.375,7.71,4.66,6.69,14.61,28.81,6.25,7.97,24.03
5.500,7.36,4.92,9.30,13.72,21.33,9.66,6.65,21.51
5.625,8.51,8.11,8.15,19.39,11.73,8.06,12.62,16.16
5.750,7.40,6.91,4.61,17.17,12.35,3.20,13.33,15.85
5.875,4.44,3.82,1.74,7.89,16.91,4.79,6.82,15.36
6.000,2.84,2.45,2.76,6.60,16.02,7.05,2.18,13.95
6.125,3.33,3.33,4.30,5.28,17.22,4.13,4.83,13.95
6.250,3.77,7.05,4.66,11.60,17.17,1.61,13.68,14.65
6.375,4.75,6.60,2.80,19.96,24.69,4.22,16.51,20.93
6.500,4.35,5.81,3.15,19.47,26.86,10.76,7.93,26.29
6.625,3.91,5.76,1.61,16.16,28.19,12.26,7.22,28.05
6.750,4.48,6.47,3.51,10.89,20.93,7.67,7.36,26.15
6.875,6.03,5.01,6.03,13.55,18.06,9.17,8.55,26.46
7.000,3.11,4.04,4.75,21.29,17.04,10.41,18.15,27.21
7.125,3.33,4.22,2.14,19.78,22.84,4.30,18.99,34.87
7.250,5.10,2.58,2.18,11.25,27.26,2.93,15.10,32.92
7.375,4.13,4.61,2.71,3.51,25.58,4.04,8.55,30.58
7.500,6.60,7.49,7.75,3.51,17.57,1.96,5.06,18.85
7.625,2.58,2.49,8.11,4.92,7.67,4.57,6.69,10.54
7.750,4.57,2.09,5.63,4.44,3.82,6.25,7.13,9.12
7.875,8.20,6.78,4.48,5.85,1.25,6.25,10.19,8.68
8.000,4.75,4.88,3.99,11.96,4.35,6.47,13.37,9.39
8.125,7.62,4.30,1.83,18.46,7.09,6.56,13.06,7.84
8.250,4.26,2.27,4.79,18.72,11.78,9.08,12.57,8.42
8.375,3.20,3.20,11.16,13.55,13.33,12.88,16.16,12.22
8.500,6.52,4.48,13.72,13.55,16.29,13.81,16.86,18.68
8.625,7.62,9.43,16.42,6.47,19.25,16.47,9.83,24.38
8.750,4.92,12.09,12.71,7.84,31.28,13.81,15.23,36.28
8.875,5.23,5.85,11.47,15.63,40.92,9.12,25.58,39.07
9.000,10.63,22.97,13.24,18.59,45.70,6.47,24.74,40.44
9.125,5.14,5.72,10.76,22.26,48.22,6.21,15.80,38.71
9.250,2.36,6.52,7.22,18.10,37.78,6.82,13.86,35.13
9.375,8.64,3.07,7.97,11.16,34.69,9.21,15.98,43.40
9.500,6.07,3.99,8.24,3.73,18.50,9.26,13.15,39.91
9.625,6.12,5.63,4.48,4.79,13.46,6.52,5.14,40.66
9.750,16.91,6.34,5.63,18.55,10.63,2.89,4.52,35.79
9.875,26.68,10.32,4.44,33.94,18.06,3.37,16.25,37.17
10.000,16.42,6.21,3.86,33.54,23.37,6.78,38.01,52.60
10.125,14.70,9.66,8.02,13.24,30.09,10.58,38.62,53.31
