"Time","Beta R PIP","Alpha R PIP","Theta R PIP","Delta R PIP","Beta L PIP","Alpha L PIP","Theta L PIP","Delta L PIP","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,2.53,13.11,15.98,===,===,1.16,===,===
0.250,===,===,===,===,===,===,===,===,2.93,7.58,6.43,7.53,===,2.89,2.67,===
0.375,===,===,===,===,===,===,===,===,5.81,8.51,10.23,7.00,15.54,11.07,4.48,5.72
0.500,===,===,===,===,===,===,===,===,5.81,7.49,18.01,11.73,17.84,18.41,7.97,7.40
0.625,===,===,===,===,===,===,===,===,8.20,5.67,15.94,11.82,19.16,17.13,10.19,9.08
0.750,===,===,===,===,===,===,===,===,5.10,4.61,16.11,9.21,18.99,13.19,8.55,8.33
0.875,===,===,===,===,===,===,===,===,17.53,13.28,25.80,9.17,15.58,16.64,8.51,6.21
1.000,===,===,===,===,===,===,===,===,7.09,5.59,27.61,7.09,10.81,21.24,11.56,4.35
1.125,===,===,===,===,===,===,===,===,6.69,7.49,22.48,4.52,5.59,15.58,10.67,1.87
1.250,===,===,===,===,===,===,===,===,3.20,5.37,29.78,6.78,3.91,22.35,7.75,3.42
1.375,===,===,===,===,===,===,===,===,9.17,5.63,22.79,20.54,4.44,16.64,21.24,7.00
1.500,===,===,===,===,===,===,===,===,3.46,4.92,15.85,38.27,6.29,13.24,40.48,15.18
1.625,===,===,===,===,===,===,===,===,22.66,16.69,32.61,43.58,9.08,30.18,46.98,17.44
1.750,===,===,===,===,===,===,===,===,16.25,20.85,30.04,38.98,9.74,25.75,44.07,20.62
1.875,===,===,===,===,===,===,===,===,8.51,12.22,13.15,20.09,13.59,8.95,25.22,15.27
2.000,===,===,===,===,===,===,===,===,10.01,10.94,6.56,5.45,14.74,3.24,5.50,15.36
2.125,===,===,===,===,===,===,===,===,6.16,4.48,9.12,8.68,14.30,6.38,6.82,9.74
2.250,===,===,===,===,===,===,===,===,6.65,8.77,8.55,13.55,8.37,9.70,7.05,8.73
2.375,===,===,===,===,===,===,===,===,5.94,7.36,4.75,22.84,6.91,8.28,11.25,7.53
2.500,===,===,===,===,===,===,===,===,12.53,11.82,4.26,31.73,14.21,8.73,19.43,14.92
2.625,===,===,===,===,===,===,===,===,7.93,12.35,9.96,35.35,17.62,6.91,29.16,16.73
2.750,===,===,===,===,===,===,===,===,19.83,12.40,33.23,45.04,20.89,35.88,42.78,18.19
2.875,===,===,===,===,===,===,===,===,17.84,16.25,41.50,38.80,12.04,50.43,36.33,10.67
3.000,===,===,===,===,===,===,===,===,17.04,8.86,23.45,21.24,11.20,35.66,16.55,14.61
3.125,===,===,===,===,===,===,===,===,6.82,8.06,7.40,6.34,9.61,8.99,7.13,15.49
3.250,===,===,===,===,===,===,===,===,10.23,7.89,20.93,5.28,13.41,17.35,6.69,21.33
3.375,===,===,===,===,===,===,===,===,3.77,5.37,23.63,12.62,12.62,23.45,4.52,15.36
3.500,===,===,===,===,===,===,===,===,17.66,22.30,26.82,14.83,10.45,30.00,9.30,11.42
3.625,===,===,===,===,===,===,===,===,7.67,7.93,34.11,6.82,14.48,35.44,8.81,9.26
3.750,===,===,===,===,===,===,===,===,17.79,15.45,30.09,13.99,19.52,24.34,14.83,8.42
3.875,===,===,===,===,===,===,===,===,15.98,15.49,12.40,30.13,27.88,11.96,46.98,13.37
4.000,===,===,===,===,===,===,===,===,21.15,20.85,9.04,27.44,32.48,20.09,60.25,14.26
4.125,32.73,71.06,73.02,79.12,34.01,71.14,73.57,78.33,8.86,11.25,13.41,18.68,29.07,16.55,48.27,26.90
4.250,33.40,69.25,73.49,81.47,34.26,70.43,75.06,81.27,4.88,13.50,7.31,17.17,29.25,5.54,31.06,26.95
4.375,33.76,67.06,73.49,83.63,34.69,68.78,75.45,83.33,17.26,23.28,2.80,21.42,19.65,4.22,17.75,26.73
4.500,34.08,65.25,73.18,84.31,35.33,67.76,74.98,83.24,19.12,12.18,11.47,28.94,16.82,8.81,24.29,13.81
4.625,34.55,64.24,73.25,83.92,36.15,67.76,74.82,82.55,20.89,27.70,20.85,49.15,10.63,27.97,38.18,11.42
4.750,34.76,63.45,73.49,84.22,37.04,68.24,74.90,82.35,45.30,15.01,18.37,55.43,8.73,39.86,34.82,11.82
4.875,34.44,62.43,73.49,84.71,37.54,68.39,74.67,82.94,27.48,14.61,8.11,41.63,13.24,33.76,18.06,16.51
5.000,33.98,60.86,73.49,84.80,37.97,68.71,73.49,82.84,13.24,3.95,3.11,14.48,12.71,17.22,5.45,17.09
5.125,33.58,60.00,73.41,84.51,38.43,68.86,71.45,82.35,9.61,4.13,3.73,8.28,12.80,4.92,9.48,16.82
5.250,33.58,59.69,72.78,83.33,38.57,69.10,70.98,81.86,13.68,15.89,14.43,10.19,7.97,13.77,7.71,12.09
5.375,33.83,59.69,72.39,83.73,38.54,69.33,71.53,82.94,5.14,12.88,16.51,9.96,13.64,14.39,6.69,18.15
5.500,34.30,60.63,72.71,85.10,38.65,69.96,72.39,84.41,16.82,11.20,8.68,17.53,19.56,12.49,17.00,22.44
5.625,35.51,61.25,72.39,85.59,39.11,69.88,72.63,85.00,9.21,31.50,6.16,20.14,32.17,7.53,31.99,31.15
5.750,36.83,60.39,71.84,85.69,39.71,68.08,72.39,85.20,27.61,6.78,11.25,13.86,36.24,5.41,41.06,31.55
5.875,37.58,58.20,70.82,85.59,40.00,65.02,71.69,85.20,6.91,9.26,9.70,10.45,33.10,6.56,31.42,26.29
6.000,37.08,55.84,69.18,85.59,39.11,62.04,70.43,85.20,9.61,4.04,3.42,15.32,23.59,10.27,15.49,19.74
6.125,35.79,53.73,67.45,85.10,37.43,59.45,67.92,84.41,6.52,8.42,13.90,20.14,10.94,14.79,10.05,15.23
6.250,34.90,52.55,66.75,84.41,35.94,57.49,66.04,83.43,6.82,6.56,19.21,18.59,7.27,18.99,7.93,17.09
6.375,34.69,52.31,67.37,84.02,35.08,56.78,67.14,83.43,11.34,7.13,14.92,16.25,4.83,20.45,5.72,17.88
6.500,35.04,52.47,68.31,83.92,35.22,56.55,69.73,84.41,10.10,13.28,13.81,17.22,5.28,20.80,24.38,16.42
6.625,35.76,53.18,69.88,84.31,36.01,56.47,72.16,85.49,26.15,22.88,23.76,35.35,6.07,21.20,48.36,13.02
6.750,36.61,53.73,71.69,83.92,36.68,56.08,73.96,86.08,15.10,22.97,16.07,45.75,5.50,11.20,59.10,10.36
6.875,37.08,53.57,72.78,83.04,37.08,54.51,74.35,86.18,12.75,11.20,5.01,43.18,6.25,5.54,48.71,9.92
7.000,36.68,52.86,72.71,82.06,36.40,53.02,73.96,86.57,10.32,8.11,18.63,27.08,10.81,15.67,23.90,9.92
7.125,35.61,52.71,72.00,81.47,35.65,52.08,72.55,86.18,18.28,14.52,13.19,22.44,24.03,14.12,16.55,15.05
7.250,35.08,53.96,72.78,81.27,35.94,52.39,71.45,85.88,4.44,6.91,15.85,33.01,30.93,18.01,20.49,18.85
7.375,35.19,56.47,74.04,80.78,37.36,53.80,71.06,85.69,43.05,16.60,29.25,41.63,42.03,29.38,18.15,22.08
7.500,35.97,59.29,75.06,80.29,39.22,56.47,71.22,85.20,29.56,10.41,26.95,41.15,40.62,27.13,14.96,20.93
7.625,36.26,61.25,75.92,80.78,40.64,57.73,70.75,85.20,12.88,5.67,11.82,23.63,38.76,14.21,19.30,21.11
7.750,35.90,60.94,75.22,81.37,40.43,56.31,69.25,85.20,16.33,5.59,11.20,12.93,28.59,3.91,24.29,21.77
7.875,35.37,60.47,73.57,81.18,38.75,54.51,67.76,85.00,8.77,7.93,17.17,12.35,20.98,12.84,17.53,22.57
8.000,34.90,60.71,72.00,80.98,36.65,53.33,66.90,84.61,10.72,11.20,22.84,7.13,16.95,20.45,10.76,20.09
8.125,34.87,61.65,70.12,79.80,34.80,52.63,67.61,84.22,9.12,15.01,15.71,5.81,12.97,19.92,18.50,16.73
8.250,35.12,62.75,69.41,78.43,33.58,52.63,69.57,83.92,8.06,6.07,6.21,7.84,7.22,12.09,17.66,14.65
8.375,35.22,64.00,70.27,77.94,33.30,53.18,71.06,83.63,6.82,10.94,14.39,12.09,4.44,5.06,12.53,13.86
8.500,35.04,65.18,71.29,78.33,33.26,53.73,71.37,83.33,11.16,4.30,18.68,23.01,9.43,12.66,17.17,16.47
8.625,34.26,65.96,71.53,78.33,33.19,54.04,71.22,83.24,4.08,4.83,14.92,19.30,14.65,13.68,17.70,18.81
8.750,33.08,66.75,72.00,78.24,32.91,55.45,71.84,83.24,10.85,8.90,13.06,24.34,18.63,17.97,30.53,24.52
8.875,32.05,68.16,72.86,77.84,32.48,58.27,72.78,83.14,15.05,8.42,22.08,47.07,11.96,29.16,57.20,22.35
9.000,31.52,69.88,74.43,77.55,32.26,61.18,73.65,82.75,6.60,8.37,17.13,39.64,9.96,23.15,53.31,19.78
9.125,31.73,71.29,76.08,78.14,32.34,63.37,74.98,83.04,8.11,5.01,9.74,11.38,10.63,7.44,19.83,12.09
9.250,32.19,71.45,77.02,78.92,32.55,64.00,76.78,83.14,13.24,16.20,8.95,18.72,15.85,6.52,12.31,11.96
9.375,32.34,71.84,77.57,78.63,32.69,64.24,77.96,82.55,8.81,13.15,16.73,20.05,13.72,12.71,10.36,9.39
9.500,32.48,72.63,78.27,78.73,32.62,65.10,78.82,81.67,12.22,11.20,27.66,11.47,14.74,21.55,9.88,12.97
9.625,32.23,73.18,78.90,79.22,32.55,65.80,78.90,80.98,19.56,10.67,38.54,20.18,13.81,31.33,28.85,10.58
9.750,31.69,72.86,78.12,79.31,32.80,66.20,78.51,80.49,20.58,21.95,43.09,41.68,25.62,31.90,44.82,9.70
9.875,30.94,73.18,77.33,79.31,33.40,66.35,77.73,80.69,23.32,8.51,35.93,42.69,26.46,20.49,48.05,10.54
10.000,30.05,73.73,76.86,79.80,34.40,66.75,77.25,81.18,16.07,11.11,23.15,23.28,37.43,20.93,32.70,16.73
10.125,29.34,74.12,76.86,80.39,35.54,67.76,76.63,81.47,13.55,8.06,14.08,13.41,31.06,17.00,16.38,25.14
10.250,28.73,73.96,76.86,80.39,36.01,68.55,76.31,81.47,7.00,7.22,14.17,11.69,33.72,11.03,12.75,28.72
10.375,27.70,73.57,76.94,80.39,35.04,68.55,76.63,80.98,4.44,2.98,20.58,13.64,27.70,17.79,16.51,24.60
10.500,27.06,72.86,77.10,80.98,33.40,68.00,76.86,80.29,10.45,14.21,27.04,34.03,22.48,26.68,40.35,20.31
10.625,27.06,72.24,76.55,80.49,31.91,67.37,77.02,80.49,19.92,24.25,27.57,46.67,18.19,31.68,50.21,15.45
10.750,27.59,71.92,76.00,80.69,30.94,67.37,77.18,81.37,19.83,23.59,24.29,42.21,18.59,29.25,39.91,21.82
10.875,28.56,72.86,76.16,81.18,30.73,68.55,78.04,82.06,11.29,16.02,17.66,33.45,35.22,22.04,30.49,34.60
11.000,29.09,73.41,76.94,81.76,30.94,69.10,78.43,82.75,3.46,7.13,11.65,21.15,38.80,7.71,16.95,37.52
11.125,28.84,73.18,76.94,82.25,30.80,68.16,77.57,83.14,5.45,5.59,28.14,9.43,38.18,16.82,8.59,34.33
11.250,28.34,72.94,76.24,82.75,30.52,67.53,74.98,82.84,2.84,3.99,31.46,6.78,19.96,23.28,5.28,18.01
11.375,28.13,72.71,75.06,83.24,30.45,67.53,72.63,82.65,7.84,7.27,32.39,3.73,11.29,27.04,4.08,10.32
