"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,2.53,6.12,4.66,===,===,1.56,===,===
0.250,1.83,2.71,3.33,7.80,===,3.46,3.60,===
0.375,5.85,3.29,5.41,6.91,11.91,7.05,7.27,9.52
0.500,5.10,3.20,6.65,8.37,11.60,7.22,8.28,11.25
0.625,2.53,5.50,3.15,9.30,15.05,2.67,7.27,11.69
0.750,4.75,2.93,8.11,9.57,15.14,4.79,8.20,7.05
0.875,3.11,7.36,14.26,13.24,16.33,8.24,14.08,6.78
1.000,6.96,4.08,13.46,21.02,11.42,9.26,20.05,8.95
1.125,2.22,5.59,9.21,22.84,9.79,6.65,23.63,15.36
1.250,8.68,6.65,3.51,15.58,4.13,2.71,19.47,14.26
1.375,6.52,7.84,5.90,5.76,4.83,7.31,16.07,15.27
1.500,6.34,4.61,4.39,9.61,6.91,6.21,17.00,11.16
1.625,6.91,3.82,6.74,21.33,9.52,8.55,13.59,15.27
1.750,6.07,5.45,5.67,29.03,9.74,7.22,11.03,11.82
1.875,6.87,6.56,5.63,25.58,8.73,7.31,9.66,10.19
2.000,7.22,3.37,6.82,11.65,13.19,12.35,12.71,5.41
2.125,5.32,4.66,8.33,22.04,21.69,13.24,24.21,6.65
2.250,3.60,6.16,8.68,25.58,29.03,10.72,22.39,9.26
2.375,8.02,6.69,9.30,16.73,40.70,9.79,15.67,16.60
2.500,6.38,3.82,9.88,18.50,40.70,11.20,16.20,21.91
2.625,7.58,5.28,9.43,23.10,36.99,9.83,18.50,21.91
2.750,5.19,4.48,6.65,18.15,22.26,3.29,15.32,17.13
2.875,5.90,4.97,2.71,15.71,10.98,2.49,12.13,13.28
3.000,10.36,6.43,3.73,12.80,8.02,4.75,10.54,14.43
3.125,2.76,1.69,7.71,9.52,8.59,6.91,5.59,15.80
3.250,6.38,2.36,8.06,12.09,13.99,5.67,6.21,19.83
3.375,4.08,6.82,8.86,11.65,12.62,4.88,7.18,19.65
3.500,6.82,2.09,6.52,10.76,15.76,3.07,10.85,23.41
3.625,3.24,3.11,3.33,9.52,12.88,1.56,9.61,20.23
3.750,3.46,4.61,5.14,7.00,16.11,1.74,6.47,18.01
3.875,5.41,2.49,4.39,7.13,11.38,2.84,4.22,11.25
4.000,1.52,2.71,3.64,11.16,9.88,1.92,7.09,7.09
4.125,6.60,2.89,4.48,14.92,7.27,2.80,8.42,9.88
4.250,6.78,6.52,5.63,11.07,7.36,4.79,5.72,12.35
4.375,2.80,3.02,5.06,4.57,9.12,6.34,5.06,16.78
4.500,7.27,8.86,4.35,6.47,8.59,5.90,12.53,17.17
4.625,12.31,6.87,8.33,10.72,7.93,11.20,12.66,15.94
4.750,16.64,12.44,15.98,9.17,10.27,23.94,7.27,12.00
4.875,30.31,21.64,17.44,4.13,14.30,27.97,15.27,9.08
5.000,6.38,3.77,8.11,5.98,17.48,13.19,15.23,14.70
5.125,11.73,8.42,7.53,10.58,15.14,8.24,7.67,16.11
5.250,8.33,6.87,11.51,10.36,12.97,14.56,5.37,13.46
5.375,4.66,4.92,6.38,10.27,13.81,8.59,5.37,8.46
5.500,8.55,9.12,4.66,7.13,17.57,5.14,4.57,6.82
5.625,9.21,3.02,10.36,14.74,23.76,10.98,3.60,8.59
5.750,19.56,17.84,25.93,28.98,34.03,26.86,6.82,9.17
5.875,42.16,12.88,31.46,33.14,50.88,36.24,14.65,10.36
6.000,16.47,12.88,22.22,23.81,50.39,29.87,17.31,11.91
6.125,11.29,5.10,12.00,16.60,42.47,13.59,10.63,10.10
6.250,5.28,4.26,11.38,11.69,20.36,3.37,9.88,9.04
6.375,5.32,3.15,10.14,12.49,13.33,3.07,6.16,10.63
6.500,3.91,9.66,7.31,10.89,9.74,2.00,7.75,12.66
6.625,6.12,7.40,4.75,7.13,8.99,2.71,13.95,13.64
6.750,6.60,10.54,2.58,5.81,6.78,3.73,13.90,11.56
6.875,8.37,4.97,4.61,8.59,6.07,7.89,12.18,11.07
7.000,7.27,4.57,5.76,11.96,7.40,9.26,21.42,15.54
7.125,11.42,10.72,7.36,12.71,7.05,7.71,24.78,17.22
7.250,6.07,4.97,8.37,6.56,8.11,6.82,14.65,17.75
7.375,8.73,8.73,10.23,5.67,6.87,10.41,6.87,14.92
7.500,7.58,8.11,13.50,13.90,9.52,13.95,12.31,15.98
7.625,8.81,5.85,13.68,16.60,14.03,10.81,10.94,23.15
7.750,4.88,10.50,8.73,16.38,19.78,7.00,8.77,27.44
7.875,5.81,5.01,1.96,15.05,31.28,5.14,6.12,30.93
8.000,1.30,5.14,3.24,9.08,33.18,3.68,2.49,29.25
8.125,6.43,2.14,4.13,12.66,39.73,2.93,4.83,22.92
8.250,4.04,6.74,9.57,21.60,33.72,7.49,7.89,17.13
8.375,4.13,5.01,10.14,21.55,27.21,7.84,7.67,8.20
8.500,8.06,5.54,6.16,13.77,16.38,4.17,5.01,9.48
8.625,6.91,6.69,9.26,6.07,6.82,7.84,5.37,10.19
