TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.61,1.78,2.14,===,===,0.85,===,===
0.250,2.62,2.67,1.96,3.07,===,1.34,1.30,===
0.375,4.08,3.82,2.53,2.53,4.30,3.64,1.52,2.31
0.500,7.89,6.65,5.06,2.84,5.14,5.45,3.07,4.35
0.625,8.51,5.10,4.35,2.45,5.19,4.04,6.69,5.72
0.750,7.53,5.76,4.61,7.31,5.59,3.07,11.07,5.90
0.875,8.24,8.77,6.74,11.91,5.85,3.42,12.40,4.92
1.000,7.27,3.86,2.84,10.81,9.43,3.15,8.20,5.19
1.125,14.56,14.26,7.75,6.03,16.29,6.74,10.19,10.50
1.250,16.82,19.30,11.91,20.31,19.83,11.47,25.05,10.98
1.375,32.39,30.71,5.72,46.94,27.57,9.52,46.10,16.60
1.500,26.06,28.32,7.58,48.80,28.14,14.52,47.38,19.78
1.625,12.88,12.84,13.24,33.32,44.55,19.30,34.60,37.83
1.750,13.90,9.08,6.47,19.30,40.97,13.15,23.28,38.05
1.875,5.85,11.20,8.77,9.96,42.52,10.05,13.33,41.37
2.000,4.44,8.02,4.39,10.23,26.77,2.62,10.76,25.93
2.125,4.66,7.62,3.99,9.21,22.39,4.66,13.68,24.03
2.250,9.57,10.89,8.33,17.04,16.60,8.73,22.22,14.87
2.375,18.15,18.77,14.56,15.45,17.44,17.66,20.58,15.98
2.500,18.55,14.52,20.71,10.63,28.94,25.80,15.89,25.53
2.625,6.56,7.09,19.47,22.44,41.15,24.56,22.97,39.91
2.750,6.47,6.65,13.68,17.97,47.38,14.87,17.04,45.75
2.875,5.59,5.23,6.38,8.81,46.67,6.56,8.95,46.19
3.000,5.90,12.44,4.48,8.59,33.32,5.90,12.93,31.95
3.125,7.58,6.52,9.79,6.60,26.64,7.18,10.01,27.26
3.250,5.19,7.13,9.48,7.18,12.31,4.66,9.57,13.64
3.375,10.89,9.35,3.46,22.30,13.99,7.75,30.18,11.42
3.500,15.58,17.22,15.71,18.37,17.22,20.76,28.67,11.91
3.625,28.32,27.70,20.98,16.07,29.96,23.15,25.22,20.80
3.750,5.72,7.71,13.90,28.59,45.66,10.45,30.62,38.05
3.875,18.68,14.08,7.58,20.54,47.21,10.45,18.46,39.64
4.000,6.82,7.58,8.90,7.00,45.39,12.71,5.37,39.33
4.125,9.26,10.10,8.68,13.02,33.23,7.22,11.03,27.08
4.250,9.79,11.38,11.07,25.62,25.09,10.01,24.25,21.77
4.375,17.66,22.00,23.81,28.63,20.98,22.22,27.79,19.74
4.500,18.46,19.12,28.67,25.00,19.61,26.59,27.21,21.77
4.625,9.35,11.03,23.59,29.20,35.40,22.22,33.72,37.70
4.750,4.08,4.75,14.87,21.29,36.59,14.52,26.86,39.55
4.875,6.16,3.73,7.58,12.66,31.81,5.98,16.07,34.51
5.000,7.40,8.37,9.35,16.29,18.32,7.89,20.85,20.58
5.125,21.64,18.68,21.24,19.56,14.87,20.76,22.35,16.38
5.250,25.05,26.68,22.26,21.29,21.42,23.63,20.98,22.44
5.375,9.08,5.90,14.21,31.02,35.75,15.58,29.74,35.75
5.500,13.86,18.81,5.01,22.79,39.86,6.16,22.57,39.82
5.625,15.58,16.16,2.31,10.50,40.48,4.30,8.11,39.42
5.750,8.73,11.87,10.72,6.82,23.23,9.12,2.22,23.99
5.875,9.79,10.94,19.34,10.41,17.04,19.39,12.88,16.07
6.000,15.32,18.85,22.04,26.86,12.09,18.32,30.18,9.92
6.125,5.45,9.88,13.24,38.18,14.26,4.22,43.40,10.36
6.250,37.48,32.57,6.25,27.66,20.09,10.23,34.07,13.11
6.375,10.63,6.29,12.13,9.57,29.16,16.07,13.19,21.95
6.500,11.29,14.48,27.74,8.20,33.32,20.54,8.15,24.96
6.625,41.32,39.33,32.17,12.40,35.75,23.10,8.73,30.31
6.750,8.90,9.39,17.88,26.82,35.00,13.77,15.80,31.11
6.875,29.91,28.32,13.72,22.92,31.15,12.26,10.72,27.26
7.000,10.36,7.09,11.56,9.12,27.35,10.19,8.64,22.08
7.125,10.23,14.26,9.66,15.94,20.45,9.52,13.99,15.10
7.250,6.69,6.69,7.13,21.69,18.41,9.83,18.50,13.68
7.375,20.58,20.85,8.95,27.26,14.74,10.19,28.10,11.47
7.500,7.62,6.56,21.55,30.84,22.17,22.00,38.67,16.69
7.625,18.41,18.90,25.58,42.47,29.12,22.70,55.25,21.69
7.750,7.31,6.21,15.45,35.93,47.65,11.82,48.89,35.13
7.875,3.60,4.48,8.02,20.58,46.28,9.96,31.64,33.72
8.000,4.39,6.29,4.57,13.02,48.00,4.97,9.83,34.47
8.125,4.44,16.25,14.65,20.00,45.48,6.78,6.78,27.30
8.250,8.99,9.35,14.26,20.93,40.66,15.01,12.18,37.96
8.375,14.92,7.22,5.01,22.04,38.45,24.65,10.01,48.31
8.500,17.53,13.59,16.73,20.23,36.10,24.52,16.51,57.47
8.625,5.81,17.62,25.58,22.53,53.80,13.37,21.33,59.41
8.750,9.48,11.56,27.21,27.35,62.77,6.96,14.70,41.77
8.875,5.14,11.20,24.91,36.24,65.29,10.32,18.85,30.22
