"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,0.81,3.37,6.78,===,===,0.72,===,===
0.250,1.30,3.20,5.45,6.60,===,1.16,1.12,===
0.375,1.74,1.83,4.13,5.23,6.52,2.14,3.37,2.36
0.500,2.89,4.17,5.28,10.32,6.96,3.37,6.25,6.07
0.625,3.95,2.80,2.89,11.96,10.14,2.80,6.29,8.20
0.750,2.84,2.09,5.63,5.94,11.87,6.03,2.62,10.63
0.875,1.43,4.75,11.51,4.79,12.26,9.83,3.29,7.67
1.000,2.31,4.13,12.31,6.82,8.73,8.77,4.83,8.86
1.125,5.41,4.26,10.54,9.79,8.81,7.62,7.40,8.37
1.250,5.14,5.67,13.19,13.86,11.42,11.56,11.91,10.89
1.375,4.26,4.04,14.70,11.82,18.59,12.88,13.33,10.76
1.500,5.50,4.30,10.32,9.43,19.39,9.30,12.88,12.49
1.625,4.44,7.49,11.29,13.37,17.88,8.64,9.26,11.73
1.750,5.63,6.78,12.80,8.77,12.49,9.52,4.79,11.73
1.875,3.82,6.56,11.73,4.61,10.50,11.96,5.06,7.67
2.000,5.01,4.35,9.96,7.93,11.03,13.02,5.90,7.49
2.125,4.79,3.20,3.02,11.29,10.50,8.11,7.53,5.59
2.250,4.79,4.66,12.18,8.51,10.14,7.44,8.86,6.65
2.375,6.78,4.75,12.53,7.05,10.32,10.41,5.98,7.49
2.500,3.07,7.22,8.90,8.77,12.57,8.95,4.35,9.57
2.625,2.45,5.90,7.93,13.50,11.56,7.22,10.54,9.17
2.750,5.67,8.06,8.11,8.64,9.92,8.11,9.96,8.15
2.875,3.60,10.19,11.29,5.63,6.74,10.19,8.20,4.83
3.000,6.43,5.72,12.93,3.91,6.78,9.88,7.93,4.35
3.125,4.30,7.00,11.42,12.18,7.09,8.42,11.96,3.77
3.250,10.67,9.96,6.12,15.63,6.25,5.85,12.13,6.25
3.375,5.01,3.91,8.33,7.13,5.50,8.46,6.38,7.18
3.500,10.67,11.20,9.12,2.22,4.57,8.59,5.14,8.68
3.625,4.57,2.45,10.23,2.27,5.01,10.19,5.76,6.03
3.750,8.24,4.52,9.26,8.86,5.85,10.10,3.24,6.82
3.875,4.75,3.73,2.53,14.79,5.14,4.92,4.79,6.43
4.000,4.83,2.58,5.54,12.57,3.91,2.53,8.24,9.79
4.125,6.25,4.92,6.56,6.56,4.44,4.88,6.69,11.25
4.250,3.24,4.57,6.82,5.32,7.53,3.55,5.28,10.81
4.375,2.58,2.89,4.52,9.79,9.66,2.36,8.02,10.63
4.500,5.94,4.04,3.82,13.06,13.64,2.98,10.19,7.93
4.625,3.33,6.78,6.65,14.92,12.84,2.53,8.51,11.56
4.750,5.41,7.67,6.16,14.56,18.32,2.62,6.91,17.26
4.875,9.57,19.65,2.45,15.67,13.95,4.44,11.29,23.59
5.000,14.56,17.57,3.20,30.80,17.44,12.44,12.31,32.08
5.125,15.27,24.60,9.96,44.02,21.20,26.73,37.78,27.83
5.250,23.06,4.13,11.16,37.87,35.93,29.38,49.20,21.95
5.375,6.03,7.71,5.59,18.90,39.24,18.63,39.16,20.58
5.500,9.52,5.54,7.44,11.73,39.60,7.84,15.41,21.77
5.625,6.38,5.98,12.75,5.50,24.74,9.96,5.85,27.30
5.750,3.68,2.62,11.78,10.54,16.47,11.16,3.29,17.97
5.875,5.94,6.69,8.64,8.15,7.93,6.16,2.76,13.90
6.000,4.04,4.75,9.79,3.60,10.89,5.76,2.84,6.78
6.125,2.71,3.82,13.11,8.02,12.62,9.48,4.26,4.66
6.250,3.33,2.84,10.85,10.85,12.80,7.13,5.45,3.24
6.375,5.41,3.51,8.55,6.60,12.49,8.42,5.90,4.66
6.500,6.96,3.68,9.57,6.16,11.42,14.30,4.52,5.32
6.625,6.29,1.83,7.22,5.67,11.82,9.96,6.56,5.32
6.750,6.12,2.18,3.33,2.22,8.24,4.92,12.44,3.82
6.875,4.35,4.26,2.22,2.40,6.74,11.11,11.73,3.68
7.000,4.66,10.67,6.87,2.40,5.63,9.30,6.43,3.99
7.125,5.90,8.59,18.06,6.34,4.61,10.01,13.95,4.52
7.250,6.78,31.50,27.39,13.95,8.64,10.36,15.67,6.43
7.375,7.05,7.71,20.18,16.11,11.87,5.37,8.73,6.91
7.500,4.83,12.31,3.91,7.84,19.74,6.96,6.03,7.97
7.625,3.77,5.01,9.61,3.68,21.86,7.75,4.83,6.87
7.750,5.19,6.07,8.02,8.33,24.87,3.02,3.51,6.25
7.875,4.39,3.55,7.13,10.50,20.85,5.94,6.52,5.90
8.000,5.37,4.66,7.27,11.78,23.81,8.24,10.36,8.64
8.125,4.70,3.33,6.52,6.91,21.82,7.13,13.02,9.39
8.250,5.10,6.52,8.46,7.44,32.74,5.54,10.85,12.71
8.375,7.53,10.19,17.66,18.01,34.95,5.63,4.70,11.42
8.500,7.00,19.08,27.83,17.93,42.96,2.76,2.49,12.49
8.625,5.28,21.02,29.43,17.70,46.54,9.70,2.09,12.18
8.750,10.58,4.70,22.22,30.62,56.94,16.16,4.39,10.85
8.875,7.13,10.89,11.16,22.88,53.18,14.52,6.60,11.73
9.000,7.18,7.71,7.75,7.58,45.13,5.23,6.16,8.95
9.125,3.07,1.78,10.50,4.57,20.45,10.89,9.04,9.70
9.250,6.91,5.81,10.81,3.91,12.53,12.57,10.54,6.21
9.375,4.17,3.46,7.00,3.37,10.89,4.44,7.53,4.97
9.500,7.71,3.11,3.99,5.59,13.64,1.25,3.86,2.22
9.625,1.83,3.51,3.42,10.76,15.49,3.99,5.01,2.27
9.750,3.42,2.45,6.96,9.79,12.75,10.14,5.06,2.71
9.875,3.77,4.26,11.07,8.99,11.16,13.24,3.82,5.67
10.000,5.85,2.14,13.19,7.53,11.03,13.72,7.89,6.47
10.125,5.81,6.38,14.12,11.65,8.51,12.26,12.75,6.82
10.250,1.78,5.14,9.48,16.69,8.77,7.22,13.95,4.48
10.375,7.18,5.54,4.57,13.06,6.21,4.83,9.70,3.60
10.500,2.53,6.07,9.92,7.71,8.02,8.24,4.83,3.60
10.625,5.28,3.37,8.64,4.66,7.75,6.21,4.57,5.85
10.750,2.93,5.63,4.66,4.39,10.72,6.03,4.35,7.93
10.875,3.60,2.14,11.42,6.78,9.52,9.96,2.84,8.86
11.000,3.46,7.36,12.22,5.10,8.68,8.55,2.76,9.92
11.125,7.22,3.24,4.44,7.40,6.43,6.52,4.22,8.02
11.250,2.67,3.95,10.36,5.72,5.23,9.66,6.91,7.49
11.375,7.84,5.59,10.81,6.16,5.41,10.63,7.67,4.75
11.500,3.82,5.06,5.06,4.04,5.19,7.22,3.37,4.79
11.625,5.90,5.10,3.64,6.16,6.25,4.44,3.51,5.50
11.750,2.58,3.24,3.68,13.86,8.68,3.55,7.00,9.70
11.875,3.77,4.70,8.55,18.19,11.73,6.82,9.70,14.39
12.000,3.99,4.13,10.10,14.39,12.97,9.70,8.86,15.80
12.125,3.51,6.65,12.84,10.10,14.70,16.02,8.15,15.67
12.250,4.22,6.82,10.54,12.13,13.64,17.53,12.04,11.25
12.375,4.61,2.76,7.36,10.58,18.37,8.55,11.42,12.44
12.500,4.26,4.35,13.37,5.85,15.49,10.63,5.72,9.43
12.625,6.69,3.33,19.39,6.34,15.71,17.75,5.41,8.59
12.750,3.15,1.96,17.75,3.60,8.73,11.82,4.22,4.61
12.875,6.87,3.07,12.18,6.60,9.35,7.40,4.44,3.64
13.000,3.20,3.42,8.24,7.36,8.06,7.80,8.55,3.73
13.125,5.14,2.89,3.51,6.69,9.30,3.82,5.98,3.82
13.250,5.10,3.60,4.70,3.91,8.73,3.42,2.40,4.08
13.375,6.65,5.50,9.88,3.73,9.04,8.64,2.31,3.95
13.500,2.18,3.55,13.41,6.07,13.90,9.21,5.32,4.39
13.625,5.37,5.01,9.48,7.49,13.46,4.04,7.40,3.91
13.750,2.36,2.31,5.54,6.65,16.02,6.07,5.28,3.51
13.875,3.86,6.56,8.42,9.61,10.67,9.83,6.16,4.61
14.000,3.11,2.71,8.51,7.58,7.80,11.25,6.82,8.15
14.125,3.42,7.44,14.26,10.85,3.91,14.39,4.79,10.19
14.250,4.48,4.35,17.00,12.80,2.89,14.30,7.84,10.94
