TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.87,4.97,13.86,===,===,1.30,===,===
0.250,2.49,5.94,13.64,10.54,===,2.84,2.36,===
0.375,3.68,2.80,9.79,10.63,10.14,8.37,8.77,3.95
0.500,4.66,4.44,6.74,20.67,7.93,11.56,14.08,5.28
0.625,6.03,6.07,6.25,22.79,6.03,11.16,9.96,6.34
0.750,4.75,2.80,10.19,21.38,4.92,5.94,9.26,8.37
0.875,6.07,8.11,13.28,27.39,4.17,10.19,26.20,15.98
1.000,4.88,5.14,18.19,21.38,4.04,16.07,31.86,22.66
1.125,4.79,4.17,21.15,10.10,4.57,13.55,26.64,27.83
1.250,6.43,8.51,18.68,17.04,8.11,7.31,21.95,34.42
1.375,9.48,10.27,5.72,27.52,12.44,4.70,20.40,34.38
1.500,3.95,5.85,6.69,26.11,14.74,6.38,23.32,31.24
1.625,3.60,3.46,3.37,22.66,12.93,5.10,22.22,19.96
1.750,3.11,8.24,8.77,25.36,7.80,5.37,23.10,11.51
1.875,5.72,5.28,12.97,19.83,8.51,8.42,23.10,8.73
2.000,8.33,8.90,12.00,12.75,11.91,11.87,16.25,7.97
2.125,5.37,10.63,11.38,8.37,15.89,13.55,10.63,12.18
2.250,8.59,5.85,8.77,6.52,14.61,8.64,18.94,20.05
2.375,3.99,3.64,8.77,6.78,11.34,4.97,16.95,26.82
2.500,7.84,7.09,7.71,15.58,10.98,5.37,7.58,37.61
2.625,8.99,3.82,2.71,15.01,11.60,2.84,12.44,33.67
2.750,4.22,3.33,7.09,6.29,10.14,2.89,7.84,29.51
2.875,3.02,2.49,9.96,7.89,8.33,2.05,3.29,16.07
3.000,3.95,6.91,8.90,3.77,6.07,2.27,8.42,8.81
3.125,4.39,5.32,5.63,4.66,7.58,3.86,10.67,5.23
3.250,2.22,7.67,4.39,10.94,7.44,6.78,6.47,5.63
3.375,5.81,6.29,5.45,16.07,9.26,3.68,11.16,9.74
3.500,5.37,5.41,6.29,16.86,8.33,2.05,16.42,13.68
3.625,3.73,5.28,9.04,11.51,7.67,4.79,17.93,18.01
3.750,5.59,7.75,11.73,6.65,4.48,12.31,26.55,25.05
3.875,6.12,6.34,12.18,9.30,4.22,15.80,26.86,26.55
4.000,8.68,8.20,4.88,7.93,6.56,10.10,20.76,24.29
4.125,9.08,5.90,4.52,9.57,12.04,8.90,15.54,18.63
4.250,8.42,3.42,4.75,8.77,23.19,8.95,18.50,17.22
4.375,5.81,4.26,5.98,10.76,34.03,3.95,13.37,26.11
4.500,6.21,4.66,14.17,19.52,36.77,7.58,10.76,28.72
4.625,2.76,2.09,12.31,17.53,37.08,8.20,14.92,31.81
4.750,3.33,3.20,7.05,6.38,23.54,8.42,11.78,25.18
4.875,4.61,3.15,8.77,7.67,21.64,11.82,5.19,18.72
5.000,4.97,5.06,8.20,13.59,12.57,6.38,15.58,11.11
5.125,6.96,4.88,12.22,15.76,12.80,13.37,20.71,5.50
5.250,9.08,9.43,13.41,19.25,7.62,17.48,9.30,5.59
5.375,8.51,9.48,9.35,20.23,7.49,10.54,12.13,7.53
5.500,9.66,7.49,5.94,11.34,11.60,3.60,13.64,8.77
5.625,6.29,11.29,4.83,10.27,14.17,2.40,7.75,7.67
5.750,9.96,6.82,3.42,18.41,17.09,3.86,9.04,6.03
5.875,3.82,4.26,1.96,15.76,14.48,4.17,12.53,4.48
6.000,4.57,7.97,4.13,11.87,13.90,3.95,13.37,4.30
6.125,6.38,3.02,6.21,16.47,11.29,4.22,18.85,6.43
6.250,6.47,8.33,9.43,19.12,11.51,2.45,27.88,8.55
6.375,3.55,2.67,16.20,16.82,9.26,6.74,25.00,13.11
6.500,5.28,6.29,18.81,13.19,12.62,9.21,10.27,13.86
6.625,2.62,5.37,14.70,11.96,11.60,5.06,4.44,13.24
6.750,8.59,5.23,5.81,5.54,15.41,4.83,6.60,8.51
6.875,7.62,10.72,7.18,12.09,13.28,10.85,9.17,7.22
7.000,5.45,6.12,14.70,9.04,12.71,11.11,17.75,8.99
7.125,3.99,8.59,12.97,7.49,10.63,8.68,25.75,19.34
7.250,5.67,9.12,7.75,16.11,11.60,7.22,30.80,24.07
7.375,3.24,9.30,3.86,14.48,15.80,6.91,22.97,36.10
7.500,1.96,4.92,6.52,11.60,15.54,5.28,11.65,32.65
7.625,4.22,3.20,9.39,9.30,15.05,3.51,8.59,30.49
7.750,2.36,4.48,9.17,12.40,8.86,4.13,10.50,19.78
7.875,3.07,5.32,11.20,24.74,7.44,2.71,11.87,11.56
8.000,5.14,7.13,14.79,25.31,3.99,9.08,8.20,7.40
8.125,3.68,4.79,11.87,15.98,3.46,9.57,16.20,4.48
8.250,3.82,5.67,7.75,26.86,4.70,10.05,32.21,6.65
8.375,2.89,5.63,4.92,37.56,7.31,10.45,38.71,8.81
8.500,2.76,1.69,2.31,29.34,9.39,7.22,29.16,10.94
8.625,8.68,5.50,5.45,16.47,11.25,4.92,18.06,13.15
8.750,4.70,4.39,12.53,22.13,13.19,5.76,18.72,17.17
8.875,10.98,10.89,20.40,18.85,13.11,10.19,14.21,18.10
9.000,5.81,3.55,21.29,8.33,12.09,13.11,9.30,19.16
9.125,3.60,4.04,17.75,9.30,10.63,12.93,12.93,20.58
9.250,1.83,3.82,11.69,14.12,15.05,12.44,14.43,25.22
9.375,5.06,9.26,10.67,13.64,16.47,11.78,18.28,27.70
9.500,6.87,6.21,11.91,12.49,17.79,10.19,17.48,28.28
9.625,6.34,4.44,15.67,14.12,11.38,16.51,12.09,23.32
9.750,9.74,4.70,18.15,13.64,9.43,12.13,14.17,17.04
9.875,11.25,10.10,17.44,9.04,7.75,18.24,21.60,13.15
10.000,5.76,10.94,10.41,6.78,8.64,23.68,20.14,11.69
10.125,8.55,5.90,3.99,11.96,9.43,16.91,10.98,14.87
10.250,5.01,5.59,8.59,14.43,7.31,14.26,4.61,10.10
10.375,6.74,8.81,17.93,12.26,7.40,17.88,6.52,9.79
10.500,7.18,6.52,15.63,13.59,6.07,13.41,9.21,6.91
10.625,5.59,7.89,13.59,25.22,9.26,12.18,21.29,10.05
10.750,16.73,8.37,25.53,28.50,8.37,8.33,29.25,9.43
10.875,14.48,14.21,27.92,20.40,12.09,9.83,25.80,13.90
11.000,7.75,10.45,15.14,16.95,11.60,26.82,24.91,15.23
11.125,12.97,4.88,8.33,8.42,14.70,34.03,31.50,17.79
11.250,18.06,9.12,21.02,14.52,12.75,21.69,30.22,16.91
11.375,10.58,7.31,25.27,26.06,10.01,14.79,23.19,15.94
11.500,12.88,12.84,22.39,29.65,7.05,21.15,17.88,14.03
11.625,5.54,8.51,28.05,24.25,4.97,25.14,11.96,12.22
11.750,16.11,15.80,27.44,15.63,5.76,27.88,14.70,10.50
11.875,6.56,5.81,18.59,17.66,6.52,14.96,33.72,7.27
12.000,5.50,5.06,20.80,26.02,6.78,6.69,39.77,5.63
12.125,5.67,11.07,24.21,22.75,5.45,15.49,24.21,3.73
12.250,7.40,8.55,22.88,26.55,4.66,17.70,12.22,5.50
12.375,7.58,13.95,21.20,24.83,6.91,18.32,6.96,13.41
12.500,7.18,8.37,22.57,15.36,12.13,21.69,17.70,22.35
12.625,9.35,13.95,20.89,15.23,16.95,22.92,15.14,28.23
12.750,3.37,5.67,16.51,9.70,22.39,13.86,14.34,29.07
12.875,6.60,5.67,11.51,13.33,28.67,3.37,13.99,27.57
13.000,3.51,8.59,10.76,26.11,28.67,11.42,10.67,25.27
13.125,10.36,9.66,4.66,25.05,27.70,14.17,9.83,24.21
13.250,5.45,7.49,12.04,15.54,18.85,9.57,8.37,20.05
13.375,10.36,14.17,11.11,19.83,15.49,12.04,4.75,19.96
13.500,6.21,5.76,11.38,20.14,12.49,10.36,16.07,16.33
13.625,4.92,7.31,14.21,12.57,10.63,14.96,22.61,17.09
13.750,4.30,5.90,5.37,14.34,12.09,16.07,16.73,18.81
13.875,12.88,16.86,14.48,23.90,14.08,8.59,19.70,17.70
14.000,5.14,4.08,13.90,29.56,15.85,3.24,37.87,13.81
14.125,7.13,6.96,21.55,24.21,19.43,5.19,38.40,8.81
14.250,4.97,5.54,21.07,15.18,20.00,10.54,19.03,7.00
14.375,7.00,3.11,7.53,4.66,18.99,12.35,14.74,9.74
14.500,6.34,1.69,1.07,1.87,18.59,10.23,14.39,11.47
14.625,7.09,1.43,1.56,3.15,14.61,14.79,6.69,15.41
14.750,8.28,3.24,5.50,6.25,20.18,18.85,11.69,14.43
14.875,8.15,3.42,7.09,12.26,19.30,12.62,11.65,14.56
15.000,9.30,3.24,7.89,24.60,32.70,4.17,5.59,14.92
15.125,3.42,7.93,15.05,29.29,37.87,4.70,4.75,18.37
15.250,10.94,2.27,16.69,25.22,48.27,11.25,7.97,26.20
15.375,9.08,2.36,8.06,13.90,51.50,17.35,16.38,24.56
15.500,6.78,7.13,5.28,4.97,43.22,14.56,24.21,23.23
15.625,5.76,2.36,4.48,5.67,33.01,7.67,14.70,16.20
15.750,5.50,3.33,2.53,3.55,15.80,5.90,8.64,20.00
15.875,10.10,1.92,1.92,4.04,8.20,7.67,18.55,20.89
16.000,6.82,3.29,4.04,4.35,5.76,12.62,14.34,26.24
16.125,7.00,5.06,11.73,5.63,5.67,16.16,9.74,22.61
16.250,12.49,6.43,9.92,10.01,8.37,13.68,13.19,18.63
16.375,5.41,3.55,5.37,16.07,12.66,12.88,12.84,10.89
16.500,8.64,7.18,9.39,15.32,13.41,14.65,20.62,8.15
16.625,7.97,5.50,5.28,9.96,12.84,11.56,21.02,9.26
16.750,5.85,5.37,4.08,9.30,8.15,9.12,16.69,11.07
16.875,8.99,5.90,13.86,10.19,6.74,10.01,10.27,15.80
17.000,5.81,4.13,16.38,14.39,6.60,9.74,3.95,16.55
17.125,11.60,2.71,6.47,19.96,7.05,5.63,10.81,20.71
17.250,7.40,6.91,13.95,14.74,9.08,8.24,21.55,18.28
17.375,20.27,15.45,11.42,6.82,9.96,12.97,25.18,16.55
17.500,6.74,4.08,1.74,8.33,11.34,6.91,17.93,10.81
17.625,18.32,7.09,3.68,5.76,8.77,2.22,13.95,6.91
17.750,10.54,3.02,2.18,2.98,7.89,2.18,14.96,6.91
17.875,12.62,1.21,1.87,2.27,7.18,10.76,8.86,9.17
18.000,9.70,3.11,3.60,6.60,10.27,11.87,19.12,8.37
18.125,6.34,6.38,12.04,20.62,11.03,8.46,19.96,6.07
18.250,3.07,10.76,19.16,31.15,12.53,2.93,15.58,3.60
18.375,7.71,7.05,18.94,32.92,13.37,5.01,10.32,3.51
18.500,4.52,4.26,9.61,21.69,18.19,11.82,16.07,6.07
18.625,3.15,1.74,4.04,4.61,19.56,13.77,18.85,6.87
18.750,7.40,2.14,2.53,1.92,17.44,9.79,8.24,7.89
18.875,10.76,2.09,1.65,1.83,10.94,9.43,8.37,7.13
19.000,9.61,2.76,3.91,1.74,6.78,3.02,8.33,8.15
19.125,15.98,2.67,6.65,3.37,4.52,11.60,12.40,10.01
19.250,5.81,2.45,5.63,4.26,4.48,15.85,21.24,13.55
19.375,5.59,3.42,1.83,6.43,4.61,11.65,20.36,11.07
19.500,8.42,6.34,6.65,8.64,4.48,8.11,21.20,11.91
19.625,6.07,5.41,13.11,9.96,3.02,9.30,34.25,10.10
19.750,5.37,8.02,15.14,11.60,4.17,9.35,43.93,14.26
19.875,5.06,4.88,8.11,14.17,8.24,9.26,38.93,20.58
20.000,10.32,3.42,5.41,12.00,11.82,2.80,14.83,23.23
20.125,15.01,12.09,12.18,16.42,18.77,10.14,5.37,28.54
20.250,5.59,7.40,13.06,14.26,17.40,7.40,8.73,24.07
20.375,9.92,6.74,9.83,7.18,17.48,3.24,5.94,20.80
20.500,8.68,5.94,3.11,15.80,9.35,3.29,5.81,13.77
20.625,12.18,2.80,5.23,13.02,8.11,3.20,11.16,10.58
20.750,6.29,2.36,11.82,8.51,7.97,4.88,12.97,13.55
20.875,6.16,10.23,12.18,11.07,12.75,7.18,11.29,11.56
21.000,9.17,8.99,5.37,26.64,17.35,8.86,9.66,9.83
21.125,2.45,12.04,14.92,39.73,19.43,12.66,8.77,8.33
21.250,8.59,15.58,20.80,24.03,17.00,11.25,18.01,9.52
21.375,4.66,11.42,17.93,9.43,13.15,12.49,15.71,7.75
21.500,6.43,4.83,13.02,5.54,12.57,10.01,9.57,4.79
21.625,5.10,5.98,5.06,14.79,14.17,7.58,12.53,5.67
21.750,10.27,11.69,8.90,26.20,11.69,6.03,21.11,10.41
21.875,2.09,9.08,27.48,26.86,7.36,4.79,32.12,18.90
22.000,12.80,35.13,37.08,19.65,2.98,8.33,36.59,21.73
22.125,4.04,11.87,26.33,17.17,2.62,11.69,38.76,24.25
22.250,6.87,12.04,12.44,12.26,3.33,12.80,34.11,26.95
22.375,7.93,12.09,10.45,11.60,5.41,8.33,17.13,29.56
22.500,4.83,3.33,4.92,23.37,7.44,6.60,11.20,32.88
22.625,8.42,6.47,9.70,25.09,10.54,14.87,14.92,33.05
22.750,6.60,6.12,14.92,20.89,11.60,13.50,19.16,31.77
22.875,13.50,7.31,10.27,12.26,12.09,7.67,23.68,26.68
23.000,3.37,4.30,10.41,9.48,11.29,10.27,25.00,16.69
