TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,2.22,9.79,6.56,===,===,1.65,===,===
0.250,3.51,2.18,4.61,6.91,===,3.11,3.60,===
0.375,6.43,4.52,5.14,9.70,15.14,6.07,10.45,7.71
0.500,7.53,6.52,2.58,14.03,14.56,2.40,13.11,8.33
0.625,4.66,14.48,5.54,9.12,16.33,8.28,9.43,15.94
0.750,7.00,5.19,10.14,21.82,18.24,9.39,17.93,21.29
0.875,8.86,26.46,24.12,46.50,22.13,6.38,22.75,30.53
1.000,6.03,15.94,30.84,43.71,24.65,9.96,10.76,31.86
1.125,5.90,6.78,23.63,33.98,29.25,7.13,2.09,25.00
1.250,2.18,4.79,7.93,25.00,34.69,1.92,1.47,15.71
1.375,1.87,5.63,8.46,11.25,35.09,2.00,2.53,6.29
1.500,1.38,0.94,3.86,3.02,29.74,1.12,1.07,4.52
1.625,2.14,1.92,1.21,2.89,21.33,1.34,1.34,3.91
1.750,6.82,1.52,1.38,1.96,12.57,1.65,3.02,2.98
1.875,7.27,2.00,1.43,0.99,7.44,9.70,6.87,2.93
2.000,18.59,3.29,3.42,4.44,4.30,21.02,17.04,8.73
2.125,13.64,3.46,4.83,7.00,11.69,21.95,18.99,12.40
2.250,7.62,3.82,4.75,11.65,15.32,11.42,11.29,19.78
2.375,4.75,1.34,2.67,8.15,20.40,3.07,2.93,18.10
2.500,2.22,3.11,2.14,3.64,14.26,2.80,3.02,17.79
2.625,2.05,1.83,2.76,3.68,14.83,1.34,1.83,10.41
2.750,0.72,2.14,2.22,2.14,10.05,1.12,1.07,6.16
2.875,1.12,1.69,1.03,1.65,9.39,1.47,1.56,3.42
3.000,2.49,1.69,1.43,1.47,5.37,1.38,1.47,2.71
3.125,4.44,2.62,3.02,2.53,4.04,1.65,2.76,2.80
3.250,5.45,2.22,3.11,4.75,5.85,6.60,5.06,3.99
3.375,9.88,3.20,5.32,5.85,9.74,15.85,11.51,8.95
3.500,12.66,4.48,6.43,4.22,13.77,17.66,15.45,10.14
