"Time","Beta R PIP","Alpha R PIP","Theta R PIP","Delta R PIP","Beta L PIP","Alpha L PIP","Theta L PIP","Delta L PIP","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,3.55,6.12,8.42,===,===,2.40,===,===
0.250,===,===,===,===,===,===,===,===,6.47,6.69,4.44,12.13,===,3.51,6.65,===
0.375,===,===,===,===,===,===,===,===,13.15,8.73,4.26,25.93,22.26,10.41,19.39,18.90
0.500,===,===,===,===,===,===,===,===,18.77,23.99,11.96,36.15,30.18,17.09,35.66,35.71
0.625,===,===,===,===,===,===,===,===,8.42,6.38,17.09,31.28,31.19,12.80,35.62,43.80
0.750,===,===,===,===,===,===,===,===,10.01,9.74,14.96,23.01,28.76,6.52,24.74,44.64
0.875,===,===,===,===,===,===,===,===,6.56,5.01,9.12,19.03,20.80,12.44,15.45,35.00
1.000,===,===,===,===,===,===,===,===,10.19,13.06,9.57,19.92,14.34,13.24,5.67,22.75
1.125,===,===,===,===,===,===,===,===,6.56,5.45,8.06,19.70,15.80,6.78,11.47,19.92
1.250,===,===,===,===,===,===,===,===,13.15,14.21,5.41,14.34,15.14,4.66,11.38,15.10
1.375,===,===,===,===,===,===,===,===,13.68,5.54,6.52,10.32,14.87,7.97,8.68,14.26
1.500,===,===,===,===,===,===,===,===,12.49,12.09,14.65,7.44,11.69,17.70,17.97,13.41
1.625,===,===,===,===,===,===,===,===,38.32,18.24,11.47,7.49,9.74,21.29,29.82,11.51
1.750,===,===,===,===,===,===,===,===,12.26,7.40,4.97,11.60,7.71,14.61,30.31,14.87
1.875,===,===,===,===,===,===,===,===,16.73,6.52,8.20,9.48,5.98,9.26,21.60,14.70
2.000,===,===,===,===,===,===,===,===,8.99,5.37,8.42,4.75,5.06,7.31,9.83,17.57
2.125,===,===,===,===,===,===,===,===,8.24,11.20,6.78,10.14,5.50,8.02,9.79,13.28
2.250,===,===,===,===,===,===,===,===,7.00,5.32,5.90,15.94,9.61,6.78,12.49,10.23
2.375,===,===,===,===,===,===,===,===,5.06,3.73,4.48,17.79,10.94,4.30,13.19,5.90
2.500,===,===,===,===,===,===,===,===,11.34,12.26,2.53,16.91,12.66,3.33,11.34,4.30
2.625,===,===,===,===,===,===,===,===,9.35,7.00,3.73,11.42,7.93,2.62,5.98,4.52
2.750,===,===,===,===,===,===,===,===,8.90,6.96,5.50,5.45,8.11,3.37,4.30,5.76
2.875,===,===,===,===,===,===,===,===,11.60,10.32,7.44,7.58,6.47,3.95,8.81,8.59
3.000,===,===,===,===,===,===,===,===,5.90,6.12,5.81,9.66,7.00,3.86,11.03,10.01
3.125,===,===,===,===,===,===,===,===,8.06,6.43,2.67,12.26,5.81,4.08,11.56,9.08
3.250,===,===,===,===,===,===,===,===,7.27,5.59,2.09,14.48,7.22,3.82,11.16,7.67
3.375,===,===,===,===,===,===,===,===,7.58,7.40,3.68,15.32,11.78,3.24,9.12,5.59
3.500,===,===,===,===,===,===,===,===,3.99,2.27,6.25,13.50,15.85,4.88,7.93,5.50
3.625,===,===,===,===,===,===,===,===,10.89,14.74,9.26,12.31,15.18,6.78,8.81,5.50
3.750,===,===,===,===,===,===,===,===,5.72,3.37,6.43,8.95,11.78,3.82,7.89,7.58
3.875,===,===,===,===,===,===,===,===,5.32,8.37,5.06,3.77,8.02,2.22,3.64,7.93
4.000,===,===,===,===,===,===,===,===,3.99,4.13,2.09,7.71,9.66,5.59,2.05,9.12
4.125,20.78,24.39,40.63,60.69,23.99,25.25,37.96,60.29,11.69,15.32,8.77,10.45,12.09,11.11,3.64,6.21
4.250,21.03,24.55,39.06,59.90,24.21,25.18,36.63,59.12,7.53,7.36,10.89,7.89,16.38,9.88,3.37,6.91
4.375,21.21,24.55,37.96,59.80,24.49,25.41,35.53,58.14,4.83,3.73,5.28,4.66,15.80,3.60,2.05,7.18
4.500,21.18,24.24,37.41,59.61,24.21,24.94,34.75,57.45,10.32,10.94,2.27,4.57,14.70,1.30,5.28,8.51
4.625,20.89,23.76,36.71,59.22,22.99,23.53,33.33,57.25,5.14,4.83,5.06,4.22,9.52,2.45,8.24,9.12
4.750,20.46,23.69,35.92,59.02,21.28,21.96,31.29,57.25,9.61,14.87,15.49,7.62,8.55,8.33,5.90,8.11
4.875,19.96,23.84,35.06,59.02,19.50,20.94,28.71,56.47,4.26,5.98,18.41,10.19,6.78,13.81,4.13,6.47
5.000,19.68,24.55,34.43,59.41,18.47,20.86,26.35,55.59,11.91,10.19,10.89,10.94,7.93,9.26,3.15,4.30
5.125,19.75,25.10,34.27,60.59,18.32,21.41,25.33,53.92,12.44,14.48,4.97,9.52,7.71,2.05,5.19,3.02
5.250,20.07,25.49,33.88,61.37,18.75,22.12,25.49,52.84,7.22,5.90,4.57,10.50,11.11,3.95,10.76,3.20
5.375,20.68,26.04,33.18,61.27,19.36,23.14,25.96,52.35,17.40,15.54,6.34,12.35,10.81,9.83,13.95,3.99
5.500,20.96,26.59,32.71,61.08,19.89,24.31,26.12,52.16,8.20,2.22,9.70,10.27,10.41,10.98,10.54,5.72
5.625,20.89,27.22,32.00,60.59,20.04,25.10,25.96,52.65,9.43,3.77,7.00,8.37,5.98,5.54,5.94,7.05
5.750,20.50,27.84,31.37,60.29,19.86,25.41,25.57,53.14,7.13,5.23,4.26,7.18,6.34,5.45,2.09,11.69
5.875,20.50,28.39,31.06,60.00,19.86,25.73,24.78,53.04,10.72,7.49,7.97,7.22,6.03,7.18,1.52,11.42
6.000,20.78,29.02,30.98,59.61,20.00,26.12,24.24,52.94,12.44,11.96,10.89,8.46,9.70,7.00,3.02,11.51
6.125,21.14,29.65,31.14,60.00,20.07,26.20,24.63,52.94,5.67,5.63,10.19,10.41,10.98,4.66,10.45,6.87
6.250,21.39,30.12,31.61,60.98,20.00,26.20,25.33,52.94,9.88,10.50,6.03,15.01,14.08,3.51,16.91,7.05
6.375,21.35,30.43,32.16,61.37,20.00,25.88,26.12,53.43,4.13,5.01,4.08,19.08,14.70,3.29,21.02,7.93
6.500,21.43,30.67,32.39,61.08,20.25,26.04,27.29,54.51,10.54,4.61,6.47,14.52,15.80,4.83,17.97,11.20
6.625,21.53,30.59,32.31,60.59,20.75,26.12,28.63,55.88,7.71,7.00,5.81,7.31,13.81,4.39,14.12,13.95
6.750,21.39,30.27,31.76,60.20,21.07,26.35,29.88,57.16,3.07,9.39,4.61,5.63,14.34,5.01,14.92,13.06
6.875,21.25,30.12,31.22,60.10,21.03,26.59,30.35,58.04,7.49,7.89,3.91,7.27,11.34,3.99,12.80,12.13
7.000,21.35,30.82,31.61,59.71,21.18,27.29,31.14,58.53,7.80,8.55,10.72,14.30,10.58,6.43,14.08,7.71
7.125,21.64,31.92,32.71,58.63,21.39,28.08,33.10,58.92,9.30,10.50,13.33,23.06,8.86,10.36,22.13,6.74
7.250,21.57,32.63,34.67,58.04,21.35,28.31,35.61,59.51,8.15,11.56,10.23,27.21,7.31,7.22,24.52,8.06
7.375,21.28,32.78,36.71,58.04,21.00,28.31,37.73,60.39,11.65,11.11,11.20,19.08,5.90,10.01,17.70,9.70
7.500,20.78,32.78,37.80,57.84,20.68,28.55,38.98,61.47,7.00,7.84,12.71,8.59,6.60,15.01,5.19,14.39
7.625,20.71,32.94,38.12,57.94,20.89,29.41,39.37,61.67,16.55,12.09,13.41,9.43,8.51,20.00,6.07,13.02
7.750,20.68,33.02,38.75,58.82,21.14,30.35,40.16,61.67,4.97,7.49,11.69,11.20,15.98,19.47,12.49,12.04
7.875,20.39,32.47,40.16,60.59,21.18,30.82,41.49,61.67,4.79,5.28,11.03,15.76,18.63,15.98,18.55,9.43
8.000,19.79,31.37,41.41,61.47,20.96,30.82,43.37,62.16,8.64,8.55,7.18,16.11,21.11,8.64,15.01,9.35
8.125,19.39,29.80,42.67,61.27,20.53,30.27,44.94,62.65,3.77,6.16,4.57,15.14,19.21,4.92,4.61,10.36
8.250,19.57,28.78,44.24,61.76,20.32,29.57,45.49,63.43,13.55,12.84,6.07,21.29,19.61,7.93,3.68,10.01
8.375,19.86,28.55,45.96,62.45,20.25,28.94,46.04,63.92,6.60,7.09,11.82,26.77,22.13,8.33,10.54,7.84
8.500,20.07,28.63,47.84,63.43,20.04,27.92,46.59,64.02,5.23,6.21,10.63,30.44,20.14,6.25,19.25,5.85
8.625,19.96,29.02,49.65,63.63,19.61,27.06,47.22,63.82,6.12,3.82,6.25,27.35,15.54,3.33,20.40,4.48
8.750,20.07,29.57,51.29,63.73,19.43,26.67,48.00,62.75,9.17,10.36,10.58,16.07,10.67,3.24,13.06,7.13
8.875,20.11,30.12,52.63,64.41,19.36,26.98,49.25,61.57,9.17,3.86,12.22,11.47,10.58,7.53,5.90,8.77
9.000,19.64,30.35,53.25,64.90,19.00,27.22,50.27,60.98,6.47,2.98,10.10,9.26,14.56,7.58,7.84,9.57
9.125,19.18,29.96,53.33,65.39,18.57,27.14,51.06,60.69,5.98,4.08,5.67,8.11,16.91,2.76,12.66,9.08
9.250,18.89,29.57,52.86,64.61,18.18,27.22,50.98,60.00,5.63,7.27,5.85,6.60,16.95,4.66,11.47,8.15
9.375,19.00,29.65,52.31,63.33,18.36,27.53,50.51,59.22,6.60,8.95,8.55,5.76,14.79,7.00,5.37,8.06
9.500,19.54,30.04,51.69,62.45,18.72,28.00,49.49,58.73,14.03,11.82,8.20,8.81,13.41,8.06,5.81,7.80
9.625,19.89,30.12,50.90,62.35,18.86,27.92,48.08,58.04,5.54,4.30,5.85,6.34,16.73,8.06,6.47,10.89
9.750,19.79,30.20,50.35,62.55,18.54,28.00,46.75,57.45,8.64,9.96,6.78,5.63,16.86,7.13,6.21,11.56
9.875,19.71,30.20,50.67,63.33,18.47,28.16,46.12,57.06,3.29,4.88,6.65,12.18,16.51,3.24,11.65,13.59
10.000,20.04,29.88,51.22,64.31,18.93,28.16,45.96,56.67,16.55,19.43,2.89,11.16,11.69,6.47,11.42,9.74
10.125,20.43,29.02,51.29,64.80,19.43,27.92,45.65,55.88,16.55,18.63,3.86,15.27,9.35,10.10,11.56,8.68
10.250,20.64,27.76,50.90,65.59,19.75,27.53,44.39,54.41,5.63,8.95,3.91,15.23,7.00,10.05,12.22,4.39
10.375,20.46,26.82,50.04,66.37,19.71,27.22,42.90,52.75,9.83,8.95,4.04,6.47,6.60,6.43,8.20,3.15
10.500,20.21,26.75,49.25,66.86,19.82,27.06,41.80,51.08,4.57,8.28,6.34,4.13,5.23,6.56,4.75,2.89
10.625,20.21,27.53,49.49,67.35,19.64,27.06,42.20,50.20,5.98,11.56,13.99,7.71,5.10,11.38,8.06,4.97
10.750,20.36,28.47,51.22,67.84,19.32,26.98,43.61,50.29,2.76,6.25,12.84,16.38,9.35,10.19,16.07,9.17
10.875,20.61,29.10,52.31,67.94,19.07,26.59,44.39,50.39,7.27,9.08,6.91,13.68,13.28,5.76,17.70,11.56
11.000,20.93,28.94,52.24,67.45,18.86,25.57,43.92,50.00,8.33,6.96,5.54,5.63,15.36,4.75,11.73,11.20
11.125,21.46,29.41,51.14,66.96,19.00,24.63,42.82,49.41,5.59,9.88,6.82,3.77,14.21,5.98,9.43,11.38
11.250,21.89,30.82,50.27,67.25,19.14,24.71,42.27,50.49,6.25,2.98,18.46,5.63,13.19,13.15,11.42,11.51
11.375,21.96,32.78,49.49,67.94,18.82,25.33,42.43,51.86,8.42,13.33,23.85,9.12,13.81,17.70,8.37,15.36
11.500,21.82,34.20,48.71,68.04,18.43,26.43,42.51,53.24,7.31,9.04,19.96,9.43,13.02,16.33,8.55,18.77
11.625,21.85,34.82,48.08,67.94,18.18,27.37,42.51,54.12,5.14,7.13,13.46,15.41,12.53,11.38,13.50,17.53
11.750,21.85,34.82,46.98,67.94,18.07,27.53,41.88,54.80,4.61,7.89,10.01,14.30,12.66,7.75,12.13,14.48
11.875,22.28,34.82,45.65,67.94,18.15,27.45,40.94,56.08,7.93,11.25,3.68,7.22,12.00,5.06,6.25,10.81
12.000,22.75,34.75,44.31,67.06,18.36,27.37,39.84,57.45,5.63,5.19,7.58,6.52,10.89,5.23,5.23,10.63
12.125,23.32,35.14,43.61,65.98,18.82,27.37,38.90,58.24,8.90,8.37,8.37,4.61,7.89,4.97,2.71,10.36
12.250,23.85,36.08,43.45,65.78,19.39,28.16,38.43,58.92,6.07,3.73,4.30,2.93,6.07,6.60,3.46,6.82
12.375,24.42,37.10,43.45,66.37,19.89,29.25,38.43,60.39,11.47,17.79,10.36,3.73,8.28,12.13,7.62,6.65
12.500,24.49,37.57,43.76,66.96,20.00,30.27,39.14,62.06,8.90,11.42,6.03,5.28,12.88,10.32,10.94,9.26
12.625,24.28,37.96,44.78,67.45,19.86,31.22,41.10,63.82,9.92,12.40,3.68,10.01,17.17,10.23,11.20,16.29
12.750,24.21,38.67,46.67,68.24,19.75,32.55,43.69,64.80,8.42,12.75,8.99,23.32,25.98,14.34,26.37,27.30
12.875,24.49,39.45,48.78,69.31,20.11,33.65,46.12,66.18,12.22,16.11,11.25,23.23,26.15,13.77,28.63,29.38
13.000,24.71,40.08,49.80,70.20,20.00,34.20,47.61,67.75,4.97,5.59,9.83,15.18,29.65,7.93,18.46,30.62
13.125,24.46,40.16,49.49,70.49,19.57,33.96,47.84,68.63,3.68,4.57,4.13,8.99,20.23,2.67,9.48,17.17
13.250,23.96,40.39,48.16,70.78,19.11,33.80,47.45,69.61,12.18,10.58,4.88,7.53,17.53,5.50,5.72,15.14
13.375,23.78,40.63,46.90,70.29,18.97,33.49,47.22,71.37,11.60,13.46,5.10,8.42,11.82,6.56,6.82,11.07
13.500,24.10,40.55,45.80,69.71,19.11,33.18,47.53,73.14,8.68,10.05,4.70,9.83,10.63,2.14,10.54,17.09
13.625,24.81,39.76,44.94,69.12,19.54,32.39,47.84,74.31,20.31,22.92,7.62,6.56,10.54,2.22,12.75,16.91
13.750,25.38,38.35,43.29,68.73,19.93,31.29,47.53,74.71,1.78,8.81,5.45,3.51,14.30,1.65,11.56,15.71
13.875,25.35,36.63,41.41,68.43,20.07,29.96,46.43,74.31,5.81,9.43,1.83,7.00,15.18,3.11,10.45,12.00
14.000,24.96,35.61,40.55,67.94,20.07,29.10,45.25,73.14,8.06,8.20,3.73,10.41,17.53,2.49,9.52,8.77
14.125,24.63,35.53,41.25,67.65,19.96,28.71,45.02,72.55,10.98,4.17,7.36,20.76,13.99,2.18,13.77,6.91
14.250,24.21,35.22,42.75,67.94,20.00,28.47,45.73,72.16,5.54,7.89,7.58,26.82,14.87,3.91,19.39,7.36
14.375,23.71,34.12,44.24,67.94,19.89,27.61,46.04,70.88,10.23,9.21,7.13,20.36,12.93,7.31,17.35,6.38
14.500,23.32,32.39,44.47,66.47,19.75,26.90,45.96,69.12,3.24,8.73,9.30,12.09,10.98,11.38,10.81,8.59
14.625,22.67,31.29,43.45,64.41,19.57,26.35,45.10,67.94,8.51,6.78,12.84,5.63,7.89,14.08,4.44,8.24
14.750,21.85,30.59,41.88,62.45,19.36,26.04,43.61,67.16,8.95,3.60,11.25,5.37,5.19,11.65,3.82,10.54
14.875,21.11,30.20,40.94,60.88,19.18,26.20,42.12,66.27,7.13,6.34,5.01,7.27,5.37,6.34,2.58,9.17
15.000,20.43,29.41,40.31,59.90,19.04,26.20,41.49,65.00,5.54,3.29,3.02,10.63,4.97,2.22,6.34,8.46
15.125,19.93,28.63,40.16,59.71,18.93,26.27,41.80,64.12,4.70,6.56,7.18,9.04,6.43,4.88,7.89,7.18
15.250,19.79,28.55,40.47,59.80,18.65,26.43,42.35,63.04,7.49,9.21,10.67,6.87,5.76,7.40,7.84,5.23
15.375,19.68,29.10,41.57,59.31,18.40,27.06,43.06,62.25,5.32,4.61,17.62,15.71,7.40,14.12,12.44,5.37
15.500,19.36,29.88,42.82,58.24,18.11,27.37,43.37,61.67,5.14,7.89,16.07,20.62,6.34,12.35,13.55,5.59
15.625,19.07,30.35,43.61,56.96,17.72,27.37,43.06,60.88,3.15,2.89,4.35,17.88,5.85,2.89,11.60,6.91
15.750,18.89,30.51,42.98,55.49,17.36,26.90,41.73,59.51,3.86,5.28,5.98,16.07,3.82,5.76,13.55,6.60
15.875,18.97,29.96,41.18,53.04,17.04,25.65,39.84,58.33,6.16,6.96,9.17,13.46,3.33,7.97,15.01,5.06
16.000,19.18,29.80,39.61,50.49,16.93,24.55,38.04,56.86,7.22,8.77,10.81,10.81,2.49,7.62,15.49,5.67
16.125,19.32,29.73,38.35,48.24,16.86,23.76,36.78,55.49,7.09,10.54,7.75,6.65,2.89,5.10,13.86,6.34
16.250,19.39,29.41,37.57,46.86,16.79,23.29,36.08,55.00,8.46,8.90,2.58,3.86,3.60,1.61,7.62,8.33
16.375,19.14,29.25,37.73,45.88,16.47,22.51,35.61,54.41,11.34,10.54,6.25,5.37,4.88,2.80,6.78,7.09
16.500,18.82,29.02,38.35,45.98,15.83,21.80,35.76,54.02,6.12,6.78,2.49,9.88,5.32,2.76,11.34,5.85
16.625,18.25,29.10,39.45,46.96,15.33,21.33,35.69,54.31,6.91,4.39,6.03,14.56,9.17,2.80,13.64,8.81
16.750,17.58,29.25,40.86,48.33,14.65,20.94,35.45,54.71,2.80,7.05,7.09,16.20,17.75,3.82,12.84,13.77
16.875,17.18,29.73,42.59,49.61,14.12,21.18,35.76,54.61,6.03,8.15,6.07,12.88,22.17,4.75,15.14,17.44
17.000,17.33,30.59,43.76,50.10,13.94,21.88,37.02,54.80,1.65,3.42,5.90,11.29,25.05,8.15,18.68,16.91
17.125,17.72,31.45,44.00,50.10,14.01,23.22,38.59,56.57,7.71,11.65,6.69,13.68,18.94,9.21,15.27,16.33
17.250,18.22,31.69,43.37,48.92,14.01,24.24,38.98,58.24,4.22,5.37,6.07,15.27,13.72,6.43,9.43,17.70
17.375,18.65,31.45,42.04,46.96,14.01,24.78,38.27,58.92,9.17,12.22,1.92,14.61,7.13,3.07,10.50,16.95
17.500,18.65,30.67,40.16,45.69,14.05,24.31,37.02,58.92,6.69,7.22,4.44,10.50,4.97,4.44,7.67,14.43
17.625,18.86,29.96,38.98,45.59,14.40,23.53,35.92,58.82,4.08,6.47,3.64,7.13,6.78,2.89,6.56,10.50
17.750,19.36,29.33,38.67,46.67,15.04,22.75,35.61,59.02,15.32,19.39,6.47,5.90,10.98,6.43,6.65,8.90
17.875,19.96,29.10,38.90,48.82,15.69,22.51,36.08,60.00,4.88,4.75,11.42,3.29,16.86,11.34,4.57,11.91
18.000,20.64,29.25,39.29,51.08,16.26,22.75,37.02,61.76,8.81,13.46,10.98,7.40,17.97,11.20,6.34,13.64
18.125,21.46,29.80,40.16,52.55,16.65,23.29,37.96,63.33,8.59,15.67,9.79,14.03,19.34,7.93,10.54,14.26
18.250,22.25,30.12,40.94,53.24,17.04,23.45,38.20,63.82,4.57,8.95,10.54,18.32,11.87,6.52,11.60,10.27
18.375,22.96,29.73,41.25,53.82,17.33,22.75,37.88,63.73,16.25,16.07,10.72,16.47,11.82,7.36,8.86,6.56
18.500,23.49,28.55,40.94,54.61,17.61,21.57,37.10,63.43,7.58,7.71,8.24,13.46,8.81,7.18,6.82,4.17
18.625,23.57,26.90,39.92,55.78,17.79,20.39,35.92,62.94,10.05,11.73,6.78,10.72,11.07,9.70,3.91,3.33
18.750,23.49,25.41,38.43,57.06,17.65,19.61,34.67,62.65,7.80,6.69,8.77,6.43,11.47,11.29,3.02,6.12
18.875,23.32,24.94,37.10,58.04,17.75,19.53,33.88,63.04,9.39,9.12,10.01,5.76,10.63,10.32,6.69,9.30
19.000,22.99,25.10,36.47,58.53,17.65,19.45,33.65,64.02,3.29,7.84,7.71,6.87,8.77,8.64,10.19,10.63
19.125,22.50,24.71,35.92,58.92,17.29,19.29,33.02,64.51,3.91,7.58,7.18,7.05,5.50,6.34,7.75,8.59
19.250,21.85,24.31,35.37,59.41,16.83,19.45,32.31,64.12,2.58,5.10,7.36,5.81,5.67,4.66,3.37,5.81
19.375,21.50,24.08,35.37,60.20,16.65,19.84,31.69,63.92,2.98,4.30,7.80,7.05,8.15,8.15,1.78,6.25
19.500,21.43,24.08,35.61,61.18,16.65,20.55,31.45,64.51,10.89,13.11,9.26,9.39,9.12,9.57,3.11,9.88
19.625,21.53,24.24,35.37,61.86,16.79,21.10,30.98,64.41,8.46,6.87,8.51,9.74,9.57,6.21,2.93,11.87
19.750,21.57,24.16,34.75,61.96,16.86,21.41,30.12,63.73,4.48,8.95,5.06,8.06,8.68,2.00,3.64,12.80
19.875,21.39,23.76,33.33,60.78,16.79,21.41,29.33,63.04,8.33,6.60,2.67,6.74,9.35,1.96,4.22,11.87
20.000,21.00,23.84,31.92,58.73,16.79,21.73,27.92,62.65,10.76,4.26,9.48,9.48,12.66,6.87,3.46,13.77
20.125,20.43,24.16,31.45,57.55,16.97,22.12,26.27,62.65,8.95,5.67,14.92,13.90,14.12,12.18,5.90,15.27
20.250,19.79,24.55,31.29,57.45,17.01,22.35,24.71,62.55,10.72,4.92,13.99,13.68,14.56,12.22,7.18,13.02
20.375,18.97,24.55,30.75,58.33,17.01,22.12,23.53,61.76,7.40,4.66,8.64,8.06,14.39,7.00,3.51,9.70
20.500,18.32,24.39,29.96,59.71,17.01,21.88,22.98,61.47,8.37,4.17,4.17,5.23,11.16,3.51,4.75,7.67
20.625,17.97,24.63,30.59,60.69,17.25,21.73,23.29,61.86,7.22,4.48,4.26,11.73,10.58,4.48,12.62,10.45
20.750,17.86,25.41,31.92,60.98,17.40,22.04,24.31,62.06,11.78,8.15,9.30,17.88,8.81,6.43,14.87,12.53
20.875,17.50,26.12,33.49,60.98,17.36,22.20,25.57,62.16,6.87,7.44,10.58,12.88,9.79,6.03,7.84,12.26
21.000,17.22,26.59,34.82,60.00,17.11,22.12,26.82,61.57,8.02,3.24,6.82,4.79,8.51,4.57,8.33,8.95
21.125,16.90,26.82,35.22,59.02,16.90,22.04,27.84,61.27,3.77,5.76,2.53,7.09,7.09,2.18,10.41,8.33
21.250,16.54,27.14,34.82,58.63,16.79,22.12,28.24,61.37,4.13,5.45,8.11,5.14,8.68,7.62,6.03,10.45
21.375,16.26,27.37,34.20,58.33,16.68,22.67,28.24,61.57,11.78,13.15,11.42,4.08,12.31,10.67,4.83,12.49
21.500,15.69,27.37,34.04,58.92,16.54,22.90,28.08,61.96,5.67,4.48,8.37,11.56,13.11,6.69,6.16,11.03
21.625,15.22,27.22,34.59,59.90,16.29,22.98,28.63,62.65,15.23,16.86,3.15,16.47,10.85,4.48,6.96,6.82
21.750,15.04,27.06,35.69,60.29,16.26,22.82,29.65,63.43,8.06,6.12,4.13,14.92,6.52,5.54,5.76,4.30
21.875,15.26,27.37,37.10,60.39,16.40,23.06,31.22,63.73,12.09,13.64,7.75,14.92,5.72,8.86,12.49,4.35
22.000,15.40,27.69,38.82,60.69,16.51,23.45,32.63,63.14,9.12,7.27,8.28,20.45,7.58,7.05,20.71,5.28
22.125,15.40,27.84,40.39,60.98,16.68,24.00,33.73,61.96,8.15,5.94,2.53,17.22,10.50,3.37,19.65,6.07
22.250,15.19,27.84,41.49,61.96,16.72,24.47,34.75,61.57,4.92,3.46,5.32,8.77,12.57,7.36,9.96,7.13
22.375,15.15,28.24,42.35,62.94,16.97,24.86,36.63,63.04,5.63,4.48,9.26,9.21,20.54,8.24,10.41,15.71
22.500,15.19,29.18,44.16,63.92,17.18,25.73,39.29,64.51,8.28,8.73,13.15,16.33,27.17,15.94,24.91,23.32
22.625,15.01,29.96,45.73,65.20,17.61,26.98,42.12,65.69,9.08,7.40,12.97,17.00,35.62,23.99,40.22,36.37
22.750,14.72,30.35,46.51,66.37,18.00,28.86,45.18,67.35,9.70,4.88,10.32,10.45,39.64,23.68,34.33,39.91
22.875,14.44,30.43,46.98,67.45,18.43,31.06,47.76,68.63,9.57,7.75,10.14,5.37,30.93,17.53,13.81,37.17
23.000,14.19,30.90,47.76,68.43,18.65,32.78,49.18,68.92,7.36,5.23,11.51,8.99,20.05,12.00,6.52,28.41
23.125,14.33,30.90,48.63,70.10,18.75,33.18,49.80,69.51,9.83,8.77,8.33,14.87,10.72,7.75,10.85,21.33
23.250,14.62,30.20,48.71,70.98,18.57,32.63,50.27,70.20,5.59,10.54,7.36,13.33,11.38,8.81,7.67,18.50
23.375,14.76,29.73,48.39,71.08,18.32,31.76,50.27,70.59,5.98,6.74,8.42,8.99,16.42,7.44,7.44,14.61
23.500,14.94,29.80,48.63,70.88,17.97,31.22,50.59,70.59,3.99,4.08,12.35,7.13,14.34,6.82,9.79,10.36
23.625,15.04,31.14,49.65,71.18,17.79,31.69,51.45,70.88,3.51,4.52,21.82,12.00,14.96,12.40,14.79,10.45
23.750,15.12,32.78,50.20,72.55,17.65,33.25,52.47,71.86,8.99,7.00,25.00,16.73,15.01,16.91,17.09,14.79
23.875,14.83,34.20,50.12,74.02,17.33,34.67,52.86,73.04,2.89,4.13,18.32,14.96,17.93,15.23,14.03,20.98
24.000,14.55,34.75,49.33,74.51,16.97,35.37,52.63,73.82,10.01,9.26,6.74,8.86,16.16,9.66,8.15,22.00
24.125,14.51,34.67,48.39,74.31,16.79,35.45,51.45,73.82,9.48,8.24,3.20,3.86,12.49,6.07,3.20,19.83
24.250,14.94,34.27,47.92,73.73,16.79,35.14,50.59,73.33,6.60,10.85,1.74,2.62,6.03,2.18,3.02,12.80
24.375,15.26,33.73,48.47,72.84,16.83,34.43,50.43,72.25,5.54,8.64,5.32,10.76,3.24,3.68,10.76,8.06
24.500,15.54,33.18,49.25,71.76,16.79,33.49,51.06,71.96,7.31,9.48,5.14,16.69,1.78,3.33,15.14,5.90
24.625,15.69,33.02,49.73,70.78,16.58,32.94,51.76,71.96,3.11,5.19,4.22,17.40,4.30,2.98,12.71,5.50
24.750,15.86,33.49,49.33,70.29,16.51,33.18,52.16,71.76,11.29,12.75,8.28,13.72,7.89,5.63,11.20,4.44
24.875,16.19,34.67,49.18,70.59,16.72,33.73,52.16,71.27,11.56,10.98,13.28,10.32,13.15,9.26,11.91,4.35
25.000,16.36,35.45,49.25,71.67,16.72,33.80,51.53,70.78,10.67,12.62,10.50,16.64,18.59,6.65,12.66,5.63
25.125,16.33,35.37,49.25,72.55,16.65,33.25,50.59,69.90,8.46,10.58,3.20,18.24,20.80,2.40,13.33,8.42
