TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.78,10.14,4.04,===,===,1.07,===,===
0.250,2.36,2.80,3.77,3.73,===,2.09,2.45,===
0.375,2.62,5.90,7.40,5.54,8.11,6.21,4.57,3.82
0.500,4.04,4.13,9.92,3.73,8.90,10.19,4.70,6.12
0.625,5.85,2.14,8.95,1.96,8.59,10.89,3.64,6.65
0.750,3.07,2.45,4.30,4.48,10.19,5.81,4.48,6.47
0.875,6.16,6.29,4.70,8.86,8.15,4.04,10.01,4.22
1.000,6.12,4.79,11.87,11.03,10.76,10.76,15.05,4.30
1.125,5.06,2.36,12.93,10.85,10.58,10.76,13.90,5.50
1.250,4.92,3.60,10.85,11.47,13.02,9.43,11.16,8.28
1.375,9.61,5.98,13.99,8.28,12.66,14.30,6.25,10.72
1.500,2.31,3.91,18.77,2.67,9.12,18.77,7.36,8.95
1.625,3.55,3.42,25.93,2.18,6.29,23.99,7.49,8.28
1.750,3.55,5.94,28.89,5.90,4.97,23.41,3.82,6.25
1.875,4.13,7.18,21.29,5.76,6.87,16.16,6.12,8.90
2.000,4.83,7.18,9.57,6.47,7.27,10.67,3.24,7.75
2.125,5.59,4.61,8.24,9.66,7.13,10.23,6.21,8.42
2.250,3.64,2.98,10.72,8.59,6.12,13.15,7.97,5.72
2.375,9.48,8.99,8.81,7.62,6.60,14.70,6.47,4.92
2.500,7.22,5.72,6.91,8.68,4.97,12.13,6.12,3.33
2.625,9.57,7.49,7.18,5.67,6.03,8.73,3.68,3.68
2.750,5.28,4.66,12.62,4.75,5.90,12.04,4.26,4.13
2.875,3.07,4.52,19.21,6.52,6.65,18.99,6.74,4.75
3.000,3.77,8.11,19.47,4.26,6.25,20.80,5.85,5.54
3.125,2.09,4.70,12.22,5.67,6.29,13.28,3.77,6.25
3.250,5.54,3.99,4.79,9.79,7.44,4.70,6.07,7.84
3.375,2.98,1.52,8.77,10.27,7.05,7.75,9.21,7.62
3.500,8.81,7.75,14.70,7.53,7.89,12.66,8.42,8.20
3.625,7.18,7.97,18.32,5.19,7.09,15.54,7.75,8.68
3.750,5.67,5.63,20.98,3.55,7.80,21.02,9.21,9.92
3.875,9.21,9.35,18.81,3.86,8.11,22.00,8.33,12.49
4.000,4.30,4.52,16.78,3.64,9.96,19.70,4.52,12.93
4.125,10.63,13.59,17.48,7.89,10.58,16.51,6.56,11.42
4.250,8.55,4.30,20.85,12.13,10.94,16.47,9.57,8.51
4.375,7.05,4.97,23.50,11.78,10.36,17.13,8.77,4.61
4.500,6.38,5.14,21.20,7.27,12.62,17.79,9.39,6.43
4.625,5.10,5.14,17.13,3.64,12.66,18.77,9.92,8.42
4.750,3.99,5.94,18.81,7.40,12.75,20.49,8.42,12.00
4.875,5.85,4.57,21.02,6.91,9.88,21.46,5.94,12.97
5.000,7.13,5.63,22.57,6.56,10.54,21.11,8.02,11.51
5.125,4.22,3.51,20.80,8.73,9.96,18.68,11.11,9.17
5.250,3.55,2.22,18.28,9.21,9.08,15.36,11.25,5.81
5.375,3.60,5.28,25.44,10.81,6.21,22.57,10.58,5.63
5.500,3.77,3.77,33.01,16.25,6.74,29.56,13.19,7.13
5.625,7.44,7.05,33.10,23.15,7.49,29.16,19.83,10.32
5.750,1.78,3.42,35.31,22.39,9.43,31.50,17.57,12.09
5.875,5.63,6.29,34.20,11.91,11.07,33.18,6.91,14.79
6.000,12.26,12.22,24.38,12.84,13.19,27.17,9.04,17.40
6.125,1.96,2.14,15.41,12.04,13.81,17.53,9.04,17.70
6.250,11.73,14.61,15.71,12.44,12.44,14.87,8.86,16.33
6.375,6.29,8.06,17.00,7.13,9.74,17.00,6.16,10.98
6.500,5.37,6.87,18.72,9.26,9.48,19.43,4.44,7.58
6.625,3.42,3.64,15.41,12.71,9.88,16.11,8.86,4.97
6.750,4.04,2.62,13.55,10.67,10.19,8.46,9.70,3.02
6.875,4.75,10.23,12.57,7.62,10.89,6.78,9.17,3.15
7.000,7.36,6.03,8.24,6.21,9.12,6.82,10.81,3.07
7.125,2.98,4.83,14.56,7.09,8.28,12.88,12.71,5.37
7.250,8.51,9.79,22.44,10.10,6.12,20.09,12.04,7.18
7.375,4.04,3.51,24.07,12.31,6.96,25.71,8.95,9.43
7.500,4.35,2.80,23.28,11.38,6.65,27.04,8.77,10.23
7.625,7.67,5.76,26.95,5.32,7.36,28.23,9.70,7.62
7.750,10.45,9.43,24.43,4.08,6.34,23.01,8.02,6.16
7.875,4.04,3.77,14.26,3.68,9.79,13.95,7.75,3.86
8.000,12.22,15.36,7.00,4.79,11.34,11.42,10.41,3.95
8.125,8.77,8.55,9.43,12.57,13.06,10.89,15.32,3.82
8.250,7.93,6.91,14.21,14.87,13.02,14.17,15.85,3.91
8.375,5.67,7.36,19.52,12.22,10.23,21.60,13.15,4.66
8.500,6.74,6.47,25.40,11.42,7.97,28.45,11.20,6.16
8.625,2.89,4.30,25.31,12.75,3.77,28.54,10.27,6.78
8.750,11.82,11.60,19.08,12.97,3.42,22.88,7.49,9.08
8.875,5.28,5.98,14.79,7.84,3.33,20.27,3.64,10.32
9.000,2.89,3.86,17.31,4.30,3.29,20.54,2.76,10.05
9.125,3.73,2.84,12.93,4.39,2.53,13.33,2.36,8.64
