"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,3.07,5.54,10.58,===,===,2.14,===,===
0.250,8.15,6.16,5.59,23.23,===,5.32,3.60,===
0.375,7.40,8.86,7.53,18.90,34.73,16.69,15.85,6.82
0.500,20.31,12.18,5.28,55.17,24.29,26.95,44.60,13.81
0.625,18.41,24.83,10.05,68.92,25.14,27.35,54.86,27.61
0.750,8.33,6.69,16.47,50.35,25.27,19.83,42.12,36.72
0.875,11.29,14.03,13.99,25.44,24.34,10.81,25.49,37.74
1.000,4.48,4.48,8.37,5.81,20.31,7.05,7.13,30.66
1.125,3.86,3.60,4.13,6.87,12.44,3.82,4.22,18.37
1.250,3.15,6.07,2.49,6.29,11.11,1.38,4.61,11.47
1.375,9.17,6.96,2.14,5.14,8.42,4.39,6.74,5.06
1.500,5.50,7.84,2.76,9.04,11.20,5.45,10.63,3.02
1.625,3.64,2.98,2.62,9.70,9.74,3.07,9.74,3.82
1.750,11.07,12.09,9.96,7.62,9.88,7.75,3.60,5.90
1.875,5.01,3.02,13.02,5.98,8.81,11.60,4.97,8.46
2.000,6.07,2.40,8.02,5.06,10.63,7.53,4.35,13.99
2.125,2.76,4.57,4.97,4.13,11.96,7.09,3.77,16.86
2.250,2.62,2.58,2.71,5.06,11.34,6.29,7.00,17.66
2.375,3.95,5.59,6.43,4.88,9.61,6.74,7.89,13.41
2.500,4.13,4.57,11.60,3.95,6.82,12.18,8.77,10.58
2.625,2.22,2.67,13.90,4.44,6.69,13.11,11.42,12.35
2.750,4.04,4.79,10.19,6.25,5.54,8.15,11.69,16.33
2.875,2.27,2.36,3.82,9.04,5.41,2.98,8.73,16.82
3.000,2.98,3.37,3.33,7.27,4.35,2.36,6.07,15.14
3.125,4.13,4.52,3.15,5.54,4.04,2.84,4.35,10.10
3.250,5.72,6.96,2.31,8.33,3.33,6.65,3.46,8.46
3.375,5.54,7.67,2.45,9.83,6.56,7.71,5.28,9.12
3.500,10.23,10.45,2.45,11.60,9.08,7.36,9.48,11.60
3.625,8.81,14.34,9.12,16.51,18.59,7.62,15.67,20.00
3.750,8.33,8.77,15.27,31.24,17.22,5.81,28.59,18.63
3.875,20.62,31.86,12.84,50.39,21.24,10.23,38.18,25.53
4.000,23.81,27.48,8.90,52.29,18.72,15.41,39.77,24.60
4.125,7.84,9.83,10.36,41.90,33.54,10.85,36.72,43.09
4.250,5.76,8.11,7.80,20.62,32.21,9.74,22.48,38.98
4.375,5.14,4.97,7.27,6.82,35.84,8.46,8.28,37.39
4.500,2.80,5.81,5.19,11.25,21.73,5.90,7.62,17.13
4.625,3.77,3.07,6.65,13.55,23.23,9.30,8.46,12.04
4.750,4.44,4.92,5.45,7.49,16.16,4.35,4.57,6.07
4.875,5.37,5.28,4.30,8.64,13.86,4.48,3.37,5.98
5.000,5.14,4.13,6.43,11.42,6.74,6.25,4.13,3.68
5.125,8.64,8.64,6.91,10.76,4.08,5.10,4.57,4.08
5.250,7.84,7.09,5.41,13.72,3.11,3.24,8.99,3.95
5.375,4.35,4.17,3.46,18.59,4.13,5.63,15.45,5.06
5.500,6.03,11.60,4.04,15.94,6.03,4.22,14.74,6.91
5.625,3.91,4.35,9.21,8.73,7.75,5.14,11.03,7.71
5.750,7.00,3.55,11.11,3.68,6.91,9.57,7.40,8.99
5.875,3.02,3.20,9.17,4.57,4.52,10.10,2.31,6.78
6.000,10.67,3.20,4.22,8.33,3.55,6.60,2.80,7.97
6.125,3.95,7.75,3.95,10.94,4.83,4.39,8.11,8.46
6.250,7.93,5.23,12.44,20.71,8.20,15.14,20.18,8.59
6.375,16.02,19.43,14.08,35.93,11.11,20.18,30.44,9.96
6.500,16.25,13.02,18.15,46.41,23.23,22.75,38.80,21.29
6.625,13.68,9.12,16.78,37.12,36.33,22.79,35.57,33.41
6.750,10.41,10.41,7.71,14.34,45.75,11.60,16.86,44.07
