TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,2.27,7.53,2.27,===,===,1.12,===,===
0.250,===,===,===,===,===,===,===,===,2.45,3.77,2.49,7.09,===,2.58,2.05,===
0.375,===,===,===,===,===,===,===,===,9.61,6.34,4.66,3.33,4.92,6.43,3.51,4.30
0.500,===,===,===,===,===,===,===,===,5.54,3.37,4.97,3.15,3.73,8.28,4.08,5.50
0.625,===,===,===,===,===,===,===,===,7.13,7.89,3.33,3.82,2.76,7.05,4.48,6.60
0.750,===,===,===,===,===,===,===,===,7.80,4.66,5.98,4.04,4.26,8.02,4.75,7.36
0.875,===,===,===,===,===,===,===,===,11.25,3.91,9.48,4.66,4.70,8.46,3.99,6.91
1.000,===,===,===,===,===,===,===,===,6.56,5.94,9.57,4.79,6.07,5.10,3.37,6.69
1.125,===,===,===,===,===,===,===,===,3.99,3.24,5.67,3.24,8.02,3.99,3.20,5.76
1.250,===,===,===,===,===,===,===,===,2.18,5.72,3.91,1.65,9.61,4.83,3.46,5.59
1.375,===,===,===,===,===,===,===,===,6.56,5.32,2.89,2.27,10.10,1.87,3.11,5.54
1.500,===,===,===,===,===,===,===,===,5.14,5.10,4.04,3.42,8.95,5.76,1.69,4.75
1.625,===,===,===,===,===,===,===,===,6.96,4.04,7.31,4.70,6.29,9.52,3.07,3.99
1.750,===,===,===,===,===,===,===,===,11.73,2.76,8.81,5.14,4.13,10.63,4.44,3.99
1.875,===,===,===,===,===,===,===,===,5.76,4.61,8.90,6.25,2.80,7.84,5.85,3.51
2.000,===,===,===,===,===,===,===,===,11.38,6.87,9.39,7.62,2.67,7.80,5.54,3.77
2.125,===,===,===,===,===,===,===,===,8.64,12.75,11.60,6.87,3.51,10.85,5.10,2.93
2.250,===,===,===,===,===,===,===,===,4.17,4.52,15.01,7.09,3.15,12.66,6.29,3.37
2.375,===,===,===,===,===,===,===,===,9.57,11.34,15.14,9.30,5.41,11.38,6.60,4.39
2.500,===,===,===,===,===,===,===,===,13.95,4.08,10.58,8.99,6.21,6.82,5.01,5.59
2.625,===,===,===,===,===,===,===,===,9.17,7.09,7.49,5.72,8.28,5.06,2.80,7.00
2.750,===,===,===,===,===,===,===,===,8.59,2.40,6.43,3.86,7.44,4.70,1.43,5.81
2.875,===,===,===,===,===,===,===,===,7.58,4.08,5.01,3.07,5.98,4.26,2.09,5.90
3.000,===,===,===,===,===,===,===,===,5.85,4.08,3.82,4.39,3.64,6.16,5.54,5.14
3.125,===,===,===,===,===,===,===,===,10.14,2.84,3.60,8.24,2.53,4.66,8.42,7.84
3.250,===,===,===,===,===,===,===,===,2.58,4.35,5.72,7.84,2.31,3.24,6.25,7.40
3.375,===,===,===,===,===,===,===,===,20.36,9.70,11.73,4.22,2.71,10.23,5.14,7.27
3.500,===,===,===,===,===,===,===,===,5.54,3.91,13.81,8.68,2.22,9.08,9.83,4.66
3.625,===,===,===,===,===,===,===,===,6.78,2.14,10.89,6.43,2.80,4.44,7.22,5.01
3.750,===,===,===,===,===,===,===,===,10.98,4.52,7.05,4.08,3.77,6.56,4.13,6.03
3.875,===,===,===,===,===,===,===,===,2.09,4.92,5.94,7.44,6.07,5.76,2.89,8.33
4.000,===,===,===,===,===,===,===,===,6.91,6.07,8.86,8.11,9.08,6.96,7.80,10.94
4.125,11.23,25.49,20.86,27.06,21.73,21.73,18.20,27.75,13.72,3.20,5.90,10.54,8.33,3.46,12.53,10.23
4.250,11.02,25.10,21.57,27.55,21.57,21.57,19.14,28.24,8.42,3.77,1.87,11.25,6.87,3.60,12.31,8.11
4.375,10.77,24.71,22.20,28.24,21.57,21.57,19.92,28.82,15.45,5.45,2.27,9.35,5.90,3.99,11.34,3.86
4.500,11.05,24.63,22.75,29.12,21.80,21.80,20.78,29.12,4.30,4.48,3.55,7.31,6.07,5.14,9.35,2.76
4.625,11.80,24.63,23.45,30.00,22.04,22.04,21.65,29.41,14.43,19.25,4.04,6.29,9.21,7.40,6.43,4.22
4.750,12.66,24.63,24.31,31.47,22.12,22.12,22.82,30.00,8.06,7.22,3.55,4.57,9.48,4.30,4.66,6.74
4.875,13.62,25.02,25.80,33.04,21.96,21.96,24.31,31.27,9.39,8.28,9.96,9.30,12.57,3.11,8.28,9.83
5.000,14.65,25.80,27.61,35.78,21.65,21.65,25.96,33.63,19.78,8.42,14.83,17.04,16.11,5.14,14.39,15.94
5.125,15.76,26.90,29.65,38.92,21.57,21.57,27.84,36.47,15.76,4.92,9.57,27.04,25.89,3.55,22.61,24.52
5.250,16.86,27.76,32.47,42.55,21.65,21.65,30.43,39.41,22.84,14.30,2.93,28.85,30.97,6.65,21.64,30.00
5.375,18.15,28.08,35.22,45.98,21.88,21.88,33.02,42.25,15.54,7.22,6.16,16.51,32.30,11.56,10.10,31.77
5.500,19.68,29.18,37.73,49.02,22.43,22.43,35.84,44.22,8.46,21.38,13.28,7.13,26.42,7.36,18.32,29.20
5.625,21.25,30.90,40.00,51.76,23.61,23.61,39.22,46.37,18.10,5.94,21.64,14.83,25.58,6.47,25.84,29.29
5.750,22.57,32.94,41.80,54.22,25.65,25.65,42.12,49.12,2.80,11.91,24.21,13.59,25.62,19.65,18.37,24.74
5.875,23.74,35.45,44.47,56.86,28.08,28.08,44.86,51.86,8.06,13.46,18.55,21.33,20.93,17.00,18.28,16.60
6.000,24.74,37.41,47.53,59.71,30.12,30.12,47.92,54.61,7.75,5.45,8.42,26.46,21.38,11.73,21.77,13.64
6.125,25.95,38.98,50.04,62.75,31.76,31.76,50.59,56.76,8.37,11.51,14.39,22.04,26.15,18.99,15.76,21.64
6.250,27.42,41.49,52.31,65.78,34.04,34.04,53.02,58.33,12.09,25.00,26.37,27.52,30.62,25.75,21.60,29.25
6.375,29.30,44.55,54.98,68.92,36.63,36.63,55.53,60.20,18.77,25.75,33.89,34.07,28.81,30.58,27.88,31.24
6.500,31.23,47.14,57.33,71.08,38.90,38.90,57.33,62.25,11.56,15.63,25.71,26.29,15.36,24.52,20.49,23.68
6.625,32.80,48.86,58.59,73.73,40.39,40.39,58.12,63.82,9.79,10.89,7.58,18.55,14.08,11.87,15.05,20.76
6.750,33.83,48.94,59.22,76.57,40.71,40.71,58.20,65.59,5.90,3.46,11.38,17.31,13.50,11.96,18.55,19.21
6.875,34.15,49.02,60.31,78.24,41.10,41.10,59.45,67.94,5.54,6.87,8.20,22.35,21.77,9.04,22.70,29.38
7.000,34.19,49.18,62.67,79.90,41.80,41.80,61.49,70.10,9.83,3.95,6.29,33.18,25.49,3.60,31.42,43.14
7.125,34.05,49.65,65.33,81.27,42.20,42.20,63.53,71.96,14.87,9.57,11.60,34.60,27.52,7.49,31.50,49.24
7.250,34.40,50.43,67.69,83.43,42.43,42.43,65.10,74.22,4.57,8.37,12.35,20.00,25.75,9.08,15.67,49.42
7.375,34.97,51.14,69.18,85.49,42.67,42.67,66.12,76.96,8.37,18.10,7.67,7.97,20.54,7.44,6.78,32.39
7.500,35.90,52.16,70.98,86.86,43.37,43.37,67.76,79.41,6.87,11.82,10.05,13.37,15.23,8.20,10.36,20.40
7.625,37.08,53.41,73.65,87.75,44.16,44.16,70.12,81.37,8.86,23.06,11.34,33.23,13.41,9.12,28.54,8.02
7.750,38.32,54.82,76.16,89.31,45.02,45.02,72.31,84.02,8.59,11.78,13.77,50.70,15.23,14.48,48.66,9.70
7.875,39.32,56.31,78.27,90.88,45.96,45.96,74.20,86.57,10.85,11.78,15.85,43.36,22.84,14.26,50.88,17.48
8.000,39.89,57.33,79.45,92.06,46.82,46.82,75.61,88.24,7.44,5.90,12.71,20.89,27.83,6.03,29.34,23.23
8.125,39.64,57.18,79.61,91.57,47.53,47.53,76.39,88.73,13.41,10.50,8.64,16.86,29.74,4.13,16.38,23.45
8.250,39.04,56.16,78.75,90.59,47.61,47.61,75.76,88.53,10.41,6.74,8.51,15.32,27.66,5.23,11.34,21.07
8.375,38.25,55.45,77.49,89.80,47.53,47.53,74.51,88.82,14.79,17.97,12.09,13.99,29.47,10.72,13.46,23.72
8.500,37.40,55.06,76.39,88.92,47.29,47.29,73.41,89.41,6.87,4.30,10.32,14.87,29.03,10.10,15.27,23.94
8.625,36.11,54.12,75.76,88.63,47.06,47.06,72.31,90.20,6.52,7.40,8.42,10.41,26.46,8.11,10.27,22.88
8.750,34.94,52.55,75.53,88.63,46.51,46.51,71.14,90.88,6.21,4.08,7.31,15.49,28.10,9.48,11.96,21.20
8.875,33.90,50.59,75.69,88.53,46.12,46.12,70.51,91.08,16.73,9.74,7.09,22.39,26.73,13.55,14.43,18.99
9.000,32.94,48.39,75.06,88.43,45.73,45.73,69.88,91.47,10.41,2.18,5.90,17.31,33.98,13.37,6.82,22.53
9.125,31.80,46.12,73.41,88.24,45.18,45.18,68.08,91.27,16.55,7.00,3.42,6.43,29.03,6.34,5.10,19.43
9.250,30.66,44.24,71.29,87.45,44.08,44.08,65.57,89.80,8.46,5.59,2.98,2.58,24.87,4.44,3.55,16.55
9.375,28.91,41.65,68.47,85.98,41.88,41.88,62.90,87.55,12.09,6.29,4.92,3.20,14.17,6.43,4.52,8.99
9.500,26.88,38.43,65.49,85.10,39.06,39.06,60.16,85.69,10.05,5.50,7.09,3.60,10.98,7.40,6.07,5.67
9.625,24.81,35.14,63.06,85.10,36.16,36.16,57.96,84.02,4.30,5.32,6.74,8.24,12.13,7.13,9.43,5.23
9.750,23.32,32.63,61.73,83.92,33.96,33.96,56.78,83.04,7.49,9.83,6.34,11.56,13.37,5.41,11.78,6.29
9.875,22.46,31.53,60.86,82.65,32.86,32.86,56.16,81.76,9.08,7.05,5.98,12.57,11.91,5.32,11.42,6.65
10.000,22.28,30.90,59.45,81.67,32.08,32.08,54.67,80.49,10.98,6.52,6.43,11.25,10.01,5.85,9.61,7.27
10.125,22.35,30.20,57.10,80.10,31.53,31.53,52.47,79.12,8.46,7.44,6.16,8.90,8.42,4.79,7.18,8.37
10.250,22.32,29.02,54.20,78.82,31.06,31.06,49.96,78.04,7.31,10.19,5.10,5.59,6.34,1.92,5.94,6.65
10.375,22.10,27.84,51.61,76.76,30.67,30.67,47.76,76.18,8.86,2.49,5.67,4.70,4.92,5.72,5.45,5.06
10.500,21.57,26.90,49.88,75.10,30.59,30.59,46.51,73.92,13.37,1.87,5.28,5.06,7.97,7.18,5.50,4.44
10.625,20.71,26.12,48.00,73.73,29.96,29.96,44.39,71.67,9.79,5.14,4.75,5.45,10.63,7.67,3.46,5.41
10.750,19.11,24.94,45.41,72.65,29.25,29.25,41.41,69.31,8.51,3.15,5.94,5.10,10.45,9.43,1.92,5.81
10.875,17.15,23.61,42.59,69.90,28.24,28.24,38.75,66.37,5.90,3.51,5.37,2.67,7.31,9.48,3.55,4.48
11.000,15.33,21.80,39.61,66.76,27.37,27.37,36.16,62.84,5.01,3.77,2.18,1.87,3.46,4.83,5.59,2.84
11.125,14.05,20.00,36.94,63.53,26.51,26.51,33.73,59.51,4.48,8.64,5.41,4.79,2.18,3.51,3.60,2.27
11.250,13.23,19.06,35.53,61.57,26.27,26.27,31.84,56.76,11.73,2.67,6.25,8.59,1.61,5.45,5.01,2.40
11.375,12.66,18.75,35.14,60.00,26.20,26.20,31.45,54.31,7.31,2.18,2.31,9.17,1.83,5.63,9.48,2.18
11.500,12.01,17.96,34.20,57.55,25.73,25.73,30.67,50.69,3.29,5.63,1.43,5.94,2.36,6.56,9.12,2.58
11.625,11.16,16.94,33.25,55.00,24.86,24.86,29.49,47.45,6.60,3.68,2.67,11.69,3.55,5.50,7.80,4.26
11.750,10.41,15.92,32.86,52.75,23.92,23.92,28.78,45.20,9.08,3.24,6.29,18.37,4.30,2.27,12.09,5.94
11.875,9.88,15.45,32.16,49.80,23.22,23.22,28.08,43.73,11.51,3.60,10.45,19.30,4.17,6.60,14.79,7.27
12.000,9.48,15.61,31.37,46.67,21.96,21.96,27.14,41.67,12.57,2.98,12.18,16.64,3.51,10.19,14.03,7.09
12.125,9.45,16.16,30.27,43.63,20.63,20.63,25.88,39.12,7.44,6.21,10.14,9.96,4.61,10.72,8.06,7.31
12.250,9.55,16.86,29.41,41.37,19.45,19.45,24.94,36.76,12.49,5.19,5.85,4.92,5.23,7.58,2.84,6.43
12.375,9.73,17.41,29.18,40.00,19.22,19.22,24.39,35.59,6.34,3.20,3.68,4.79,8.02,4.92,2.09,6.56
12.500,9.95,17.65,29.18,39.22,19.29,19.29,23.84,35.39,4.39,6.21,3.73,6.07,8.95,3.24,3.68,5.76
12.625,10.16,17.73,28.94,37.94,19.14,19.14,23.45,34.90,3.82,2.58,4.44,3.42,10.36,3.51,4.79,7.09
12.750,10.20,17.73,28.24,36.67,19.14,19.14,23.06,34.31,8.06,8.11,7.22,3.20,10.23,6.65,6.29,7.89
12.875,10.02,17.73,27.45,35.69,18.90,18.90,22.75,34.31,2.62,3.46,5.50,5.10,7.67,4.22,7.53,7.31
13.000,9.73,17.57,26.67,34.22,18.82,18.82,22.59,34.02,3.55,1.43,3.55,4.44,5.76,2.89,7.18,6.74
13.125,9.38,17.49,26.43,33.04,18.82,18.82,22.27,32.94,5.32,4.79,3.51,2.89,3.60,2.49,4.17,4.30
13.250,9.16,17.49,26.51,32.06,18.90,18.90,22.20,31.67,10.72,6.38,5.50,9.12,5.32,2.22,6.69,6.29
13.375,8.98,17.73,26.98,31.08,18.98,18.98,22.59,30.39,14.74,8.02,3.68,12.40,6.43,3.11,10.05,6.74
13.500,8.91,18.12,27.61,30.29,19.22,19.22,22.75,29.51,11.56,6.91,3.99,9.88,7.84,5.19,8.86,9.35
13.625,9.02,18.27,27.45,29.51,19.22,19.22,22.67,29.12,5.76,3.95,4.66,6.38,9.52,5.67,6.21,10.36
13.750,9.06,18.67,26.90,28.82,19.29,19.29,22.35,29.02,12.00,8.06,4.97,4.22,10.36,2.93,4.79,10.72
13.875,8.88,19.53,26.51,28.63,19.29,19.29,22.35,29.31,12.80,4.39,12.00,2.76,11.82,7.75,3.42,10.89
14.000,8.73,20.47,26.67,29.12,19.37,19.37,22.51,29.90,11.16,6.74,13.46,3.55,13.28,10.41,2.31,10.19
14.125,8.63,21.49,27.53,30.20,19.37,19.37,22.51,30.59,21.07,5.50,10.05,3.20,14.08,9.88,4.48,9.43
14.250,8.56,22.12,28.71,31.37,19.29,19.29,22.98,31.47,6.43,3.86,4.92,7.84,13.46,5.14,4.17,7.44
14.375,8.59,22.04,29.57,32.65,19.29,19.29,24.00,32.06,16.95,3.55,6.16,15.98,11.96,4.57,10.85,4.26
14.500,8.73,22.12,30.27,34.02,19.69,19.69,25.49,33.14,8.86,9.04,6.07,17.22,9.52,8.81,18.55,3.86
14.625,8.98,21.80,30.82,35.88,20.08,20.08,26.75,34.90,11.51,6.21,3.91,13.55,10.81,8.68,16.91,5.41
14.750,9.20,21.49,30.51,37.75,20.31,20.31,27.22,36.08,6.21,3.73,3.60,7.05,9.21,2.84,9.96,7.00
14.875,9.38,21.33,29.18,39.02,20.55,20.55,26.90,36.18,12.84,5.54,4.97,2.58,11.20,4.66,6.47,7.44
15.000,9.41,20.94,27.69,39.80,20.31,20.31,26.04,35.29,11.96,7.22,3.15,3.51,7.89,5.63,4.83,5.14
15.125,9.38,20.47,26.90,40.69,19.76,19.76,25.25,34.80,4.70,4.48,4.75,4.66,8.77,2.84,3.37,5.81
15.250,9.27,20.24,27.14,41.37,19.29,19.29,25.10,34.71,9.61,5.81,8.73,9.92,8.33,1.43,5.94,7.13
15.375,9.02,20.31,28.00,41.67,18.90,18.90,25.57,35.10,6.38,5.32,7.80,13.15,10.10,2.27,9.92,9.12
15.500,9.02,20.47,28.78,41.37,18.67,18.67,26.43,35.39,14.39,1.74,4.61,7.36,10.81,3.42,7.31,10.45
15.625,9.23,20.24,29.25,40.98,18.43,18.43,27.37,35.39,9.12,12.66,1.69,6.38,12.04,2.05,3.99,11.38
15.750,9.55,19.84,29.57,40.59,18.20,18.20,28.24,35.78,8.51,7.89,2.89,9.83,12.35,3.02,8.59,12.04
15.875,9.77,19.61,30.20,41.18,17.73,17.73,28.71,36.67,7.84,4.35,7.05,6.47,14.17,3.68,8.77,15.89
16.000,9.77,19.76,31.06,42.16,17.33,17.33,28.47,37.45,7.71,1.96,8.90,6.69,12.84,3.02,3.99,16.02
16.125,9.66,20.31,32.08,43.24,17.41,17.41,28.16,38.33,12.44,3.99,7.44,14.39,13.77,5.41,4.97,18.32
16.250,9.59,20.71,33.33,44.12,17.49,17.49,28.08,39.22,9.83,2.22,6.29,14.26,12.66,8.68,6.91,17.44
16.375,9.52,20.86,33.88,45.00,17.57,17.57,28.08,40.00,9.04,4.97,7.67,8.77,12.09,10.01,4.57,15.49
16.500,9.23,20.71,33.57,45.78,17.73,17.73,27.37,40.29,9.52,7.13,7.44,6.21,10.81,8.42,2.76,12.93
16.625,9.16,20.31,33.25,46.27,17.33,17.33,26.35,39.90,4.26,4.13,4.26,7.75,8.28,5.19,1.61,8.81
16.750,9.13,19.76,32.86,45.88,16.94,16.94,25.73,39.12,8.81,6.29,3.07,7.84,8.15,3.46,1.78,7.27
16.875,9.16,19.22,32.94,45.98,16.47,16.47,25.49,38.92,14.92,5.98,5.28,5.32,7.40,3.77,1.25,6.47
17.000,9.16,18.59,32.86,46.27,16.08,16.08,25.33,39.02,6.12,2.76,7.75,4.66,8.86,3.46,2.71,7.05
17.125,9.30,17.96,32.39,46.18,15.37,15.37,25.10,39.22,2.71,5.76,9.08,5.28,9.92,3.29,4.17,7.00
17.250,9.34,17.25,31.45,45.98,14.67,14.67,24.63,39.12,13.86,5.81,8.02,6.29,12.80,4.83,4.44,9.04
17.375,9.41,16.78,30.20,46.57,13.96,13.96,23.69,39.31,7.09,7.00,7.18,6.87,16.02,4.08,3.77,10.19
17.500,9.23,16.55,28.71,46.76,13.41,13.41,22.04,40.10,11.38,5.41,3.46,5.98,15.49,3.07,3.95,11.82
17.625,9.09,16.55,27.45,47.06,12.71,12.71,20.31,40.98,7.05,7.05,1.43,6.52,18.99,4.52,4.44,15.49
17.750,8.84,16.47,26.43,46.96,12.16,12.16,18.82,41.67,1.83,4.30,2.27,7.36,16.02,7.27,5.41,15.94
17.875,8.66,16.55,25.88,46.18,12.16,12.16,17.80,41.57,11.91,1.96,2.27,4.79,15.98,7.58,6.96,15.80
18.000,8.70,16.55,25.80,45.69,12.24,12.24,17.33,41.47,8.06,4.26,2.76,3.55,11.03,3.91,6.43,12.49
18.125,9.13,17.25,26.67,46.47,12.78,12.78,17.80,42.35,9.26,7.05,8.59,8.15,9.88,7.97,5.81,10.76
18.250,10.02,18.12,27.69,47.94,13.57,13.57,18.90,43.63,11.11,11.42,12.40,14.52,12.88,9.35,11.34,13.55
18.375,10.84,18.51,28.16,49.61,14.27,14.27,19.92,45.20,13.37,8.68,9.74,12.09,14.74,6.34,12.66,15.32
18.500,11.44,18.27,27.92,51.47,14.35,14.35,20.31,46.27,4.75,6.82,4.79,4.52,14.12,2.53,7.53,15.23
18.625,11.52,17.96,27.22,52.65,14.27,14.27,20.24,46.96,8.28,7.67,1.52,3.64,10.14,3.02,2.67,11.78
18.750,11.19,17.80,26.75,53.82,14.27,14.27,20.00,47.45,4.61,4.48,2.93,4.08,9.04,3.07,2.76,9.79
18.875,10.66,17.65,26.43,54.61,14.51,14.51,19.69,47.55,9.88,4.88,2.05,4.92,12.31,3.91,3.73,11.07
19.000,10.16,17.49,26.43,55.29,14.90,14.90,19.53,47.16,8.42,7.22,3.15,6.87,14.65,6.21,5.37,12.62
19.125,10.16,17.33,26.43,56.18,15.69,15.69,20.00,46.37,6.82,6.52,3.20,9.12,12.18,3.46,8.46,11.38
19.250,10.55,17.49,26.67,57.84,16.31,16.31,20.47,45.29,7.49,7.58,8.77,11.16,12.88,6.96,5.41,8.55
19.375,11.37,18.04,27.29,59.80,17.10,17.10,20.78,43.92,5.81,11.11,10.36,18.63,15.49,9.35,5.41,5.37
19.500,12.12,18.75,28.55,61.96,17.96,17.96,21.25,42.94,12.40,3.73,7.13,19.83,20.76,9.57,9.88,5.63
19.625,12.69,19.22,29.80,64.12,18.67,18.67,21.96,42.45,12.75,4.70,7.67,9.21,22.26,5.63,10.63,5.28
19.750,13.05,19.69,30.27,65.49,19.37,19.37,22.90,42.35,6.56,10.63,3.82,2.67,15.71,5.94,7.67,5.50
19.875,13.37,20.00,30.27,65.98,20.16,20.16,23.69,42.55,6.56,4.22,2.67,2.14,11.03,11.51,5.23,4.13
20.000,13.65,20.16,30.27,65.49,20.94,20.94,24.78,42.94,10.01,8.28,6.12,3.37,4.88,11.91,7.71,5.50
20.125,14.05,20.47,30.51,64.90,21.80,21.80,25.57,43.33,11.11,9.57,9.61,3.60,4.52,11.34,8.77,5.67
20.250,14.51,20.94,30.67,64.22,22.75,22.75,26.04,43.53,10.14,11.56,11.69,3.73,4.26,11.51,5.85,7.09
20.375,15.01,21.41,30.59,63.43,23.61,23.61,26.04,43.63,6.91,6.69,10.63,5.14,3.77,9.96,2.40,6.43
20.500,15.44,21.88,30.51,61.67,24.39,24.39,26.04,43.24,5.67,10.63,6.25,4.08,3.37,5.14,1.34,5.90
20.625,15.97,22.12,30.67,59.71,24.78,24.78,25.73,42.35,9.92,8.02,2.84,3.24,2.62,6.82,1.96,4.75
20.750,16.47,22.04,30.82,57.75,25.02,25.02,25.25,40.88,13.64,16.78,3.91,6.25,2.76,8.95,2.45,3.73
20.875,17.11,22.27,30.75,56.27,25.10,25.10,24.39,39.22,5.90,4.83,3.73,5.90,2.89,8.68,2.31,3.37
21.000,17.54,22.59,30.51,55.49,25.25,25.25,23.92,37.84,9.21,8.51,3.86,2.27,4.13,6.91,1.96,3.60
21.125,17.72,22.67,30.35,55.29,25.10,25.10,23.45,36.96,6.74,4.70,2.67,5.06,4.92,5.67,2.58,4.13
21.250,17.29,22.12,29.65,54.41,24.55,24.55,22.27,35.69,5.32,4.08,3.86,6.03,4.26,4.48,4.44,4.13
21.375,16.47,21.18,28.24,52.65,23.61,23.61,20.71,33.73,11.25,5.45,7.44,3.20,3.42,3.42,4.79,3.42
21.500,15.65,20.63,26.67,50.49,23.06,23.06,18.98,31.67,7.75,5.10,10.89,3.51,4.26,5.19,3.73,3.02
21.625,15.19,20.71,25.33,48.53,22.98,22.98,17.88,30.39,12.62,2.62,11.82,3.64,5.98,7.13,4.13,3.51
21.750,15.15,21.02,24.78,47.45,23.14,23.14,17.18,29.80,6.12,4.13,8.51,5.72,8.59,3.68,4.92,6.03
21.875,15.61,21.65,25.33,47.35,23.45,23.45,17.10,29.71,14.87,14.52,3.15,8.68,10.67,4.13,5.90,8.55
22.000,16.15,22.43,25.88,47.06,23.76,23.76,17.10,29.61,4.57,2.40,6.78,12.53,12.18,9.04,9.21,9.92
22.125,16.65,23.53,26.59,46.37,24.08,24.08,17.10,29.41,15.58,14.56,12.31,15.80,12.44,10.32,11.82,10.36
22.250,16.83,24.16,26.98,46.08,24.16,24.16,17.49,30.39,10.45,4.75,11.91,18.50,12.84,8.51,14.83,12.00
22.375,16.68,24.16,27.14,45.00,23.92,23.92,18.35,32.35,7.93,7.84,9.57,24.78,9.26,8.90,20.80,11.73
22.500,16.04,23.84,26.98,43.63,23.69,23.69,19.45,34.31,5.32,5.01,8.68,24.38,8.24,10.94,19.96,10.50
22.625,15.51,23.84,26.59,42.65,23.61,23.61,20.24,35.78,6.07,3.55,13.72,23.10,6.12,13.41,18.50,5.54
22.750,15.26,24.16,26.35,41.57,23.53,23.53,20.71,36.96,12.18,4.35,13.68,14.12,8.24,11.69,10.58,3.60
22.875,14.83,24.71,26.82,41.18,23.37,23.37,20.86,38.24,7.00,3.20,9.43,6.47,6.43,10.63,4.30,2.40
