"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,0.85,2.40,1.07,===,===,0.68,===,===
0.250,===,===,===,===,===,===,===,===,0.99,1.12,1.07,1.43,===,0.72,0.72,===
0.375,===,===,===,===,===,===,===,===,1.61,1.92,1.03,2.18,2.98,1.21,1.21,0.90
0.500,===,===,===,===,===,===,===,===,1.52,1.16,1.56,3.29,3.51,1.74,2.14,1.43
0.625,===,===,===,===,===,===,===,===,2.89,1.38,2.49,4.52,4.26,1.65,3.07,2.00
0.750,===,===,===,===,===,===,===,===,2.67,2.76,2.98,3.86,5.06,1.78,3.02,2.98
0.875,===,===,===,===,===,===,===,===,2.84,2.45,2.80,2.80,5.10,2.14,2.93,2.93
1.000,===,===,===,===,===,===,===,===,2.67,2.00,1.92,2.27,5.90,2.36,2.53,3.99
1.125,===,===,===,===,===,===,===,===,2.40,1.16,1.92,1.78,5.59,1.92,1.43,3.82
1.250,===,===,===,===,===,===,===,===,2.58,1.61,2.93,3.15,6.65,2.14,2.67,7.09
1.375,===,===,===,===,===,===,===,===,2.53,1.92,2.14,6.16,8.46,1.96,5.45,9.70
1.500,===,===,===,===,===,===,===,===,2.49,2.00,1.47,8.73,11.20,2.09,7.84,16.07
1.625,===,===,===,===,===,===,===,===,4.48,3.55,3.42,11.03,18.01,2.31,10.54,22.70
1.750,===,===,===,===,===,===,===,===,3.11,2.00,3.73,8.81,18.15,2.80,7.84,23.72
1.875,===,===,===,===,===,===,===,===,3.60,2.58,3.24,5.01,20.76,2.98,4.88,25.00
2.000,===,===,===,===,===,===,===,===,3.15,2.80,2.45,3.37,13.72,1.87,4.08,16.55
2.125,===,===,===,===,===,===,===,===,2.14,3.42,2.58,2.14,11.60,1.69,1.96,13.64
2.250,===,===,===,===,===,===,===,===,2.76,1.43,2.14,2.09,5.28,1.69,1.34,6.52
2.375,===,===,===,===,===,===,===,===,3.29,4.26,2.27,1.83,4.17,1.78,1.43,4.75
2.500,===,===,===,===,===,===,===,===,3.77,2.40,3.55,1.12,5.67,3.37,2.09,5.94
2.625,===,===,===,===,===,===,===,===,1.38,3.42,3.20,1.56,8.15,2.80,3.42,9.21
2.750,===,===,===,===,===,===,===,===,3.55,2.18,1.69,2.14,11.51,1.07,4.30,13.02
2.875,===,===,===,===,===,===,===,===,2.31,2.67,2.05,1.96,12.35,1.69,2.53,15.98
3.000,===,===,===,===,===,===,===,===,2.71,1.69,1.96,1.38,11.20,1.92,1.87,13.72
3.125,===,===,===,===,===,===,===,===,2.76,2.40,2.27,2.14,10.41,1.30,1.38,11.65
3.250,===,===,===,===,===,===,===,===,4.48,2.89,4.04,3.86,7.00,1.38,2.09,6.25
3.375,===,===,===,===,===,===,===,===,1.74,1.16,3.99,3.07,6.87,1.21,4.08,4.97
3.500,===,===,===,===,===,===,===,===,1.12,2.31,2.89,2.00,5.37,1.16,5.14,4.17
3.625,===,===,===,===,===,===,===,===,1.30,1.52,2.31,4.66,4.70,1.83,5.14,4.08
3.750,===,===,===,===,===,===,===,===,2.31,2.14,1.87,6.12,3.33,2.22,5.59,3.77
3.875,===,===,===,===,===,===,===,===,2.31,1.21,1.52,6.25,1.96,1.74,5.45,3.37
4.000,===,===,===,===,===,===,===,===,1.87,2.62,2.53,5.14,1.65,1.65,3.60,2.53
4.125,1.00,3.53,10.27,44.12,2.12,2.12,10.04,44.22,3.95,3.20,4.22,3.24,1.87,1.87,2.00,2.09
4.250,1.00,3.61,10.43,43.92,2.12,2.12,10.04,43.92,2.36,1.52,4.75,1.87,1.74,2.45,1.65,1.38
4.375,1.07,3.69,10.35,43.24,2.04,2.04,9.96,43.14,2.40,2.71,3.11,2.22,2.18,2.45,3.20,1.16
4.500,1.07,3.61,9.96,41.86,2.12,2.12,9.80,41.76,2.58,2.71,1.96,3.46,2.31,2.45,3.42,1.34
4.625,1.11,3.37,9.18,39.22,2.04,2.04,9.10,39.31,1.69,2.22,1.83,2.67,3.42,2.49,2.05,2.58
