TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,2.18,2.40,7.89,===,===,1.56,===,===
0.250,2.93,6.56,8.51,14.34,===,3.46,3.60,===
0.375,4.66,4.61,11.11,19.03,16.64,9.79,12.35,6.69
0.500,5.59,18.41,15.36,21.29,17.66,12.71,18.32,9.96
0.625,4.39,4.61,10.50,19.16,19.74,9.21,16.69,14.03
0.750,10.98,13.72,4.35,14.34,19.30,5.37,9.08,11.07
0.875,13.81,3.46,4.39,19.92,21.91,11.47,13.02,13.95
1.000,25.89,44.82,10.23,40.08,22.30,14.56,36.10,15.94
1.125,23.76,15.23,9.88,44.20,21.51,14.30,49.86,31.37
1.250,13.06,12.09,5.90,22.26,17.09,16.51,46.59,32.92
1.375,7.62,5.28,4.83,6.65,10.98,9.79,42.43,31.55
1.500,5.41,5.01,3.24,7.80,9.12,2.58,28.98,24.69
1.625,2.22,3.11,6.16,8.06,7.80,3.20,20.98,22.08
1.750,3.91,5.90,7.75,10.81,6.69,6.07,18.06,22.57
1.875,2.27,2.89,5.10,13.28,6.43,8.59,14.70,21.46
2.000,5.54,2.58,3.24,12.26,4.97,7.89,12.22,17.57
2.125,3.73,3.51,6.69,10.94,4.44,6.43,7.44,14.52
2.250,2.14,3.15,9.52,14.26,6.34,2.98,4.92,8.46
2.375,3.73,4.75,7.18,20.09,8.11,3.86,4.75,5.63
2.500,6.47,8.99,7.09,22.35,14.52,4.66,5.37,3.55
2.625,9.21,5.41,10.23,24.65,21.60,7.18,12.35,6.52
2.750,34.60,19.03,18.37,28.54,33.63,13.77,27.35,14.03
2.875,10.98,19.25,22.61,22.17,50.66,17.44,40.79,34.42
3.000,14.74,7.71,15.14,16.07,57.69,17.97,40.13,41.50
3.125,4.92,5.81,6.60,13.99,53.44,13.77,21.33,51.45
3.250,6.38,4.66,8.95,14.39,35.53,12.75,11.47,33.67
3.375,5.37,6.91,7.93,17.70,30.88,13.81,12.40,35.18
3.500,2.98,3.20,6.12,17.00,31.50,10.89,17.44,24.87
3.625,5.85,5.98,4.61,12.57,36.19,8.95,15.63,34.11
3.750,16.20,6.43,4.52,20.31,25.71,6.16,12.35,26.42
3.875,12.80,10.19,4.39,39.33,20.49,22.88,7.09,36.46
4.000,38.67,10.05,3.64,36.28,14.26,31.33,6.29,31.81
4.125,9.17,9.70,11.42,13.72,11.65,19.65,12.00,38.18
4.250,13.99,24.56,24.74,18.19,11.69,8.15,7.22,25.05
4.375,5.54,23.23,29.60,24.60,16.64,6.96,14.39,20.93
4.500,5.06,16.78,20.80,36.06,28.45,10.23,18.06,22.35
4.625,11.20,12.22,18.63,30.04,32.30,11.03,20.18,23.23
4.750,12.49,9.21,19.39,12.00,39.16,8.59,20.76,35.53
4.875,25.62,3.86,16.86,18.15,34.47,12.26,13.59,33.94
5.000,26.51,4.08,11.25,19.56,39.24,20.85,5.50,56.18
5.125,14.48,6.07,7.44,18.28,34.82,17.40,14.21,63.13
5.250,14.83,1.92,9.48,19.34,32.26,7.36,15.80,68.97
5.375,4.70,6.12,5.54,16.29,29.51,4.30,14.03,64.14
5.500,4.57,3.60,2.67,10.85,31.15,2.22,8.90,43.62
5.625,1.38,4.70,3.99,11.38,34.11,2.40,3.42,34.82
5.750,2.58,7.09,2.18,17.66,34.11,2.71,4.88,16.20
5.875,2.49,7.13,13.37,19.39,30.58,2.22,6.69,16.16
6.000,9.17,23.06,24.87,17.57,26.37,2.93,11.42,12.18
6.125,3.82,8.28,23.76,18.59,22.61,3.82,17.66,14.61
6.250,12.93,13.55,14.74,15.36,22.22,3.11,19.78,21.29
6.375,3.33,4.35,6.16,13.90,27.70,4.22,16.25,28.32
6.500,2.58,9.04,3.55,19.83,31.37,4.92,18.01,33.54
6.625,2.84,3.73,5.41,24.07,32.74,7.09,23.28,34.42
6.750,2.58,3.37,5.37,22.44,23.15,6.60,21.42,30.49
6.875,3.07,2.67,3.20,20.14,16.16,7.09,23.90,22.70
7.000,6.43,8.33,9.30,22.66,10.76,8.42,29.78,12.44
7.125,8.06,9.17,8.64,18.41,14.26,8.06,22.75,13.86
7.250,7.18,5.06,5.23,8.51,20.49,11.34,12.40,22.79
7.375,18.77,20.62,18.72,21.02,31.28,22.92,20.58,36.50
7.500,16.11,11.96,26.06,35.18,49.20,29.25,24.69,51.27
7.625,10.67,14.74,18.32,34.87,57.25,18.15,28.94,54.55
7.750,3.86,5.50,4.92,28.89,63.35,6.25,25.22,59.28
7.875,6.47,10.54,12.49,20.14,57.95,10.23,15.89,53.66
8.000,4.44,2.14,11.03,9.66,52.51,8.68,15.05,51.32
8.125,6.34,4.39,9.35,7.00,42.83,14.52,30.40,55.30
8.250,9.74,12.40,13.46,14.74,26.33,20.14,37.96,41.63
8.375,17.13,15.05,19.21,26.29,21.07,17.17,40.04,42.52
8.500,24.87,21.73,20.05,36.55,21.33,16.60,44.73,28.98
8.625,11.29,7.40,16.02,31.02,35.84,17.53,32.17,34.73
8.750,7.58,4.70,6.65,17.22,36.33,9.70,20.09,24.47
