TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.03,13.28,10.76,===,===,1.21,===,===
0.250,2.45,7.36,7.27,6.38,===,1.56,2.09,===
0.375,2.53,8.42,2.84,4.75,9.79,2.31,7.44,4.44
0.500,8.95,5.50,10.27,14.30,7.75,6.52,12.26,7.53
0.625,3.51,6.16,14.83,15.36,8.51,13.11,12.31,7.71
0.750,6.38,9.21,15.23,10.81,9.08,16.69,6.65,9.21
0.875,7.18,3.60,19.78,17.35,10.50,19.08,19.08,7.89
1.000,4.61,6.82,16.51,26.11,13.86,13.55,30.93,8.86
1.125,16.64,10.54,6.60,27.04,13.99,3.99,29.25,7.18
1.250,4.52,6.78,13.19,26.51,14.92,10.27,25.62,6.56
1.375,16.51,8.42,19.39,25.40,13.90,14.08,19.30,4.48
1.500,12.40,7.00,21.20,22.53,15.18,17.04,17.75,5.28
1.625,17.09,14.61,15.85,22.17,16.73,14.56,21.38,10.14
1.750,11.03,12.97,5.94,16.64,16.91,10.85,16.25,12.62
1.875,12.09,8.68,3.42,7.93,20.05,6.29,9.66,18.77
2.000,6.74,8.64,5.06,9.66,24.74,3.24,5.06,18.81
2.125,8.68,8.02,10.50,7.67,26.68,7.00,5.59,21.42
2.250,8.95,7.36,11.65,11.56,29.82,12.35,9.12,21.07
2.375,7.58,5.67,5.06,25.62,24.38,10.19,19.16,17.88
2.500,10.27,10.58,15.58,38.62,21.95,7.00,33.01,14.92
2.625,9.52,5.23,10.76,35.31,17.04,3.91,31.99,9.61
2.750,5.54,7.27,5.23,21.46,18.99,8.64,15.76,10.23
2.875,6.56,8.73,13.68,15.76,25.53,13.19,6.96,10.81
3.000,3.29,3.15,10.76,15.32,22.61,10.19,4.35,9.12
3.125,8.59,11.07,7.49,16.16,19.16,7.97,2.93,6.60
3.250,6.87,7.36,4.44,15.58,10.67,5.32,5.28,5.41
3.375,16.69,12.40,3.20,15.76,11.25,2.71,8.90,6.69
3.500,14.39,7.93,2.49,9.79,8.77,5.63,8.81,8.77
3.625,19.74,12.71,4.83,9.96,7.18,12.53,8.55,8.77
3.750,11.29,10.14,3.95,13.68,5.10,10.67,5.85,10.41
3.875,7.22,5.90,3.64,19.43,5.37,8.95,14.87,8.81
4.000,12.22,10.63,3.82,29.74,8.33,5.63,25.84,7.40
4.125,8.81,12.71,14.70,27.48,9.57,10.19,20.71,5.06
4.250,14.56,15.76,22.79,14.03,10.81,20.49,7.44,4.04
4.375,8.15,11.07,22.79,10.27,10.05,20.71,4.70,4.39
