TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,4.48,2.76,1.52,===,===,1.43,===,===
0.250,3.91,2.53,3.60,3.07,===,4.61,4.13,===
0.375,17.13,10.23,12.88,9.70,7.13,15.27,7.13,4.04
0.500,4.70,4.48,19.34,13.50,15.63,22.26,5.23,4.30
0.625,16.51,13.59,19.96,12.13,20.85,23.94,8.68,4.17
0.750,14.43,20.27,18.68,10.54,29.12,17.31,16.42,4.08
0.875,7.00,6.25,15.76,8.86,24.16,13.37,19.96,4.52
1.000,9.92,25.40,12.75,7.67,20.62,25.18,10.85,4.26
1.125,18.99,23.59,20.71,7.75,10.58,17.31,6.91,3.82
1.250,6.87,8.42,23.45,15.32,10.14,6.56,19.87,3.64
1.375,18.24,26.55,18.06,13.37,14.08,18.63,20.14,3.60
1.500,29.12,31.50,7.58,10.27,16.60,17.26,14.39,4.75
1.625,10.81,16.29,6.43,13.11,16.42,7.71,21.77,4.17
1.750,18.81,18.90,6.29,20.45,13.28,3.51,29.12,5.98
1.875,8.33,19.30,14.03,26.37,14.74,6.91,28.94,9.70
2.000,14.61,13.02,23.76,30.71,22.17,17.31,31.37,16.82
2.125,6.12,7.97,18.41,29.78,25.36,17.48,30.97,21.55
2.250,6.29,6.96,8.20,23.68,32.03,11.29,26.06,28.50
2.375,7.75,8.55,10.01,19.70,25.89,11.65,19.30,26.42
2.500,9.66,15.58,13.41,17.09,25.00,15.01,9.61,26.51
2.625,13.11,5.81,12.31,11.34,21.46,15.14,23.28,21.69
2.750,7.36,19.56,7.93,16.25,30.88,8.68,31.19,27.57
2.875,7.44,41.72,6.25,18.90,32.21,5.50,16.16,26.64
3.000,16.73,16.02,8.02,14.30,35.35,5.54,4.04,25.22
3.125,6.47,19.16,8.24,9.12,21.33,9.74,9.61,17.40
3.250,10.76,19.56,4.26,6.34,17.97,9.39,11.69,17.35
3.375,8.02,9.96,6.60,7.71,9.57,5.54,9.74,16.29
3.500,6.74,13.15,10.19,10.14,9.43,3.95,9.39,14.56
3.625,1.38,6.65,6.91,7.67,5.76,2.22,5.81,11.11
3.750,8.55,5.50,2.76,5.14,5.45,2.76,4.26,9.12
3.875,7.97,6.16,5.98,3.68,5.41,2.93,6.87,10.27
4.000,22.30,7.71,16.78,15.54,9.12,16.07,16.42,18.32
4.125,20.18,18.41,31.33,26.02,13.19,24.38,22.48,27.52
4.250,25.14,21.95,31.95,27.70,18.24,18.55,18.77,32.96
