"Time","Beta R PIP","Alpha R PIP","Theta R PIP","Delta R PIP","Beta L PIP","Alpha L PIP","Theta L PIP","Delta L PIP","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,2.58,7.31,7.09,===,===,1.34,===,===
0.250,===,===,===,===,===,===,===,===,1.69,8.33,4.48,13.64,===,3.37,2.05,===
0.375,===,===,===,===,===,===,===,===,5.41,9.17,15.80,9.79,9.12,10.72,9.30,4.30
0.500,===,===,===,===,===,===,===,===,4.79,6.96,25.00,23.01,10.89,17.93,19.47,6.47
0.625,===,===,===,===,===,===,===,===,11.96,14.87,22.75,21.73,10.36,16.73,18.94,7.75
0.750,===,===,===,===,===,===,===,===,3.20,7.09,15.67,14.39,8.95,11.25,12.66,8.77
0.875,===,===,===,===,===,===,===,===,5.23,6.25,30.44,13.37,12.00,23.06,10.81,14.48
1.000,===,===,===,===,===,===,===,===,7.53,9.83,36.24,15.49,18.63,29.16,13.86,18.77
1.125,===,===,===,===,===,===,===,===,3.37,7.36,29.03,10.23,19.83,21.91,12.35,19.47
1.250,===,===,===,===,===,===,===,===,5.50,7.31,23.68,2.27,18.81,15.54,7.31,14.70
1.375,===,===,===,===,===,===,===,===,10.85,10.94,21.15,4.35,9.96,15.76,10.14,11.47
1.500,===,===,===,===,===,===,===,===,5.63,3.15,14.56,7.80,6.29,14.39,15.89,10.05
1.625,===,===,===,===,===,===,===,===,4.35,2.89,9.17,9.04,2.84,14.17,17.09,8.55
1.750,===,===,===,===,===,===,===,===,4.66,5.19,7.53,8.95,2.76,11.47,15.98,5.81
1.875,===,===,===,===,===,===,===,===,5.41,6.21,8.15,7.36,2.71,10.54,11.65,4.88
2.000,===,===,===,===,===,===,===,===,5.37,4.61,9.30,11.91,2.76,10.45,13.81,4.79
2.125,===,===,===,===,===,===,===,===,4.08,3.51,13.02,13.46,3.73,11.11,13.02,6.16
2.250,===,===,===,===,===,===,===,===,7.44,8.86,9.79,7.71,4.26,9.66,5.37,6.29
2.375,===,===,===,===,===,===,===,===,4.08,3.68,6.65,7.75,3.29,6.96,8.20,6.25
2.500,===,===,===,===,===,===,===,===,9.92,12.75,13.19,15.89,3.15,10.27,14.61,6.03
2.625,===,===,===,===,===,===,===,===,2.36,3.37,10.72,16.33,3.64,7.75,13.11,6.65
2.750,===,===,===,===,===,===,===,===,1.21,1.96,10.05,10.50,3.91,6.56,10.41,6.34
2.875,===,===,===,===,===,===,===,===,6.38,5.59,9.30,7.84,4.13,6.78,10.27,5.63
