TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,3.02,8.15,4.79,===,===,1.47,===,===
0.250,===,===,===,===,===,===,===,===,3.42,5.63,5.54,16.60,===,3.55,3.29,===
0.375,===,===,===,===,===,===,===,===,4.44,10.14,3.29,3.60,20.58,13.90,7.84,4.44
0.500,===,===,===,===,===,===,===,===,8.46,4.13,6.82,12.40,20.40,22.04,15.98,7.62
0.625,===,===,===,===,===,===,===,===,8.06,16.20,14.92,32.83,22.39,21.55,16.55,10.01
0.750,===,===,===,===,===,===,===,===,7.44,12.35,18.28,44.42,18.55,14.08,7.71,14.08
0.875,===,===,===,===,===,===,===,===,12.22,5.45,12.93,30.84,15.23,15.54,10.54,12.71
1.000,===,===,===,===,===,===,===,===,10.98,8.99,8.28,10.01,13.72,19.21,24.29,12.49
1.125,===,===,===,===,===,===,===,===,3.99,5.76,8.77,12.31,18.55,23.06,28.59,6.25
1.250,===,===,===,===,===,===,===,===,7.40,20.54,18.77,28.72,17.93,32.30,24.78,4.17
1.375,===,===,===,===,===,===,===,===,8.24,14.96,26.95,37.03,22.53,34.78,12.62,3.07
1.500,===,===,===,===,===,===,===,===,5.23,10.36,18.15,25.22,19.52,25.49,14.03,4.52
1.625,===,===,===,===,===,===,===,===,5.59,5.72,4.44,8.55,18.19,17.66,19.61,7.18
1.750,===,===,===,===,===,===,===,===,9.52,11.03,8.77,10.14,13.50,11.78,15.10,15.49
1.875,===,===,===,===,===,===,===,===,5.06,3.64,5.54,11.69,9.88,4.44,13.37,20.23
2.000,===,===,===,===,===,===,===,===,5.54,6.03,3.82,6.96,7.89,7.62,20.31,31.28
2.125,===,===,===,===,===,===,===,===,7.53,5.98,4.17,4.75,6.38,16.20,16.60,27.61
2.250,===,===,===,===,===,===,===,===,7.93,2.09,4.17,5.37,4.83,20.89,8.11,33.18
2.375,===,===,===,===,===,===,===,===,9.66,4.30,3.68,5.41,3.60,21.24,8.95,25.31
2.500,===,===,===,===,===,===,===,===,4.35,2.27,3.33,6.29,3.11,20.00,15.23,24.74
2.625,===,===,===,===,===,===,===,===,8.24,6.78,7.09,6.07,3.46,17.57,13.55,16.47
2.750,===,===,===,===,===,===,===,===,2.31,1.87,7.62,5.41,4.35,15.01,5.54,14.08
2.875,===,===,===,===,===,===,===,===,8.86,1.61,5.59,4.22,5.94,13.19,9.61,17.79
3.000,===,===,===,===,===,===,===,===,5.54,4.30,3.64,3.20,6.60,9.52,11.65,25.49
3.125,===,===,===,===,===,===,===,===,5.06,5.37,4.04,3.99,9.30,5.94,9.74,33.80
3.250,===,===,===,===,===,===,===,===,5.76,2.80,5.85,6.82,8.28,9.70,12.22,46.01
3.375,===,===,===,===,===,===,===,===,9.08,4.88,8.37,9.57,11.07,17.79,17.84,46.23
3.500,===,===,===,===,===,===,===,===,7.67,4.35,7.93,12.13,8.59,13.50,28.23,42.47
3.625,===,===,===,===,===,===,===,===,7.31,1.69,5.01,11.73,10.23,7.40,30.71,27.70
3.750,===,===,===,===,===,===,===,===,8.59,4.44,1.87,9.04,6.74,11.56,27.97,19.70
3.875,===,===,===,===,===,===,===,===,6.07,2.49,1.61,4.44,5.50,8.73,25.84,16.91
4.000,===,===,===,===,===,===,===,===,14.21,2.36,1.92,2.18,4.97,10.19,14.87,14.26
4.125,13.12,25.96,33.73,53.43,52.39,52.39,62.59,76.96,8.99,2.36,5.94,3.95,6.47,15.41,6.29,13.59
4.250,12.76,25.25,31.61,51.76,52.16,52.16,61.65,77.84,6.07,4.52,10.01,5.54,9.04,19.03,9.04,14.48
4.375,11.66,23.69,28.94,49.61,51.37,51.37,60.39,79.51,6.34,5.54,10.81,3.77,8.73,18.06,8.81,21.15
4.500,10.05,21.18,26.12,48.14,49.88,49.88,59.22,81.18,8.02,1.83,7.44,5.01,10.58,14.74,4.66,21.33
4.625,8.56,18.20,23.14,47.35,48.31,48.31,59.53,83.33,6.07,3.68,3.29,7.97,10.81,14.08,13.50,23.06
4.750,7.52,15.84,20.86,46.18,47.53,47.53,60.94,84.41,3.95,3.82,3.77,7.36,10.72,16.64,29.12,17.57
