TIME,BETA R PIP,ALPHA R PIP,THETA R PIP,DELTA R PIP,BETA L PIP,ALPHA L PIP,THETA L PIP,DELTA L PIP,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,0.99,8.46,8.37,===,===,0.81,===,===
0.250,===,===,===,===,===,===,===,===,1.30,3.82,8.20,13.50,===,1.07,1.03,===
0.375,===,===,===,===,===,===,===,===,2.80,4.22,3.68,7.22,27.97,2.93,1.61,2.05
0.500,===,===,===,===,===,===,===,===,3.46,12.22,3.64,7.71,18.55,6.82,3.24,2.53
0.625,===,===,===,===,===,===,===,===,7.13,7.18,8.06,12.97,16.47,10.54,4.17,3.73
0.750,===,===,===,===,===,===,===,===,7.67,11.38,9.66,14.56,15.67,10.36,3.37,4.30
0.875,===,===,===,===,===,===,===,===,7.05,10.85,7.49,9.48,18.41,6.34,4.70,8.73
1.000,===,===,===,===,===,===,===,===,1.69,8.15,6.03,2.93,23.37,6.16,9.26,12.35
1.125,===,===,===,===,===,===,===,===,3.24,9.52,4.70,6.87,21.15,5.72,11.07,14.83
1.250,===,===,===,===,===,===,===,===,9.26,6.25,6.65,7.80,22.08,4.26,9.61,15.41
1.375,===,===,===,===,===,===,===,===,4.97,3.24,11.91,7.36,20.93,7.22,7.58,14.12
1.500,===,===,===,===,===,===,===,===,9.35,8.55,15.58,19.83,22.22,10.36,17.13,14.17
1.625,===,===,===,===,===,===,===,===,4.13,1.52,12.53,24.91,28.54,8.15,22.26,14.87
1.750,===,===,===,===,===,===,===,===,7.00,6.74,8.28,19.74,26.15,6.47,19.25,17.57
1.875,===,===,===,===,===,===,===,===,7.58,7.40,5.28,10.10,24.47,7.67,11.38,19.52
2.000,===,===,===,===,===,===,===,===,5.32,7.49,5.81,9.17,17.70,8.37,8.59,18.24
2.125,===,===,===,===,===,===,===,===,3.07,4.04,3.68,5.94,18.99,7.84,5.01,18.10
2.250,===,===,===,===,===,===,===,===,3.73,9.52,2.09,2.27,16.73,6.12,1.61,13.86
2.375,===,===,===,===,===,===,===,===,4.83,4.26,3.51,2.58,23.06,4.08,1.34,19.39
