"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
0.125,2.89,2.80,5.85,===,===,1.69,===,===
0.250,2.22,2.80,3.64,19.74,===,4.61,3.33,===
0.375,9.30,7.84,8.77,17.84,19.92,9.61,15.49,4.48
0.500,3.29,2.98,8.42,23.45,11.82,8.55,38.40,5.81
0.625,8.28,8.99,8.73,24.65,9.04,5.59,41.59,8.42
0.750,3.33,8.15,15.41,26.46,11.07,12.22,34.38,14.43
0.875,8.55,10.98,18.68,30.27,16.11,12.84,28.28,23.41
1.000,16.16,16.95,18.50,27.88,16.02,13.86,16.69,27.26
1.125,4.97,11.60,13.28,19.08,12.80,10.45,7.93,25.27
1.250,9.88,23.59,9.04,12.13,8.99,8.77,19.74,17.84
1.375,3.55,8.02,13.95,19.87,10.81,19.92,35.79,13.95
1.500,2.67,41.94,16.91,23.01,14.56,17.44,45.35,12.40
1.625,7.67,4.04,11.96,16.38,15.85,8.55,38.98,12.62
1.750,6.03,15.76,7.49,7.89,16.29,5.63,12.97,12.93
1.875,3.29,3.95,8.51,21.33,13.19,7.93,15.32,11.78
2.000,7.49,3.15,4.44,29.43,12.18,8.73,25.00,12.75
2.125,2.98,6.56,7.49,28.76,9.61,2.58,24.21,11.69
2.250,4.83,5.19,18.15,23.94,12.49,12.97,24.43,14.92
2.375,2.27,4.83,19.03,12.49,14.87,15.36,14.61,18.68
2.500,5.01,3.99,14.12,4.92,22.53,7.84,5.85,35.18
2.625,3.99,5.54,9.96,8.02,26.29,5.10,7.84,45.57
2.750,9.61,8.42,6.74,9.88,25.89,3.99,6.38,48.58
2.875,5.85,8.06,12.00,11.34,19.12,7.44,6.69,38.80
3.000,11.16,10.81,11.51,19.52,12.09,4.26,19.08,22.08
3.125,22.84,24.12,5.63,18.50,9.96,10.89,30.00,14.96
3.250,5.23,5.01,12.84,11.56,9.43,15.67,26.20,8.64
3.375,41.01,43.14,12.80,34.91,8.68,13.28,29.20,12.26
3.500,5.63,4.44,15.94,51.19,11.96,13.86,45.30,10.89
3.625,22.08,19.12,14.74,56.01,14.30,11.82,51.58,10.32
3.750,4.83,2.76,8.90,44.02,22.17,4.75,33.63,14.26
3.875,8.06,10.01,13.15,18.55,16.69,11.38,9.17,15.32
4.000,10.76,6.38,21.69,10.81,14.39,12.22,16.16,19.47
4.125,8.73,7.18,22.66,24.74,14.03,12.00,26.02,14.52
4.250,11.60,5.10,18.94,39.07,19.30,15.23,33.41,14.30
