TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.25,7.36,3.95,===,===,0.85,===,===
0.250,1.52,4.97,7.18,12.04,===,1.25,1.61,===
0.375,3.86,4.04,5.28,8.86,34.73,1.92,2.40,3.02
0.500,5.94,4.22,7.44,10.63,17.62,2.76,3.82,2.98
0.625,9.26,4.79,6.65,16.07,11.82,4.44,8.06,2.84
0.750,6.91,3.86,7.67,14.17,10.98,5.19,10.94,3.42
0.875,4.97,5.98,6.25,7.58,18.94,3.73,6.47,9.17
1.000,7.49,11.87,7.97,14.87,17.48,13.19,9.43,12.71
1.125,21.77,13.06,13.86,41.37,23.15,22.00,28.89,16.51
1.250,12.53,27.39,13.41,67.55,24.16,25.27,55.39,16.29
1.375,20.54,5.45,16.73,60.65,27.97,27.26,52.47,18.90
1.500,7.09,9.35,14.83,32.03,31.95,18.99,27.88,21.15
1.625,3.20,7.53,7.97,7.53,27.48,6.25,9.83,18.01
1.750,7.18,5.50,6.82,10.14,22.88,2.18,9.96,13.77
1.875,2.58,1.96,5.28,8.86,11.47,1.07,8.99,7.00
2.000,4.48,6.21,2.67,7.27,5.76,3.60,6.12,4.52
2.125,5.59,6.74,3.02,5.14,3.51,5.28,3.11,5.67
2.250,3.37,6.82,2.40,4.44,4.35,5.76,3.86,6.52
2.375,3.91,4.52,2.76,5.32,6.52,6.91,7.18,7.71
2.500,7.18,9.92,3.33,8.86,7.75,5.94,7.13,7.71
2.625,3.42,3.07,5.63,7.93,8.06,2.45,8.55,6.96
2.750,9.52,9.12,5.98,3.37,7.75,3.07,9.08,5.14
2.875,5.81,3.86,4.26,4.13,6.96,5.14,3.86,4.39
3.000,2.45,3.64,6.96,4.04,7.67,6.74,3.33,4.97
3.125,9.04,4.61,9.61,4.48,6.82,5.54,3.51,6.82
3.250,6.16,6.07,7.31,3.51,7.53,3.11,3.68,7.18
3.375,2.14,4.75,3.42,1.34,5.54,2.53,5.06,6.52
3.500,1.87,2.67,2.40,4.44,5.28,2.76,6.78,7.75
3.625,3.37,3.37,2.53,7.71,4.30,2.45,9.21,8.02
3.750,5.90,3.86,3.15,9.57,5.72,2.93,8.64,13.11
3.875,7.89,5.94,6.34,7.36,6.65,5.14,5.41,12.53
4.000,2.53,3.60,8.81,2.53,7.05,6.52,4.48,13.99
4.125,4.61,5.63,8.46,3.15,7.09,8.20,6.16,9.30
4.250,2.89,3.86,5.37,4.52,6.12,8.99,4.79,7.13
4.375,2.14,5.98,2.45,3.51,5.98,7.62,3.73,4.08
4.500,2.71,5.54,2.62,4.61,5.54,5.67,7.05,4.30
4.625,2.93,2.67,4.08,8.02,6.60,4.61,6.52,7.71
4.750,5.59,3.42,3.68,7.89,6.25,5.59,4.88,9.21
4.875,6.47,8.46,4.88,6.65,8.77,5.41,10.05,13.33
5.000,4.35,5.23,7.97,9.92,8.90,3.86,10.85,13.02
5.125,6.03,3.77,10.50,9.08,14.03,5.54,7.36,16.64
5.250,2.22,2.76,11.25,6.82,14.65,5.59,7.62,16.55
5.375,2.45,3.95,9.21,8.37,14.12,5.37,10.63,14.56
5.500,4.04,1.74,5.06,5.19,8.73,6.21,15.76,10.32
5.625,6.07,3.82,6.38,7.13,6.29,8.59,18.28,7.62
5.750,1.87,1.92,6.60,12.26,8.55,7.58,18.72,11.51
5.875,4.83,4.17,5.50,11.11,11.16,6.03,12.00,14.34
6.000,3.11,2.76,4.04,7.58,10.36,8.95,5.28,14.79
6.125,5.41,3.07,2.18,6.16,8.73,10.67,10.89,12.22
6.250,10.32,3.95,1.65,18.72,10.23,7.44,21.51,11.38
6.375,15.76,9.74,12.57,15.18,20.14,8.15,18.01,14.43
6.500,21.02,19.12,28.41,20.71,23.28,8.64,21.82,16.20
6.625,28.23,18.72,32.96,43.49,23.76,4.26,43.05,16.20
6.750,10.89,13.90,19.43,37.74,14.21,12.40,42.03,14.56
6.875,12.80,5.67,3.51,13.90,13.15,8.28,23.54,15.10
7.000,5.45,6.03,7.31,6.34,14.26,2.98,5.45,16.33
7.125,3.42,3.91,3.60,6.03,15.89,3.46,3.60,21.29
7.250,2.62,2.58,2.80,7.27,15.45,2.98,4.08,22.92
7.375,5.14,4.97,3.33,11.29,16.02,4.35,7.58,31.02
7.500,1.69,2.76,2.76,11.73,20.40,4.22,9.12,35.40
7.625,9.12,5.14,3.15,12.88,22.30,4.52,14.52,40.48
7.750,3.99,3.29,3.51,16.95,24.16,5.67,19.74,45.61
7.875,3.24,3.33,5.37,17.04,17.53,8.06,18.90,36.55
8.000,6.87,10.10,9.61,12.93,15.32,12.80,13.99,33.72
8.125,2.58,6.25,10.76,5.85,10.89,12.09,10.01,20.23
8.250,10.94,10.36,7.71,8.99,15.94,5.19,15.58,22.44
8.375,4.79,6.21,6.29,13.90,14.83,3.64,16.78,20.80
8.500,6.34,7.22,6.38,10.01,16.29,3.29,9.74,24.43
8.625,4.17,5.28,6.47,8.24,15.05,6.21,4.66,23.28
8.750,5.98,4.83,7.00,10.10,19.52,6.69,9.70,25.93
8.875,3.55,8.20,2.84,15.54,16.07,3.29,16.29,19.21
9.000,7.40,5.59,7.18,20.45,12.40,7.27,18.81,18.46
9.125,14.30,13.15,7.13,16.02,13.02,5.45,12.40,16.73
9.250,3.46,7.18,8.20,22.04,25.49,11.51,17.62,26.29
9.375,34.91,25.75,12.75,36.02,34.64,23.32,34.42,30.58
9.500,18.19,17.97,15.05,44.33,40.04,25.44,49.64,35.66
9.625,9.21,11.87,9.61,35.84,39.33,16.95,46.19,36.33
9.750,22.08,20.71,9.21,20.85,40.57,16.51,28.45,38.01
9.875,8.90,8.59,10.58,21.07,36.33,12.71,25.93,33.67
10.000,10.98,9.12,9.30,26.11,30.49,12.44,26.64,32.34
10.125,3.82,8.28,5.85,26.24,26.24,9.30,22.13,28.32
10.250,9.08,9.21,3.15,24.83,26.24,3.29,18.90,30.49
10.375,9.48,7.09,3.24,26.99,29.60,5.94,22.75,29.82
10.500,7.00,5.10,2.93,19.39,22.13,4.97,19.03,22.48
10.625,4.17,3.86,3.99,13.99,18.37,4.26,17.04,16.11
10.750,7.18,5.37,6.65,16.29,10.45,5.76,19.87,9.52
10.875,3.46,2.67,2.93,22.66,15.71,5.76,27.48,15.49
11.000,5.94,8.28,2.27,18.94,15.85,7.62,23.68,16.25
11.125,3.24,3.20,3.37,9.61,23.50,3.29,14.17,22.53
11.250,3.82,2.14,7.22,4.04,18.24,4.83,8.06,16.64
11.375,4.79,5.06,6.87,9.04,15.80,8.24,9.17,16.42
11.500,9.35,8.77,15.71,16.29,22.30,11.47,14.17,24.78
11.625,11.47,15.45,28.14,13.41,39.29,19.65,9.96,44.73
11.750,20.89,20.23,31.59,11.03,57.38,27.35,12.49,60.83
11.875,6.74,5.85,23.41,22.30,71.31,23.32,24.25,74.41
12.000,12.18,12.26,11.20,22.00,73.43,12.22,22.92,74.14
12.125,3.51,2.71,7.89,7.80,66.80,7.75,8.06,66.84
12.250,21.24,21.91,22.04,21.69,56.89,21.20,19.83,57.29
12.375,10.23,11.96,31.33,34.25,39.82,28.94,28.89,39.07
12.500,17.66,22.53,26.90,28.81,31.86,24.83,22.66,29.65
12.625,3.33,1.47,10.81,22.88,20.31,10.98,19.08,15.98
12.750,23.15,25.75,13.77,20.89,22.17,13.19,17.66,20.45
12.875,6.87,11.34,21.91,19.78,28.10,19.92,13.72,29.78
13.000,48.80,47.87,14.12,24.29,35.00,11.34,16.07,40.31
13.125,25.53,18.68,15.49,23.10,42.34,9.52,13.33,51.89
13.250,39.20,43.18,29.47,16.73,52.78,28.94,11.25,60.87
13.375,30.18,11.29,25.31,9.57,51.72,34.33,15.27,58.75
13.500,13.11,7.62,9.52,5.63,45.44,19.34,17.22,52.38
13.625,9.21,9.83,4.35,7.58,32.83,2.45,13.95,38.40
13.750,1.87,2.14,6.16,6.12,25.53,7.49,7.13,31.95
13.875,3.29,3.60,2.18,10.67,20.58,4.08,13.95,21.29
14.000,7.40,6.87,9.61,24.74,12.75,9.52,30.22,13.81
14.125,6.29,6.96,11.11,30.84,15.32,12.71,35.97,16.38
14.250,9.08,3.77,4.79,21.15,25.44,4.35,26.77,26.29
14.375,8.77,11.16,3.51,13.11,31.37,11.87,12.00,31.02
14.500,20.31,8.20,15.89,16.47,39.16,9.43,7.80,33.49
14.625,19.74,29.96,21.91,22.17,28.63,9.12,18.50,19.74
14.750,7.75,11.16,10.76,35.75,27.66,7.13,44.73,15.94
14.875,17.79,25.84,22.17,35.88,14.56,21.42,55.39,14.52
15.000,7.18,11.78,22.26,33.80,11.38,18.81,48.93,17.31
15.125,10.85,10.76,10.41,25.80,16.82,8.42,30.75,29.82
15.250,7.89,6.16,9.43,24.65,24.03,11.29,23.94,29.69
15.375,7.00,9.08,3.11,17.26,40.39,7.00,14.61,44.24
15.500,7.58,7.71,10.19,10.72,36.10,7.80,14.17,36.24
15.625,17.62,17.22,23.28,25.31,49.24,23.81,30.66,48.75
15.750,31.59,27.88,28.63,28.41,45.88,32.30,30.71,45.75
