TIME,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,A,B,B,B,B,A,A,A
0.125,1.34,9.52,3.77,===,===,0.90,===,===
0.250,1.43,1.25,3.11,5.23,===,1.34,1.38,===
0.375,3.24,4.66,4.17,2.80,3.77,2.18,2.31,3.29
0.500,1.78,3.07,6.12,4.17,3.77,2.40,3.51,4.22
0.625,1.61,2.05,6.16,4.83,5.32,1.25,3.86,6.07
0.750,2.27,2.09,3.55,4.26,6.21,1.78,3.95,6.65
0.875,5.23,4.30,2.89,2.22,6.87,2.05,4.88,7.89
1.000,5.76,2.71,2.67,3.91,8.02,4.22,7.05,9.48
1.125,5.59,5.72,6.34,9.21,12.22,8.55,6.29,15.76
1.250,2.45,3.51,8.28,14.21,20.36,9.57,8.24,23.68
1.375,3.60,3.20,4.61,10.05,24.78,7.84,5.10,27.70
1.500,1.83,1.92,1.87,3.55,29.03,5.67,7.27,29.96
1.625,3.51,3.20,3.95,3.15,26.59,3.33,11.78,24.87
1.750,2.22,1.07,3.29,2.84,24.07,1.87,7.05,21.60
1.875,4.57,2.27,4.04,4.52,20.67,2.93,6.65,16.16
2.000,1.92,1.56,4.04,3.24,16.55,3.15,8.06,16.25
2.125,2.53,5.01,2.14,3.24,13.59,2.45,3.95,14.74
2.250,2.89,2.22,1.07,6.56,9.35,3.02,7.22,11.91
2.375,4.35,3.73,3.11,5.19,7.89,2.53,7.05,8.81
2.500,3.99,3.82,3.60,10.98,15.63,3.91,8.51,14.43
2.625,6.47,5.76,8.37,22.26,31.95,8.24,22.44,31.73
2.750,5.28,5.41,11.56,29.25,41.10,12.18,30.27,41.50
2.875,5.72,4.97,7.97,28.32,47.03,7.80,29.69,48.31
3.000,14.08,16.16,17.88,35.62,40.57,13.37,41.99,37.74
3.125,21.91,20.76,21.29,37.74,38.27,16.42,49.15,30.84
3.250,6.65,7.05,14.79,29.47,32.70,11.78,41.94,26.42
3.375,8.90,5.98,9.79,14.56,26.33,8.06,21.24,19.56
3.500,4.57,7.89,6.78,5.06,17.40,5.67,9.48,14.30
3.625,5.14,4.44,5.41,5.90,20.54,4.70,9.21,14.30
3.750,2.71,9.12,3.64,2.49,23.32,2.49,4.61,18.37
3.875,6.69,4.57,5.01,5.59,33.58,4.44,3.37,25.44
4.000,5.98,7.67,8.68,6.56,25.80,5.72,4.35,18.37
4.125,7.18,16.82,8.86,6.29,22.39,3.33,5.90,15.58
4.250,5.14,4.61,5.90,2.84,15.05,2.31,4.70,12.00
4.375,6.34,7.00,4.39,6.74,17.17,3.15,8.42,15.10
4.500,4.13,11.16,2.71,11.96,18.15,5.50,10.19,17.62
4.625,10.54,2.27,3.20,13.19,20.27,5.81,8.55,19.08
4.750,9.66,5.10,9.04,7.09,13.72,5.01,8.64,13.06
4.875,4.17,6.43,8.64,8.81,17.26,5.32,10.63,17.09
5.000,3.91,11.56,4.79,13.99,23.28,5.10,15.01,24.47
5.125,4.17,9.79,2.80,15.18,33.05,5.50,12.35,34.56
5.250,5.06,12.00,2.71,9.39,41.23,4.04,6.38,42.03
5.375,5.19,8.37,6.16,4.75,31.95,3.24,5.98,31.86
5.500,8.64,3.29,4.08,3.15,25.40,4.52,11.69,26.46
5.625,4.52,7.62,4.13,4.66,12.84,4.39,10.50,12.97
5.750,15.49,10.58,6.60,2.76,11.25,4.39,4.52,12.75
5.875,9.30,12.93,11.42,16.73,17.84,11.82,17.57,13.50
6.000,22.79,23.28,23.23,41.23,24.43,23.72,39.60,17.70
6.125,16.82,22.75,25.80,43.53,35.09,28.14,44.02,26.99
6.250,11.82,10.67,18.50,31.37,44.24,19.12,34.95,37.87
6.375,2.14,11.42,10.14,18.55,40.39,9.26,20.40,38.23
6.500,4.30,2.31,2.93,10.45,32.92,6.21,6.47,31.90
6.625,4.48,4.30,6.21,6.65,16.02,6.69,6.78,20.45
6.750,3.24,3.77,7.67,7.93,12.13,7.13,12.04,20.27
