ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
2.09,4.61,2.49,3.02,3.29,21.29,3.33,13.81
7.27,3.99,5.14,5.23,5.90,16.51,6.29,10.72
10.76,5.85,6.25,7.31,11.69,10.94,5.72,14.48
10.32,8.33,11.6,2.09,15.32,7.53,6.16,19.74
7.84,6.52,5.98,8.59,19.87,11.78,8.64,17.31
7.58,5.63,7.67,13.77,24.25,15.58,7.40,9.61
10.01,7.71,7.31,11.03,24.83,16.42,7.80,6.43
10.05,7.62,12.75,9.83,24.38,12.44,9.08,13.68
6.6,8.02,4.97,11.38,20.00,13.11,9.88,23.50
4.52,8.06,7.71,7.97,19.03,22.04,8.90,25.98
7.27,13.86,12.09,10.58,16.42,28.89,6.25,21.11
10.1,14.48,9.48,11.03,13.28,32.92,4.26,15.94
9.39,11.96,9.35,12.4,10.41,32.79,5.50,8.68
7.97,10.45,5.41,7.13,13.06,34.69,9.96,12.84
9.17,11.25,11.34,10.72,16.60,34.47,13.77,15.10
9.88,12.8,4.3,4.75,17.26,30.58,13.72,9.61
6.03,10.54,5.54,6.74,16.78,24.96,8.02,5.90
4.7,5.06,6.43,2.89,13.72,20.45,3.73,13.59
6.96,5.63,6.38,7.4,17.00,20.67,10.58,17.84
5.81,8.33,9.17,11.51,20.36,26.33,14.96,13.06
5.54,7.71,4.39,7.13,26.73,37.39,15.18,8.95
5.06,3.77,8.68,3.07,24.65,38.01,9.88,6.69
8.9,3.86,5.1,7.36,23.68,35.13,6.03,5.01
13.68,7.0,23.01,11.11,15.54,22.17,14.26,12.97
10.98,9.39,6.91,7.09,12.88,15.80,16.73,12.80
4.79,6.07,8.95,6.78,8.11,11.34,13.50,6.21
1.83,3.73,4.48,5.5,8.37,9.52,8.86,11.51
3.15,2.27,8.99,9.52,7.00,9.61,8.33,11.03
3.68,4.35,9.39,9.17,6.96,8.73,9.17,7.36
6.29,6.82,6.6,3.42,9.79,12.75,16.11,18.37
8.9,10.23,3.29,7.44,13.90,14.96,21.95,21.33
6.74,7.27,2.8,5.9,16.11,15.27,17.04,13.55
2.76,2.36,7.27,5.67,18.06,14.17,6.87,4.17
1.96,5.32,5.67,6.03,15.27,12.13,4.66,7.67
2.76,6.52,3.86,2.53,18.81,13.50,6.43,9.21
7.75,11.25,7.75,12.22,17.26,13.59,4.66,8.11
10.36,15.54,8.06,4.83,24.65,24.87,4.26,4.13
11.2,8.86,5.5,14.56,22.66,33.63,21.69,8.37
23.06,11.96,26.29,10.36,24.74,39.33,47.43,15.32
25.44,24.96,14.96,36.19,21.86,42.69,55.30,23.72
13.46,18.59,12.75,7.53,25.71,35.31,35.93,20.40
4.08,7.89,8.33,9.88,24.43,34.60,11.47,6.69
5.98,8.06,5.19,13.95,23.94,31.11,5.90,7.09
3.42,7.18,7.53,10.85,26.59,35.09,6.69,6.60
4.88,11.11,14.08,29.6,28.81,34.29,11.47,19.70
9.43,13.86,24.83,15.54,35.88,32.48,18.90,26.55
9.7,11.11,10.63,19.43,30.93,23.68,28.32,34.33
6.91,8.2,12.13,16.11,25.27,17.97,28.63,32.52
3.91,6.21,22.44,9.79,15.27,10.89,18.10,21.07
4.39,4.35,5.28,7.36,7.89,10.58,7.05,10.81
3.42,4.52,5.76,9.21,6.56,9.83,4.39,6.47
4.57,8.28,12.84,17.53,10.67,10.05,12.80,11.07
4.35,14.21,25.36,29.74,13.64,8.02,33.63,32.88
7.44,17.97,32.26,11.25,23.94,12.80,63.79,62.51
3.46,14.43,14.65,17.93,26.29,17.04,56.27,51.67
3.95,6.82,22.0,22.75,46.90,34.56,23.06,22.13
18.15,35.22,19.16,15.27,54.33,43.05,29.47,37.17
35.71,50.08,21.29,29.82,61.76,46.72,28.81,31.59
31.19,41.46,7.09,9.39,60.12,45.44,27.61,21.11
16.51,20.27,13.99,11.47,47.38,39.20,26.33,22.44
7.05,7.49,13.06,13.64,49.68,47.91,16.86,18.15
5.32,13.68,9.43,3.68,38.62,40.39,15.36,24.43
9.08,23.54,30.97,29.82,42.92,38.58,14.87,39.77
12.97,24.78,9.04,5.94,42.25,30.49,20.36,44.42
11.34,18.46,10.85,11.73,55.30,33.89,30.13,32.08
18.24,12.26,8.86,10.1,59.90,41.77,33.05,21.42
38.89,4.7,21.33,7.49,58.40,40.88,26.51,18.85
39.77,5.63,14.21,5.45,46.14,36.81,15.94,16.11
24.29,6.96,5.23,8.81,39.47,31.81,10.41,10.72
5.41,7.62,10.19,6.52,35.84,35.66,8.86,3.64
8.64,13.59,12.13,6.43,31.15,33.27,15.76,5.76
12.13,18.46,23.23,11.03,29.78,32.34,25.44,7.00
17.66,21.55,14.83,17.0,25.22,19.87,31.86,18.32
22.39,26.06,29.12,13.99,25.36,17.04,35.84,32.48
18.41,20.27,9.12,22.17,28.76,13.86,33.98,28.72
7.84,6.29,8.59,4.48,27.74,19.34,19.39,10.19
4.75,6.65,7.05,13.68,22.70,20.67,6.12,16.73
5.37,6.12,3.64,3.68,21.38,27.30,2.80,16.95
9.21,7.67,12.75,8.86,25.36,27.17,8.77,13.95
9.39,11.82,16.64,6.07,34.16,29.43,12.00,10.85
8.06,13.28,8.86,5.19,27.97,20.14,12.00,8.02
7.44,9.17,5.32,3.73,22.00,15.36,5.14,2.31
6.43,6.56,5.45,6.29,15.45,12.84,3.42,3.07
4.48,4.17,11.42,7.18,17.00,20.40,9.70,10.63
5.81,8.46,18.46,21.24,27.74,30.13,16.38,23.23
8.46,16.25,35.13,18.46,33.72,33.10,21.02,33.27
9.12,15.27,30.84,12.8,38.49,30.44,25.67,27.17
5.1,7.31,12.49,12.09,37.08,22.26,21.11,11.34
3.02,3.07,11.03,9.7,30.27,16.86,9.48,8.28
3.07,3.24,3.15,3.24,24.83,10.58,3.02,6.69
4.44,3.99,1.83,7.18,17.31,8.37,1.87,10.76
2.45,5.9,3.6,8.15,18.99,9.57,4.39,10.63
15.45,11.47,7.89,8.42,23.59,17.17,18.10,12.04
31.11,24.43,12.35,18.15,18.94,16.02,38.09,21.55
31.77,27.39,9.66,16.73,19.30,17.97,44.91,16.78
13.68,12.53,16.11,18.55,24.43,25.27,29.87,10.01
8.68,5.06,5.14,10.01,36.37,37.92,8.95,12.22
11.51,8.77,11.69,6.25,41.10,43.62,13.72,15.45
9.83,8.06,7.84,9.21,40.13,42.74,11.47,10.63
7.67,6.16,9.26,6.47,30.27,32.30,6.21,5.50
4.88,3.55,11.65,11.42,22.66,23.54,3.64,4.13
4.13,2.89,5.28,10.41,12.40,17.70,6.38,7.22
2.53,4.39,6.6,9.39,11.78,19.34,9.30,12.75
6.29,8.15,13.33,14.03,12.88,24.91,14.08,14.83
13.28,9.12,6.65,25.75,21.69,27.83,26.64,25.00
11.51,12.62,43.62,55.3,27.61,31.73,46.85,27.61
4.17,12.4,7.27,7.67,31.86,31.28,48.36,21.33
8.55,6.03,14.92,18.32,33.27,27.26,21.24,9.30
8.2,7.27,4.13,4.39,27.66,16.51,8.24,4.97
8.2,7.09,5.41,2.84,28.45,12.57,15.41,7.13
10.89,6.12,7.18,2.71,24.56,9.21,9.83,5.67
10.01,5.01,4.7,3.99,24.91,9.66,5.19,2.93
5.76,4.75,3.68,4.39,26.46,7.49,5.94,8.73
4.83,12.8,1.96,7.31,23.23,15.67,5.67,23.10
11.03,18.59,3.73,19.74,30.84,22.61,9.30,43.71
12.04,15.14,8.42,5.37,26.06,27.35,8.15,40.04
12.26,8.55,12.31,2.93,25.53,27.70,4.22,16.95
11.65,7.49,6.74,4.44,15.41,25.71,11.11,3.64
5.59,5.54,8.95,4.88,14.12,23.63,17.79,3.29
9.66,5.19,5.9,2.49,19.16,23.06,17.70,5.50
13.59,4.83,2.09,2.0,23.85,18.32,14.65,2.80
8.59,2.53,1.47,1.38,31.19,16.33,6.47,2.62
3.46,3.64,3.07,5.01,26.55,9.26,2.93,3.20
1.83,8.02,2.45,9.83,22.44,6.12,2.67,5.94
3.02,24.74,4.88,15.01,15.80,5.94,3.37,24.78
6.78,35.75,4.7,26.86,16.16,13.55,8.64,36.72
8.9,26.15,7.49,6.82,18.72,22.08,14.08,33.54
7.05,7.0,9.7,13.41,23.10,28.89,14.92,17.62
11.34,13.77,4.17,12.49,26.33,29.65,19.52,8.28
20.09,19.74,25.27,19.03,28.32,26.06,39.82,22.57
22.84,24.87,9.52,11.38,25.49,26.51,43.84,30.62
11.56,26.59,12.18,30.8,19.78,23.68,22.97,38.89
10.1,22.48,1.69,20.4,12.44,26.55,8.99,45.35
7.36,12.4,6.87,11.25,9.66,28.94,7.80,31.95
2.76,4.44,4.48,7.09,7.75,27.66,9.35,9.66
8.86,2.76,5.45,2.27,9.83,22.00,6.78,3.20
10.63,0.81,7.62,1.25,11.73,10.50,5.23,1.07
6.52,1.07,7.09,0.72,11.11,4.66,9.88,0.99
2.8,1.65,7.09,1.52,13.41,2.31,5.45,1.38
2.45,1.61,6.69,1.21,13.46,2.53,8.02,2.05
5.45,3.42,4.92,3.46,24.12,2.84,15.76,4.04
7.62,2.53,3.64,4.35,28.10,5.23,17.97,4.75
8.33,2.49,10.01,1.83,31.90,6.96,21.64,6.25
7.31,5.37,7.05,3.51,26.82,13.11,19.78,10.23
6.91,8.37,4.35,5.81,23.23,18.81,15.67,14.48
