ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.64,2.53,4.08,3.82,2.31,4.30,1.52,2.53
5.45,5.06,7.89,6.65,4.35,5.14,3.07,2.84
4.04,4.35,8.51,5.1,5.72,5.19,6.69,2.45
3.07,4.61,7.53,5.76,5.90,5.59,11.07,7.31
3.42,6.74,8.24,8.77,4.92,5.85,12.40,11.91
3.15,2.84,7.27,3.86,5.19,9.43,8.20,10.81
6.74,7.75,14.56,14.26,10.50,16.29,10.19,6.03
11.47,11.91,16.82,19.3,10.98,19.83,25.05,20.31
9.52,5.72,32.39,30.71,16.60,27.57,46.10,46.94
14.52,7.58,26.06,28.32,19.78,28.14,47.38,48.80
19.3,13.24,12.88,12.84,37.83,44.55,34.60,33.32
13.15,6.47,13.9,9.08,38.05,40.97,23.28,19.30
10.05,8.77,5.85,11.2,41.37,42.52,13.33,9.96
2.62,4.39,4.44,8.02,25.93,26.77,10.76,10.23
4.66,3.99,4.66,7.62,24.03,22.39,13.68,9.21
8.73,8.33,9.57,10.89,14.87,16.60,22.22,17.04
17.66,14.56,18.15,18.77,15.98,17.44,20.58,15.45
25.8,20.71,18.55,14.52,25.53,28.94,15.89,10.63
24.56,19.47,6.56,7.09,39.91,41.15,22.97,22.44
14.87,13.68,6.47,6.65,45.75,47.38,17.04,17.97
6.56,6.38,5.59,5.23,46.19,46.67,8.95,8.81
5.9,4.48,5.9,12.44,31.95,33.32,12.93,8.59
7.18,9.79,7.58,6.52,27.26,26.64,10.01,6.60
4.66,9.48,5.19,7.13,13.64,12.31,9.57,7.18
7.75,3.46,10.89,9.35,11.42,13.99,30.18,22.30
20.76,15.71,15.58,17.22,11.91,17.22,28.67,18.37
23.15,20.98,28.32,27.7,20.80,29.96,25.22,16.07
10.45,13.9,5.72,7.71,38.05,45.66,30.62,28.59
10.45,7.58,18.68,14.08,39.64,47.21,18.46,20.54
12.71,8.9,6.82,7.58,39.33,45.39,5.37,7.00
7.22,8.68,9.26,10.1,27.08,33.23,11.03,13.02
10.01,11.07,9.79,11.38,21.77,25.09,24.25,25.62
22.22,23.81,17.66,22.0,19.74,20.98,27.79,28.63
26.59,28.67,18.46,19.12,21.77,19.61,27.21,25.00
22.22,23.59,9.35,11.03,37.70,35.40,33.72,29.20
14.52,14.87,4.08,4.75,39.55,36.59,26.86,21.29
5.98,7.58,6.16,3.73,34.51,31.81,16.07,12.66
7.89,9.35,7.4,8.37,20.58,18.32,20.85,16.29
20.76,21.24,21.64,18.68,16.38,14.87,22.35,19.56
23.63,22.26,25.05,26.68,22.44,21.42,20.98,21.29
15.58,14.21,9.08,5.9,35.75,35.75,29.74,31.02
6.16,5.01,13.86,18.81,39.82,39.86,22.57,22.79
4.3,2.31,15.58,16.16,39.42,40.48,8.11,10.50
9.12,10.72,8.73,11.87,23.99,23.23,2.22,6.82
19.39,19.34,9.79,10.94,16.07,17.04,12.88,10.41
18.32,22.04,15.32,18.85,9.92,12.09,30.18,26.86
4.22,13.24,5.45,9.88,10.36,14.26,43.40,38.18
10.23,6.25,37.48,32.57,13.11,20.09,34.07,27.66
16.07,12.13,10.63,6.29,21.95,29.16,13.19,9.57
20.54,27.74,11.29,14.48,24.96,33.32,8.15,8.20
23.1,32.17,41.32,39.33,30.31,35.75,8.73,12.40
13.77,17.88,8.9,9.39,31.11,35.00,15.80,26.82
12.26,13.72,29.91,28.32,27.26,31.15,10.72,22.92
10.19,11.56,10.36,7.09,22.08,27.35,8.64,9.12
9.52,9.66,10.23,14.26,15.10,20.45,13.99,15.94
9.83,7.13,6.69,6.69,13.68,18.41,18.50,21.69
10.19,8.95,20.58,20.85,11.47,14.74,28.10,27.26
22.0,21.55,7.62,6.56,16.69,22.17,38.67,30.84
22.7,25.58,18.41,18.9,21.69,29.12,55.25,42.47
11.82,15.45,7.31,6.21,35.13,47.65,48.89,35.93
9.96,8.02,3.6,4.48,33.72,46.28,31.64,20.58
4.97,4.57,4.39,6.29,34.47,48.00,9.83,13.02
6.78,14.65,4.44,16.25,27.30,45.48,6.78,20.00
15.01,14.26,8.99,9.35,37.96,40.66,12.18,20.93
24.65,5.01,14.92,7.22,48.31,38.45,10.01,22.04
24.52,16.73,17.53,13.59,57.47,36.10,16.51,20.23
13.37,25.58,5.81,17.62,59.41,53.80,21.33,22.53
6.96,27.21,9.48,11.56,41.77,62.77,14.70,27.35
10.32,24.91,5.14,11.2,30.22,65.29,18.85,36.24
16.64,22.97,10.58,10.1,17.62,55.65,28.76,34.87
12.4,13.99,4.13,4.08,22.57,42.92,25.09,25.36
