ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.1,4.57,3.6,4.22,4.97,24.34,2.58,8.42
8.37,9.66,3.46,10.14,6.34,25.71,3.60,7.00
8.06,14.08,4.13,5.72,7.13,26.51,4.92,11.34
4.92,12.75,3.15,22.39,6.12,22.08,5.01,13.37
2.8,7.67,4.83,7.8,5.76,16.20,4.52,10.01
4.04,3.77,2.89,14.34,9.52,19.39,11.20,14.21
2.27,2.84,9.21,5.01,20.23,30.80,19.70,27.17
3.6,9.61,4.08,16.86,28.36,33.18,23.32,38.14
5.76,12.71,7.22,9.57,39.77,36.77,13.99,34.38
9.08,10.72,8.46,4.79,33.45,25.36,7.93,20.49
8.11,8.11,8.86,9.48,27.39,22.84,5.10,15.32
3.77,5.23,8.86,8.02,13.95,14.74,4.97,19.25
2.8,4.13,4.61,4.39,8.68,9.57,3.02,18.32
6.29,4.17,4.7,4.17,5.37,5.32,6.16,15.94
13.02,4.39,7.8,12.22,5.90,3.15,7.05,11.60
14.43,8.37,11.16,3.82,7.36,4.26,7.36,7.27
11.82,10.05,6.78,7.0,12.31,4.79,6.47,8.77
8.55,7.93,5.76,3.07,12.62,11.03,3.95,11.56
10.81,9.3,13.95,13.95,12.88,16.11,7.89,17.09
19.03,7.53,5.19,2.93,13.90,31.28,19.08,17.97
23.81,5.76,27.79,16.47,12.53,31.46,29.38,11.87
19.34,3.51,5.14,13.55,10.81,31.11,25.80,15.01
5.5,7.31,20.23,9.96,8.81,19.43,11.69,15.89
2.89,11.11,5.76,9.21,11.82,16.95,23.37,10.01
6.07,8.9,5.81,2.89,25.27,27.21,31.90,20.58
11.96,8.77,5.14,7.97,28.63,32.65,25.49,21.86
10.98,3.42,5.67,3.42,30.80,32.08,17.13,15.05
8.73,6.91,7.67,7.31,16.91,19.21,11.91,6.87
11.16,9.21,4.92,6.56,17.17,11.11,11.07,3.11
8.64,5.94,6.12,5.06,20.14,13.90,13.41,6.87
10.05,3.11,4.79,10.89,27.88,20.23,19.12,14.30
14.26,2.45,12.18,3.91,33.80,30.75,26.95,21.15
16.07,2.67,26.68,11.03,31.64,36.81,33.10,16.78
11.87,4.92,10.76,6.38,30.66,33.67,22.17,5.72
6.78,5.5,10.85,7.53,22.22,27.83,9.12,10.45
5.5,4.52,10.76,7.84,21.51,17.93,8.99,10.14
5.98,5.94,5.41,4.35,20.31,14.48,14.52,11.47
7.62,10.36,4.52,7.53,20.71,12.44,15.76,11.60
8.11,10.14,5.45,7.8,18.15,8.55,13.50,7.62
9.92,8.51,3.07,5.19,12.66,7.27,12.26,4.83
6.74,4.48,3.15,11.87,7.84,5.19,10.36,6.65
4.44,2.05,11.91,7.49,4.22,5.32,7.80,13.55
3.51,7.75,13.77,7.49,7.80,7.84,12.00,13.55
5.94,10.89,7.93,9.04,19.21,10.45,20.14,16.86
5.37,6.74,12.62,6.78,38.89,17.40,28.76,28.41
3.24,7.62,7.75,16.07,46.50,18.24,21.86,26.64
5.98,4.83,7.75,6.12,49.42,16.91,9.66,15.63
6.91,3.46,3.24,5.45,32.88,11.56,3.42,11.60
