ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
4.97,4.39,7.36,4.52,11.73,10.58,10.98,5.54
4.52,6.03,4.48,10.05,20.98,10.23,15.54,7.53
4.44,5.81,8.11,10.76,29.60,6.74,14.83,11.47
3.42,3.11,8.15,10.45,38.89,8.77,8.11,15.49
5.63,4.57,11.38,8.15,38.80,9.79,6.91,9.30
8.86,11.82,6.56,8.64,37.65,13.28,17.88,7.80
13.11,19.74,7.49,6.52,26.33,13.24,18.81,19.39
21.2,28.05,17.53,23.59,22.61,15.98,10.05,16.11
28.67,30.49,19.7,21.29,32.48,28.81,15.14,15.36
22.7,19.83,9.74,8.99,47.29,48.84,23.63,26.42
10.89,8.59,12.88,15.63,53.75,53.88,19.03,21.95
3.95,5.23,5.72,8.42,53.13,53.13,12.84,11.03
3.99,6.6,9.83,9.7,35.97,31.99,7.27,11.82
3.15,2.98,5.81,9.92,26.06,24.69,7.40,14.17
3.46,5.5,12.71,5.63,10.10,11.73,6.52,10.32
7.97,9.39,3.91,10.54,4.79,8.81,9.61,15.23
8.95,9.57,11.96,7.22,3.46,8.06,10.54,12.53
5.9,5.72,3.37,11.42,5.19,9.52,10.36,6.03
2.4,4.52,9.83,3.24,9.30,12.22,11.07,12.22
2.45,6.6,4.3,4.08,9.96,11.96,8.86,13.99
2.98,8.46,9.08,2.89,9.52,10.10,4.30,7.13
8.37,8.81,6.56,7.62,7.18,8.42,3.86,2.49
7.8,4.44,9.74,7.44,6.43,9.74,5.90,4.30
6.07,5.54,8.64,7.84,8.55,11.69,11.16,7.36
4.57,4.79,6.52,6.87,16.20,17.84,16.33,13.50
2.4,3.91,9.21,9.66,22.92,18.55,13.64,14.65
5.85,5.63,4.7,5.06,25.67,17.97,10.72,11.91
4.44,4.39,15.05,13.81,24.96,13.72,9.61,7.05
4.04,4.75,5.67,4.13,20.62,9.04,4.39,3.68
5.1,4.97,11.03,23.41,17.79,7.44,7.67,6.91
8.24,5.06,8.46,6.56,15.05,6.47,7.80,7.18
9.3,7.84,9.12,9.96,12.35,6.96,3.91,3.42
8.28,9.12,17.7,4.39,11.56,6.69,11.11,3.55
6.29,6.21,14.61,6.03,10.50,5.67,12.18,4.30
4.66,2.49,5.94,4.04,11.29,6.56,10.14,2.40
4.35,3.2,9.43,8.02,12.31,6.56,11.25,4.39
2.67,3.64,5.32,5.81,12.44,9.43,10.98,7.49
3.37,7.09,11.11,6.07,11.34,8.24,11.25,9.79
2.84,10.27,9.48,10.72,9.74,11.16,13.55,11.03
4.13,9.04,10.98,13.5,8.77,9.83,9.88,7.22
4.61,6.96,12.84,11.6,7.89,9.74,4.35,2.84
6.47,7.67,11.2,13.77,8.46,7.09,7.62,6.07
11.69,8.02,6.03,10.63,7.18,6.07,10.50,7.71
10.27,9.57,8.42,11.25,8.20,4.88,11.91,10.67
5.5,8.99,7.18,14.87,9.17,3.60,10.54,10.72
3.2,5.5,7.49,5.76,10.72,3.07,6.29,7.05
2.45,3.86,7.62,17.88,13.50,4.44,4.79,4.75
3.68,5.54,12.26,6.07,12.88,5.59,7.93,5.28
3.37,5.81,8.86,7.49,14.79,7.18,10.19,9.61
6.69,7.27,18.15,16.6,12.97,6.52,6.60,5.81
10.89,8.15,11.2,5.28,12.80,7.80,7.89,8.11
10.32,4.75,3.11,8.68,13.02,7.93,13.28,12.57
3.29,6.91,4.92,6.65,19.30,15.85,15.80,15.85
6.82,8.86,7.09,4.48,23.45,21.69,13.02,19.21
7.18,4.57,4.44,5.81,28.19,27.97,5.76,11.34
4.88,4.52,8.51,2.58,24.78,27.61,9.66,8.59
5.5,11.38,8.11,6.34,21.15,23.50,12.57,9.57
5.81,13.72,8.73,15.98,16.91,21.33,10.45,9.66
2.27,9.08,12.62,9.04,13.37,15.18,9.88,9.43
8.95,6.6,9.04,13.33,10.85,12.18,11.25,10.32
17.4,23.41,37.52,23.28,8.77,9.21,9.30,9.83
20.71,33.63,17.35,39.82,5.01,9.70,7.84,16.25
15.1,23.68,12.66,12.31,5.19,12.49,6.38,16.47
7.71,6.03,20.58,17.17,6.91,14.61,6.16,8.37
8.15,9.39,16.91,25.27,11.78,20.14,7.31,6.38
8.99,10.5,11.96,10.54,14.74,20.45,4.22,4.35
11.38,9.96,9.26,12.22,12.22,18.68,16.25,10.10
9.26,5.72,14.17,14.17,8.11,11.25,21.07,15.36
2.84,5.23,11.34,15.05,4.70,6.96,17.62,14.83
8.33,3.73,13.9,15.01,4.88,4.35,14.79,8.90
10.94,10.41,13.19,14.87,6.96,4.48,14.52,4.26
15.89,12.22,13.33,7.05,6.29,7.40,16.91,8.86
10.94,6.12,4.66,16.82,7.93,11.82,14.08,8.77
3.02,9.96,8.81,11.65,6.78,11.96,10.45,7.27
3.73,9.96,8.81,10.98,7.00,9.79,9.43,5.32
3.15,3.6,7.75,6.03,5.72,6.25,11.42,6.43
5.59,3.99,12.88,7.05,9.21,8.55,11.38,8.81
7.44,2.71,7.58,8.77,11.56,13.64,7.97,10.32
7.27,3.91,8.33,5.28,12.53,16.60,9.79,9.96
7.05,4.39,12.35,17.7,11.25,17.17,10.94,7.18
13.9,4.57,4.75,5.06,13.81,15.63,10.98,7.36
